Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Enterobacteriales,0.0,0.0,0.0,0.0,0.0,0.002536509219956,0.002556913060107004,0.002565414639698254,0.002568340069438622,0.002549740546248302,0.0,0.0025553835070896364,0.0,1.2834693058343277e-05
Entomophthorales,0.0,0.0,0.0,0.0,0.0,6.160743078531396e-06,5.354051289386876e-06,5.958330265803133e-06,5.959963189651079e-06,6.161477372782411e-06,0.0,5.918913039230979e-06,0.0,3.3152181408483015e-07
Euamoebida,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,2.0197729714586892e-07,3.0304897574497013e-07,2.0201565156663643e-07,0.0,1.8181631915101868e-07,0.0,1.1065486090796335e-07
Eubacteriales,0.0,0.0,0.0,0.0,0.0,0.00017664163351395758,0.00017708777189236216,0.00017905287391981278,0.00017506129165534442,0.00017726873424972348,0.0,0.00017702246104624007,0.0,1.4299219754653894e-06
Eurotiomycetes,0.0,0.0,0.0,0.0,0.0,0.0002517824999144061,0.000250125113066451,0.0002506538257580233,0.0002480960948098822,0.00024938832185901266,0.0,0.0002500091710815551,0.0,1.3801296971248647e-06
Exobasidiomycetes,0.0,0.0,0.0,0.0,0.0,5.150785196804938e-06,8.081586851904719e-06,6.766239454386609e-05,7.17215909263096e-06,6.110973459890752e-05,0.0,2.9835332056822842e-05,0.0,3.164311379942255e-05
Fervidicoccales,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,4.0407934259523594e-07,6.059318914376067e-07,3.0304897574497013e-07,6.060469546999093e-07,0.0,5.050163787027194e-07,0.0,1.4279602901912455e-07
Fibrobacterales,0.0,0.0,0.0,0.0,0.0,1.0099578817264583e-06,1.111218192136899e-06,9.088978371564101e-07,1.0101632524832338e-06,3.0302347734995466e-07,0.0,8.686521281705911e-07,0.0,3.241860952451814e-07
Flabellinia,0.0,0.0,0.0,0.0,0.0,0.0,4.0407934259523594e-07,0.0,0.0,0.0,0.0,8.081586851904719e-08,0.0,1.8070977566927476e-07
Flavobacteriales,0.0,0.0,0.0,0.0,0.0,1.3432439826961895e-05,1.4445836497779686e-05,1.3128524314481479e-05,1.464736716100689e-05,1.2120939093998187e-05,0.0,1.3555021378845627e-05,0.0,1.0295980849843447e-06
