Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Propionibacteriales,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,13.0,12.0
Protalveolata,0.0,0.0,0.0,0.0,0.0,113.0,128.0,128.0,112.0,132.0
Pseudomonadales,0.0,0.0,0.0,0.0,0.0,102.0,83.0,99.0,92.0,96.0
Pseudonocardiales,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Pucciniomycetes,0.0,0.0,0.0,0.0,0.0,32.0,27.0,18.0,32.0,41.0
Puniceispirillales,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0
Retaria,0.0,0.0,0.0,0.0,0.0,1270.0,1255.0,1152.0,1206.0,1220.0
Rhabditophora,0.0,0.0,0.0,0.0,0.0,61.0,63.0,47.0,35.0,58.0
Rhizobiales,0.0,0.0,0.0,0.0,0.0,7564.0,7640.0,7696.0,7526.0,7705.0
Rhizophydiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Rhodobacterales,0.0,0.0,0.0,0.0,0.0,94.0,89.0,84.0,79.0,63.0
Rhodocyclales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Rhodospirillales,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Rhodothermaceae,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,10.0,20.0
Rickettsiales,0.0,0.0,0.0,0.0,0.0,43.0,46.0,59.0,44.0,41.0
SAR11 clade,0.0,0.0,0.0,0.0,0.0,26.0,25.0,17.0,22.0,16.0
Saccharomycetes,0.0,0.0,0.0,0.0,0.0,7441.0,7122.0,7331.0,7349.0,6804.0
Salinisphaerales,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,6.0
Schizoplasmodiopsis,0.0,0.0,0.0,0.0,0.0,10.0,13.0,8.0,9.0,14.0
Selenomonadales,0.0,0.0,0.0,0.0,0.0,5211.0,5243.0,5227.0,5201.0,5217.0
Semaeostomeae,0.0,0.0,0.0,0.0,0.0,18.0,10.0,15.0,15.0,10.0
Solanum tuberosum (potato)  ,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
Solirubrobacterales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Sordariomycetes,0.0,0.0,0.0,0.0,0.0,125.0,119.0,119.0,127.0,107.0
Sphingobacteriales,0.0,0.0,0.0,0.0,0.0,83.0,79.0,86.0,77.0,80.0
Sphingomonadales,0.0,0.0,0.0,0.0,0.0,229.0,221.0,233.0,256.0,246.0
Spirochaetales,0.0,0.0,0.0,0.0,0.0,393.0,418.0,455.0,398.0,442.0
Spirotrichea,0.0,0.0,0.0,0.0,0.0,14.0,12.0,19.0,15.0,18.0
Staphylococcales,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Steroidobacterales,0.0,0.0,0.0,0.0,0.0,18.0,14.0,12.0,14.0,12.0
Streptomycetales,0.0,0.0,0.0,0.0,0.0,7907.0,7948.0,7889.0,7767.0,7954.0
SubsectionII,0.0,0.0,0.0,0.0,0.0,15.0,16.0,18.0,14.0,26.0
SubsectionIII,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0
Thermococcales,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,7.0,6.0
Thermoplasmatales,0.0,0.0,0.0,0.0,0.0,306.0,292.0,299.0,310.0,290.0
Trematoda,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Tremellomycetes,0.0,0.0,0.0,0.0,0.0,295.0,314.0,340.0,328.0,365.0
Tunicata,0.0,0.0,0.0,0.0,0.0,79.0,79.0,96.0,78.0,84.0
Tylenchida,0.0,0.0,0.0,0.0,0.0,48.0,55.0,54.0,55.0,57.0
Unknown Family,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,3.0,5.0
Unknown Order,0.0,0.0,0.0,0.0,0.0,15.0,19.0,15.0,17.0,15.0
Veillonellales-Selenomonadales,0.0,0.0,0.0,0.0,0.0,3445.0,3495.0,3569.0,3501.0,3560.0
Vertebrata,0.0,0.0,0.0,0.0,0.0,23.0,31.0,26.0,28.0,23.0
Vibrionales,0.0,0.0,0.0,0.0,0.0,76.0,57.0,55.0,56.0,64.0
Xanthomonadales,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,9.0,0.0
Xylariales,0.0,0.0,0.0,0.0,0.0,1188.0,629.0,1357.0,822.0,791.0
marine metagenome   ,0.0,0.0,0.0,0.0,0.0,43.0,31.0,36.0,28.0,34.0
pItb-vmat-80,0.0,0.0,0.0,0.0,0.0,7.0,10.0,6.0,15.0,6.0
uncultured,0.0,0.0,0.0,0.0,0.0,5834.0,7877.0,7858.0,7900.0,5973.0
uncultured Acidobacteria bacterium ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0
uncultured Aspergillus ,0.0,0.0,0.0,0.0,0.0,38.0,42.0,33.0,37.0,37.0
uncultured Mucoromycotina ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
uncultured Setosphaeria   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
uncultured ammonia-oxidizing archaeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
uncultured archaeon ,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,4.0
uncultured archaeon  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0
uncultured bacterium ,0.0,0.0,0.0,0.0,0.0,18.0,11.0,13.0,15.0,12.0
uncultured bacterium  ,0.0,0.0,0.0,0.0,0.0,308.0,321.0,312.0,296.0,301.0
uncultured bacterium   ,0.0,0.0,0.0,0.0,0.0,29.0,39.0,51.0,47.0,27.0
uncultured cyanobacterium   ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
uncultured deep-sea bacterium ,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0
uncultured diatom   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0
uncultured eukaryote   ,0.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,7.0,5.0
uncultured freshwater cryptophyte  ,0.0,0.0,0.0,0.0,0.0,20.0,14.0,11.0,20.0,16.0
uncultured fungus   ,0.0,0.0,0.0,0.0,0.0,77.0,91.0,80.0,82.0,68.0
uncultured organism  ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
uncultured organism   ,0.0,0.0,0.0,0.0,0.0,59.0,44.0,47.0,33.0,43.0
uncultured planctomycete  ,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0
unknown,0.0,0.0,0.0,0.0,0.0,305.0,319.0,329.0,307.0,310.0
