# Constructed from biom file
#OTU ID	OL-16S-1a	OL-16S-1b	OL-16S-2a	OL-16S-2b	OL-16S-3a	OL-16S-3b	OL-16S-4a	OL-16S-4b
591f69b0f54faa9c4d66f5eacb221a1b	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02050ad4ffbcd2163b809040d5bbe638	16.0	34.0	24.0	41.0	0.0	0.0	0.0	0.0
288822ce62594db9edc02d8cefdc48b3	0.0	0.0	45.0	69.0	0.0	0.0	0.0	0.0
fbd67f533b85f7453e3608c8ff10ff6d	0.0	0.0	0.0	0.0	73.0	0.0	0.0	41.0
a8cf027e2367ec0d1e4ae8c507fd47e5	0.0	0.0	0.0	0.0	36.0	78.0	0.0	0.0
e4b139f03bd2e774972e05b6a5942278	0.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0
800a6020f45052cfe44bc1b8e9a092f0	0.0	0.0	0.0	0.0	28.0	32.0	26.0	27.0
fd2a56458a99b0d6175af2566ca33b31	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0
16a028aa8a27150eef70ea770d1d1c9d	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0
97ca8c102e9b69b13d275c7b18e26e94	63.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0
bfb4a29593a49b6fde1e32812c0bfa9b	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0
98dc15ae7181e206379fed0f456b3b0a	53.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0
6041aba98fa23012517541f5448465b5	0.0	58.0	0.0	30.0	0.0	23.0	0.0	0.0
2555de6497e55efbe462983bce595953	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0
bfcd130770220028e271cc9dfbd491ce	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0
12376daa686892f33112b40614b9559a	0.0	48.0	61.0	0.0	0.0	0.0	0.0	0.0
27cf5cb17c29cc85d54c98e5b1f3bd24	0.0	0.0	66.0	42.0	0.0	0.0	0.0	0.0
891b7c7f753e468ed46cc13c95d18162	0.0	0.0	0.0	0.0	0.0	39.0	69.0	0.0
4b796e32098a31b42694e3e2f1773aa2	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0
976477bd65b696f16ad6336b579512cd	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0
2dbd82e9f15cceb8df479fde9243c868	24.0	16.0	25.0	26.0	14.0	0.0	0.0	0.0
ea1100a1158f220ec1cc00c20e22e0a3	0.0	43.0	62.0	0.0	0.0	0.0	0.0	0.0
4c3747409ac2661b2f265457be9c0931	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0
dea77a14de7bcfbd1601ddab088626ce	0.0	0.0	0.0	0.0	51.0	0.0	0.0	54.0
17f1e8013d28b4803b7a3ae6ca181834	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0
ccb612d9da0be39a5b601cffe4f8d45b	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0
8d4084a5c3cf29ac3b68d3c6d4862d61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0
280836e330ea429763b2a93fd4e52284	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0
f2f556834fcd07e494e840aac5968652	0.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0
47f868c9221d785a618a9f74e0b7da97	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
731607eed6915b901c31c31c8be72eae	50.0	0.0	0.0	46.0	0.0	0.0	6.0	0.0
914815fecd18328702303f77722b5e15	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0
3c8640de44c0bf521909bc6a8d344289	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0
65ce921c86e4cab041a11adc70e9ca48	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0
223bc9cc8ab060bcf3445bdd995154ca	0.0	0.0	53.0	0.0	0.0	0.0	0.0	48.0
f804ab5c1d99eba6145bbd26c73896dc	0.0	0.0	52.0	49.0	0.0	0.0	0.0	0.0
93cbf3493fe4b463bf35af341bff623b	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0
e305df1c7e75a7be3435165f40bb1c2a	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0
9b86422917b7e359598489225b0f5e05	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0
2690f26d72b2bec2360383a792c0c9de	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0
944edbc24b44e8a800d37f12e12c0a80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0
7bba0204fa8009f0dbe6ea395f2d6520	64.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0
afd9d44c84fe96150ecd36f4077ad3cb	56.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0
cc32b1911eaec7dd888daa7c6e9a89be	0.0	23.0	0.0	77.0	0.0	0.0	0.0	0.0
89a8659c2a2a2057c9b18b35a4a69d89	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
e5fee45c0914d42e7c63e4f328d8ed64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
4bc0d3f1bd5f0ca75ca8b9b257d66f50	13.0	28.0	27.0	31.0	0.0	0.0	0.0	0.0
1a3b1183a03f6761cbdea545c9559836	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0
3d9cd0ca553e0a3e1efd64e89f04290f	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0
866299990579e4c80007d4e5e569a3ba	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0
cf89c1a62d9dda77fa716a025ab9c3f5	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0
fb97eb1dde73a56cafc20a72252cfe4e	0.0	0.0	0.0	0.0	58.0	0.0	41.0	0.0
e65b6b9fa492374e113d5a1e6eb004ea	0.0	0.0	0.0	0.0	36.0	15.0	32.0	16.0
3ffd03dfce8eca519bcf63c48233c03b	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0
d85be576fdd3c9f871746a6d2b5e8555	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50d61f8a5b1089bc63ceae9efd3dd371	36.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0
f99b319e20f02984360446854b272873	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0
c762630536b5d5def62b995f67be5b5a	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0
c57a22dffddb468fe2a83d4f54001fd7	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0
62c65064cfda947ce40f558fcd4ec170	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0
37fd131036101ad2344207dff1dcae8f	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0
8dfd3941da45560af84b14538d6b69c0	0.0	0.0	0.0	0.0	69.0	27.0	0.0	0.0
