"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Ocean1","Ocean2"
"105","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","GGB33814","GGB33814_SGB46839",0.00288,0.00288
"106","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus_yeomjeoni",0.00266,0.00365
"107","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","GGB24161","GGB24161_SGB35968",0.00265,0.00547
"108","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter_spongiicola",0.00254,0.00344
"109","Bacteria","Bacteroidetes","CFGB7621","OFGB7621","FGB7621","GGB24230","GGB24230_SGB36040",0.00211,0.00214
"110","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Qipengyuania","Qipengyuania_seohaensis",0.00197,0.00321
"111","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","Sulfitobacter_geojensis",0.00191,0.00446
"112","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter_nivimaris",0.00182,0.00903
"113","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Psychroserpens","Psychroserpens_sp_Hel_I_66",0.00182,0.00193
"114","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio_genomosp_F10",0.00168,0.00202
"115","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_bacterium_EhC02",0.0016,0.00376
"116","Bacteria","Proteobacteria","CFGB43328","OFGB43328","FGB43328","GGB57870","GGB57870_SGB79487",0.00158,0.00152
"117","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus_marinus",0.00126,0.00135
"118","Bacteria","Proteobacteria","CFGB24731","OFGB24731","FGB24731","GGB44804","GGB44804_SGB62269",0.00124,0.00427
"119","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter","Celeribacter_marinus",0.0011,0.00092
"120","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens","Nonlabens_sp_Hel1_33_55",0.00107,0.00123
