"","Phylum","Class","Order","Family","Genus","Species","Ocean1","Ocean2"
"24193","Chloroflexota","Dehalococcoidia","UBA3495","UBA2588","UBA2588","UBA2588 sp002723125",0,4
"24194","Chloroflexota","Dehalococcoidia","Dehalococcoidales","RBG-16-60-22","GCA-2688435","GCA-2688435 sp002688435",0,6
"24195","Chloroflexota","Dehalococcoidia","Dehalococcoidales","RBG-16-60-22","RBG-13-51-18","RBG-13-51-18 sp001796495",0,3
"24196","Chloroflexota","Dehalococcoidia","Dehalococcoidales","UBA5627","UBA5627","UBA5627 sp002419135",0,4
"24197","Chloroflexota","Dehalococcoidia","Dehalococcoidales","UBA5760","ARS1013","ARS1013 sp002690375",0,2
"24198","Chloroflexota","Dehalococcoidia","GIF9","UBA5629","UBA6808","UBA6808 sp002383665",0,4
"24199","Chloroflexota","Dehalococcoidia","GIF9","AB-539-J10","CG2-30-46-9","CG2-30-46-9 sp001873005",0,2
"24200","Chloroflexota","Dehalococcoidia","UBA2979","UBA2979","UBA6627","UBA6627 sp002455955",0,2
"24201","Chloroflexota","Dehalococcoidia","SM23-28-2","RBG-16-64-32","RBG-16-64-32","RBG-16-64-32 sp001795235",0,6
"24202","Chloroflexota","Dehalococcoidia","UBA2991","UBA2991","UBA2991","UBA2991 sp002346645",0,3
"24203","Chloroflexota","Dehalococcoidia","UBA6952","QGNO01","QGNO01","QGNO01 sp003228195",0,1
"24204","Chloroflexota","Dehalococcoidia","GCA-2717565","GCA-2717565","GCA-2717565","GCA-2717565 sp002717565",0,4
"24205","Chloroflexota","Chloroflexia","Chloroflexales","Chloroflexaceae","UBA1466","UBA1466 sp002325605",0,4
"24206","Chloroflexota","Chloroflexia","Thermobaculales","Thermobaculaceae","Thermobaculum","Thermobaculum terrenum",0,4
"24207","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D sp002369025",0,4
"24208","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D porcinum",0,1
"24209","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D sp002392405",0,1
"24210","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D sp002309195",0,1
"24211","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_B","Treponema_B denticola_A",0,5
"24212","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema pallidum",0,3
"24213","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae_B","UBA5339","UBA5339 sp003249275",0,3
"24214","Spirochaetota","Spirochaetia","Spirochaetales","ARS1246","ARS1246","ARS1246 sp002688185",0,2
"24215","Firmicutes_B","Desulfotomaculia","Desulfotomaculales","Nap2-2B","46-80","46-80 sp002382755",0,6
"24216","Firmicutes_B","Desulfotomaculia","Desulfotomaculales","Nap2-2B","UBA4053","UBA4053 sp002382125",0,1
"24217","Firmicutes_B","Desulfotomaculia","Ammonifexales","Desulforudaceae","Desulfopertinax","Desulfopertinax cowenii",0,2
"24218","Firmicutes_B","Desulfotomaculia","Ammonifexales","Desulforudaceae","Desulforudis","Desulforudis audaxviator",0,2
"24219","Firmicutes_B","Moorellia","Moorellales","Moorellaceae","Moorella","Moorella mulderi",0,2
"24220","Firmicutes_B","Moorellia","Moorellales","Moorellaceae","UBA12545","UBA12545 sp003509545",0,3
