Genus,OL-16S-1a,OL-16S-1b,OL-16S-2a,OL-16S-2b,OL-16S-3a,OL-16S-3b,OL-16S-4a,OL-16S-4b
PAUC26f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024002954209748893
PAUC43f_marine_benthic_group,0.0,0.0,0.0,0.0,0.0,0.0,0.004600662495399337,0.003877400295420975
PB19,0.01055473735886107,0.007893994925288977,0.0252760736196319,0.01791044776119403,0.002452040963507861,0.006671798819604825,0.0,0.0
PLTA13,0.0,0.0,0.0022085889570552146,0.0,0.0,0.0,0.0,0.0
PS1_clade,0.0,0.0,0.0,0.0,0.004471368815808452,0.0,0.0,0.0
Paludibacter,0.0,0.0,0.0,0.0031840796019900496,0.0,0.0,0.0,0.0
PeM15,0.04050073637702504,0.06484352974344516,0.046134969325153374,0.03303482587064677,0.005192557334487235,0.0,0.005336768494663232,0.007200886262924667
Pelagicoccus,0.0,0.0,0.0,0.0,0.0038944180008654264,0.0043623299974339235,0.004048582995951417,0.0027695716395864105
Peredibacter,0.0,0.0,0.0,0.0009950248756218905,0.005769508149430261,0.0,0.0,0.0
Persicirhabdus,0.0,0.0,0.0,0.0,0.006202221260637531,0.0,0.0,0.0
Phycisphaera,0.0,0.0,0.0,0.0,0.004182893408336939,0.0,0.0,0.0
Pirellula,0.0,0.0,0.0031901840490797546,0.0,0.0,0.0,0.0,0.0
Pla3_lineage,0.003681885125184094,0.0039469974626444885,0.00588957055214724,0.003781094527363184,0.010673590076445983,0.02617397998460354,0.01950680898049319,0.017355982274741506
Planctomicrobium,0.016936671575846832,0.036650690724555963,0.015214723926380368,0.019303482587064675,0.0,0.0,0.0,0.0014771048744460858
Planctopirus,0.009818360333824251,0.014378347899633492,0.012269938650306749,0.011741293532338309,0.0,0.0,0.0,0.0
Pleionea,0.0,0.0,0.0,0.0,0.004615606519544209,0.004618937644341801,0.004784688995215311,0.0
Polynucleobacter,0.025036818851251842,0.01381449111925571,0.017914110429447853,0.012736318407960199,0.0,0.0,0.0,0.0
Propionigenium,0.0,0.0,0.0,0.0,0.008221549112938122,0.0,0.005888847994111152,0.0
Propionispira,0.0,0.0,0.0,0.0023880597014925373,0.0,0.0,0.0,0.0
Pseudarcicella,0.008836524300441826,0.034395263603044825,0.013742331288343559,0.018308457711442787,0.0,0.0,0.0,0.0
Pseudoalteromonas,0.0,0.0,0.0,0.0,0.012981393336218087,0.03181934821657685,0.0,0.0
Pseudobacteriovorax,0.01055473735886107,0.012122920778122357,0.009325153374233128,0.010746268656716417,0.0,0.0,0.0,0.0
Pseudohongiella,0.017918507609229258,0.015787989850577954,0.019386503067484663,0.009154228855721393,0.012692917928746574,0.01437002822684116,0.02410747147589253,0.019017725258493354
R76-B128,0.0,0.0,0.0,0.0,0.0028847540747151306,0.0,0.0,0.0
R7C24,0.0,0.0,0.0,0.012338308457711443,0.0,0.0,0.0,0.0
Reinekea,0.0,0.0,0.0,0.0,0.006057983556901774,0.007698229407236336,0.007545086492454913,0.0
Reyranella,0.018409425625920472,0.017761488581900197,0.016687116564417178,0.011343283582089553,0.0,0.0,0.0,0.0
Rheinheimera,0.0,0.00422892585283338,0.0,0.0,0.0,0.0,0.0,0.0
Rhodopirellula,0.0,0.0,0.0,0.0,0.005913745853166018,0.0,0.0,0.0
Rickettsiella,0.0019636720667648502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robiginitalea,0.0,0.0,0.02674846625766871,0.004577114427860697,0.030434155488244626,0.01180395175776238,0.018218623481781375,0.014217134416543575
Rokubacteriales,0.0,0.0,0.0,0.004776119402985075,0.0,0.0,0.0,0.0
Roseibacillus,0.0014727540500736377,0.0,0.0,0.0,0.0,0.0,0.006072874493927126,0.005908419497784343
Rubripirellula,0.0,0.0,0.0,0.0,0.023943458820135582,0.014626635873749037,0.014906146485093854,0.009785819793205317
Rubritalea,0.0,0.0,0.0,0.0,0.0,0.0,0.007729112992270887,0.004985228951255539
S085,0.0,0.0,0.0041717791411042945,0.0,0.0,0.0,0.0,0.0
S25-593,0.0,0.0,0.0,0.0,0.005192557334487235,0.0,0.008097165991902834,0.010524372230428361
SAR116_clade,0.0,0.0,0.0,0.0,0.008077311409202365,0.0266871952784193,0.0090172984909827,0.02326440177252585
SAR324_clade(Marine_group_B),0.01914580265095729,0.025373555117000283,0.00196319018404908,0.014328358208955224,0.0132698687436896,0.009751090582499358,0.007545086492454913,0.0051698670605613
