Genus,OL-PAMA-1a,OL-PAMA-1b,OL-PAMA-2a,OL-PAMA-2b,OL-PAMA-3a,OL-PAMA-3b,OL-PAMA-4a,OL-PAMA-4b
"=""Alishewanella""",3.1285522103221364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"=""Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium""",0.0006569959641676487,0.0,0.0002236540816869908,0.0,0.0,0.0,0.0,0.0
"=""Altererythrobacter""",0.0,0.0,0.0,0.0,0.00030980990949124786,0.0,0.0,0.00013682635822964936
"=""Alterococcus""",0.0,0.0,0.00013845252675861335,0.0,0.0,0.0,0.0,0.0
"=""Alteromonas""",0.0,0.0,0.0,0.0,0.0009441825813066602,0.0004237206525298049,0.0005804014267322344,0.0006978144269712117
"=""Amaricoccus""",0.0,0.0,0.0,0.0,0.0,0.00031458048445394605,0.000358793609252654,8.209581493778962e-05
"=""Amastigomonas""",0.0,0.0,0.0,0.0,2.212927924937485e-05,0.0023176235691402965,2.1105506426626707e-05,0.003922355602583282
"=""Aminicenantales""",0.00015642761051610682,0.0,0.00040470738590979286,4.18213184170631e-05,0.00032456276232416443,0.0002439603756989786,0.00010552753213313353,3.192615025358485e-05
"=""Amoebophrya""",0.0,0.0,0.0,0.0,0.0014752852832916564,0.00011556017796267407,0.00032713534961271393,0.0
"=""Amphibelone""",0.0,0.0,0.0,0.0,0.0,0.0,3.165825963994006e-05,0.0
"=""Amphidinium""",0.0,0.0,0.0,0.0,0.0008482890378927025,0.002991724607255895,0.006067833097655178,0.0
"=""Amphora""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010033932936840953
"=""Anaerolinea""",0.0,0.0,0.0010224186591405292,0.0,0.0,0.0,0.0,0.0
"=""Anaeromyxobacter""",0.0,0.0,0.0004899089408381703,0.0,0.0,0.0,0.0,0.0
"=""Ancyromonas""",0.0,0.0,0.0,0.0,0.00014015210191270738,0.0,0.0,0.0001505089940526143
"=""Andalucia""",0.0,0.0,0.0,0.006492759684249046,0.0,0.0,0.0,0.0
"=""Anderseniella""",0.0005005683536515418,0.0016173616420631653,0.0,0.0,0.0012613689172143664,0.000398040612982544,0.0006964817120786814,0.00022348305177509397
"=""Andreprevotia""",0.0,0.0,0.0,0.0010873542788436405,0.0,0.0,0.0,0.0
"=""Ankylochrisis""",0.0,0.0,0.0,0.0,0.0,0.0010079415522299905,0.0,0.0
"=""Annelida""",0.0,0.0,0.0,0.0,0.0,2.5680039547260904e-05,0.0,0.0
"=""Aplanochytrium""",0.0,0.0,0.0,0.0,0.00339315615157081,0.00227268349993259,0.0016567822544901966,5.0169664684204765e-05
"=""Aquabacterium""",0.0,0.0,0.0009159167154800575,0.0,0.0,0.0,0.0,0.0
"=""Aquibacter""",0.0,0.0,0.0,0.0,0.0016892016493689466,0.0014380822146466106,0.0027859268483147255,0.0013591418250811836
"=""Aquicella""",0.00017728462525158775,0.00035287890372287246,0.0003408062197135098,0.0,0.0,9.630014830222839e-05,0.0,0.0
"=""Aquimarina""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.577845076075455e-05
"=""Aquisphaera""",0.0,0.0003822854790331118,0.0,8.36426368341262e-05,0.0,0.0,0.0,0.0
"=""Archaeorhizomyces""",0.0003649977578709159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"=""Arcticiflavibacter""",0.0,0.0,0.0,0.0,0.0,0.0,0.0003482408560393407,0.0
"=""Arenibacter""",0.0,0.0,0.0,0.0,0.0,0.0,0.0004748738945991009,0.0
"=""Arenicella""",0.0,0.0,0.0,0.0,0.00023604564532666504,0.0,0.0,0.0
"=""Arenicellaceae""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001277046010143394
"=""Aristerostoma""",0.0,0.0,0.0,0.0,0.0,0.00011556017796267407,0.0,0.0
"=""Ascidiaceihabitans""",0.0,0.0,0.0003301560253474626,0.0,0.002006387985276653,0.002240583450498514,0.002595977290475085,0.0011493414091290545
"=""Asterionellopsis""",0.0,0.0,0.0,0.0,0.0,0.0,5.2763766066566766e-05,1.8243514430619916e-05
"=""Aulacoseira""",0.00015642761051610682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"=""Aureicoccus""",0.0,0.0,0.0,0.0,0.0002139163660772902,4.494006920770658e-05,0.0,0.0
"=""Aureispira""",0.0,0.0,0.0,0.0,0.0007671483473116614,0.0005842208997001855,0.001403516177370676,0.00024172656620571388
"=""Azospira""",0.0,0.0,0.0,0.0,0.0,0.0,9.497477891982018e-05,0.0
"=""Azospirillum""",0.00017728462525158775,0.0,0.000532509718302359,0.0005645877986303518,0.0,0.0,0.0,0.0
"=""B1-7BS""",0.0,0.0014115156148914898,0.0007881143830874913,4.18213184170631e-05,0.0,0.0,0.0,0.0
"=""B2706-C7""",0.0,0.0,0.0,0.0,0.0,3.8520059320891356e-05,0.0,0.0
"=""B2M28""",0.0,0.0,0.0,0.0,0.0018072244720322792,0.0013225220366839365,0.0028281378611679786,0.0007707884846936914
"=""BB01-173""",0.0,0.0,0.0,0.0,0.0006565019510647871,0.0,0.0,0.0
"=""BBMC-4""",0.0,0.0,0.0,0.00042866851377489675,0.0,0.0,0.0,0.0
"=""BD1-7_clade""",0.0,0.0,0.0020341871239150113,0.000554132469026086,0.0002581749245760399,0.00020544031637808723,0.00011608028534644688,0.0003922355602583282
"=""BD2-11_terrestrial_group""",0.0011367073030837096,0.0,0.0010543692422386708,0.00021956192168958127,0.0043152094536280956,0.001508702323401578,0.003482408560393407,0.0013956288539424234
"=""BD2-3""",0.0,0.0,0.0,0.0,9.589354341395767e-05,0.0,0.0,3.648702886123983e-05
"=""BD2-7""",0.0,0.0,0.0,0.0,0.0017260837814512381,0.0003017404646803156,0.0013401996580907959,0.0004880140110190827
"=""BD7-11""",0.0,0.0,0.0,0.0,0.0007081369359799952,0.0006420009886815226,0.0007070344652919947,0.000424161710511913
"=""BD7-8""",0.0,0.0,0.0,0.0006691410946730096,0.0012687453436308247,0.0009886815225695449,0.0025221080179818915,0.0011265370160907797
"=""BIrii41""",0.0003545692505031755,0.0,0.0007455136056233026,0.0,0.0002139163660772902,0.0,0.00022160781747958041,8.665669354544459e-05
"=""BSV26""",0.0008551376041547173,0.000607735889744947,0.0005751104957665477,5.227664802132887e-05,0.0,5.136007909452181e-05,0.0,9.121757215309957e-05
"=""Babeliales""",0.0,0.0005391205473543884,0.00035145641407955693,0.0,0.00032456276232416443,0.00041088063275617447,0.0,0.0001322654796219944
"=""Bacillaria""",0.0,0.0,0.0,0.0,0.0,0.0012904219872498604,0.0006331651927988012,0.005550589265516109
"=""Bacteriovorax""",0.0,0.0,0.0005431599126684062,0.0,0.0,0.0,0.0,0.0
"=""Bacteroides""",0.00038585477260639686,2.940657531023937e-05,0.001597529154907077,0.0011500862564692352,0.00015490495474562393,0.0002439603756989786,0.0002638188303328338,0.000428722589119568
"=""Bacteroidetes_BD2-2""",0.0,0.0,0.0,0.0,0.0005237262755685381,0.0007704011864178271,0.000685928958865368,0.00045608786076549787
"=""Bacteroidetes_VC2.1_Bac22""",0.0,0.0,0.0,0.0,0.00028030420382541476,0.0003210004943407613,0.0005487431670922944,0.0002736527164592987
"=""Bacteroidetes_vadinHA17""",0.0002607126841935114,0.0004116920543433512,0.0,0.0,0.0,0.0,0.0,0.0
"=""Balneola""",0.0,0.0,0.0,0.0,0.000626996245398954,0.0005007607711715876,0.0018783900719697769,0.0005974750976028022
"=""Barentsiidae""",0.0,0.0,0.0,0.0,7.376426416458282e-05,0.0,0.0,0.0
"=""Bathyarchaeia""",6.257104420644273e-05,0.0,0.0003621066084456041,0.0009096136755711224,9.589354341395767e-05,0.00020544031637808723,0.0,8.665669354544459e-05
"=""Bauldia""",0.0,0.0,0.0,0.0007005070834858069,0.000390950600072289,0.0001219801878494893,0.000506532154239041,5.929142189951472e-05
"=""Bdellovibrio""",0.0007925665599482746,0.0006861534239055853,0.000532509718302359,5.227664802132887e-05,0.001017946845471243,0.000738301136983751,0.00176230978662333,0.0004652096179808078
"=""Berkelbacteria""",0.0,0.0,0.0,0.0002718385697109101,0.0,0.0,0.0,0.0
"=""Bermanella""",0.0,0.0,0.0,0.0,0.0,1.2840019773630452e-05,0.000358793609252654,0.00010490020797606451
"=""Bicosoeca""",0.006559531134308747,0.009880609304240428,0.005431599126684062,0.0049558262324219775,0.002744030626922481,0.0010593016313245123,0.003735674637512927,0.0033066369905498595
"=""Bivalvulida""",0.0003962832799741373,0.0025779764355309846,0.0,0.0,0.0,0.0,2.1105506426626707e-05,4.104790746889481e-05
"=""Blastocatella""",0.0,0.0,0.0,0.0,0.0003688213208229141,0.0,0.0,0.0
"=""Blastopirellula""",0.00029199820629673275,0.0,0.00023430427605303797,0.00030320455852370743,0.004647148642368718,0.002330463588913927,0.006373862940841265,0.00212536943116722
"=""Blfdi19""",0.0,0.0,0.0,0.0,0.001121216815301659,0.00041730064264298966,0.0015195964627171229,0.0003238223811435035
"=""Bolidomonas""",0.0,0.0,0.0,0.0,0.0,0.0009309014335882077,0.0,0.0037353595796694276
"=""Bosea""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.736527164592987e-05
"=""Bradymonadales""",0.0,0.0,0.0,0.0,0.002419467864598317,0.0007704011864178271,0.0012979886452375426,0.00017787426569854418
"=""Brumimicrobium""",0.0,0.0,0.0,0.0,0.0,0.0,0.00044321563495916083,0.0
"=""Bryobacter""",0.001397419987277221,0.0007841753416063832,0.001065019436604718,0.0015578441110356005,0.0,0.0,0.0,0.0
