Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,SampleID,Count
d796d0b526972738c3b5f01174d1edb7,Eukaryota,Ochrophyta,Chrysophyceae,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,229.0
833fa77ada4953c862dc0f44e3326d63,Eukaryota,Cryptomycota,LKM11,LKM11,LKM11,LKM11,Unassigned,OL-PAMA-1a,226.0
657814362aa7a18c66dfae36b2e607c3,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,8.0
1b05eba3a8549898bab1327436a5bcf7,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Cryptomonas,Unassigned,OL-PAMA-1a,91.0
7e4773c5d16d8757042130dca655a6e4,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,Unassigned,OL-PAMA-1a,102.0
4df694dd88d54f9ae6f218fc83c5fc7a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned,OL-PAMA-1a,92.0
55d33a452371a860543ea0862129c7ef,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,OL-PAMA-1a,205.0
2940457016eed8b93dfe7da787f8fed4,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Unassigned,Unassigned,OL-PAMA-1a,44.0
5b83719640c2654e4768356ac55a0004,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,OL-PAMA-1a,207.0
ea1ab8ea027db53578bfbc89c4e2cd9e,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Planctomicrobium,Unassigned,OL-PAMA-1a,54.0
b4f1822ee1b7812f4871a1c6190c6805,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unassigned,Unassigned,OL-PAMA-1a,60.0
264df6c11c9b141d2ca0bb1cbb9756c6,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Unassigned,Unassigned,OL-PAMA-1a,46.0
4f1279d6f564a8fbc78723268948c116,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,Clade_III,Unassigned,OL-PAMA-1a,33.0
cb5e5f4830a8a8a14d78cd6fb3ab2975,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,Unassigned,OL-PAMA-1a,65.0
4d3bb11141da84ae014072210c89e8ae,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,Unassigned,OL-PAMA-1a,31.0
f86a390691900ec94141b4eef76c0166,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,Unassigned,OL-PAMA-1a,52.0
0466468716aaa265bb76dad8e5709450,Eukaryota,Chlorophyta,Prasinophytae,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,186.0
d106a7deb9b8e8011cc9c07d2205342b,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodopila,Unassigned,OL-PAMA-1a,10.0
068c53d9ee77b737cac8578d5daeb261,Bacteria,Proteobacteria,Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,54.0
8b196bc0ee7de6b0ab70be9c3a271e85,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unassigned,OL-PAMA-1a,138.0
79c640e2ba721b81cc3d9cbc74043d41,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,Unassigned,OL-PAMA-1a,62.0
7fd190a72da230ca32d6e4e8fcaace5d,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,Unassigned,OL-PAMA-1a,26.0
0da718c0b464c14f193683dc9fde3cf6,Eukaryota,Cercozoa,Imbricatea,Imbricatea,Euglyphida,Paulinella,Unassigned,OL-PAMA-1a,159.0
769ee67f9d939ed7dbb43c272a5b5ca8,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,Unassigned,OL-PAMA-1a,13.0
b9aa0dde78721bbf80b61e42e4c120cf,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Candidatus_Methylopumilus,Unassigned,OL-PAMA-1a,66.0
98cc7d7662d8652670df404028063dc6,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus_Aquiluna,Unassigned,OL-PAMA-1a,47.0
64b56fcfbb28a2d63aa133b970321365,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Unassigned,Unassigned,OL-PAMA-1a,41.0
67acb79b3889327f7a658994d6c28848,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,TRA3-20,Unassigned,OL-PAMA-1a,65.0
01c1a5952f84b9da22b860917dd3fd55,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,uncultured,uncultured,Unassigned,OL-PAMA-1a,82.0
240bcb6e99f8ac511ad2599e8edb8c85,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,Unassigned,OL-PAMA-1a,72.0
950c1131f6d9c1a708c5d76402df896a,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,Unassigned,OL-PAMA-1a,81.0
1a65e08939573f6ae6749a8e6ca8f78e,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,PB19,PB19,Unassigned,OL-PAMA-1a,88.0
502fb26e61c022a5802f7b9abaf84fbe,Bacteria,Actinobacteriota,Actinobacteria,PeM15,PeM15,PeM15,Unassigned,OL-PAMA-1a,42.0
44ec3deee7f6e92f2360683d42a3d909,Eukaryota,Chlorophyta,Prasinophytae,Pyramimonadales,Pyramimonadales,Pyramimonas,Unassigned,OL-PAMA-1a,94.0
1e7dadf64547f6bcf1866bbe303efaa8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43_clade,Unassigned,OL-PAMA-1a,66.0
20c46b2ca1753f694a72a3a396ec5308,Eukaryota,Stramenopiles,uncultured,uncultured,uncultured,uncultured,Unassigned,OL-PAMA-1a,144.0
29c97c05950cc3457dc41328e6fa2148,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Unassigned,OL-PAMA-1a,44.0
2586a478741785c54173000e18843b8b,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,uncultured,Unassigned,OL-PAMA-1a,84.0
c2f9550276c325d0210a870a097f1a74,Bacteria,Proteobacteria,Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,97.0
99f5a41d2c1e3acd206883e911209c14,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,Unassigned,OL-PAMA-1a,58.0
7d95ea59e1f6c361c4d3920c51f33d9a,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,Unassigned,OL-PAMA-1a,80.0
97a02a02c3ad672b80e2c73ceb4a477a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43_clade,Unassigned,OL-PAMA-1a,5.0
99d626854e22188d5343b8e19fcb38dd,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Unassigned,Unassigned,OL-PAMA-1a,37.0
b63cba1b55be682907729906523e0f04,Eukaryota,Holozoa,Choanoflagellida,Codonosigidae,Codonosigidae,Codosiga,Unassigned,OL-PAMA-1a,142.0
de6740ffd78688cdd127a26eeaf3af88,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calanoida,Calanoida,Unassigned,OL-PAMA-1a,141.0
8a00cc725af1457f438a8124a36f4c91,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,Unassigned,OL-PAMA-1a,93.0
53fb6ec61c0eec6065e6886eb95c7ca6,Bacteria,Patescibacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,75.0
