phylum,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Ignavibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,2.000020000200002e-05,2e-05,4e-05,2e-05,0.0,3.400027200217602e-05,3.300033000330003e-05,3.600028800230401e-05,2.2000132000792007e-05,3.000024000192001e-05,2.269009743047332e-05,4.056299689541902e-05,3.6459761227796954e-05,3.3681680703361765e-05,3.437780520622407e-05
Kiritimatiellota,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,3.000030000300003e-05,1e-05,2e-05,4e-05,5.0000500005000046e-05,1.700013600108801e-05,2.100021000210002e-05,2.5000200001600013e-05,2.5000150000900005e-05,2.4000192001536012e-05,3.437893550071715e-05,2.062525265868764e-05,2.9580560996137156e-05,2.405834335954412e-05,2.6127131956730294e-05
Lentisphaerota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,0.0,1e-05,0.0,1.000010000100001e-05,1.9000152001216007e-05,1.4000140001400013e-05,1.5000120000960007e-05,1.7000102000612004e-05,1.5000120000960009e-05,2.062736130043029e-05,1.925023581477513e-05,2.407720081080931e-05,1.7871912209947057e-05,1.443867818661411e-05
Methanobacteriota,0.0,0.0,0.001,0.0,0.0,0.0005,0.0,0.0,0.0,0.0001,0.00011000110001100011,0.0001,0.00012000000000000002,6.000000000000001e-05,0.00010000100001000009,0.00010100080800646405,9.700097000970009e-05,0.00010700085600684806,0.00010800064800388805,0.00010000080000640005,9.969891295207973e-05,0.000110688855934957,9.011752303474342e-05,0.00011754219184234411,0.00011275920107641497
Microsporidia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,1.0000080000640005e-06,6.000060000600006e-06,1.0000080000640005e-06,1.0000060000360005e-06,1.0000080000640005e-06,2.062736130043029e-06,0.0,6.879200231659802e-07,2.7495249553764707e-06,1.3751122082489629e-06
Mollusca,0.001,0.002,0.0,0.001,0.003,0.0006,0.001,0.0002,0.0007,0.0011,0.0007500075000750003,0.00074,0.00067,0.0008100000000000001,0.0007700077000770005,0.0007220057760461201,0.0007720077200772004,0.0007950063600508602,0.0008220049320295041,0.0008200065600524402,0.0008216565584670181,0.000693008489331871,0.0007856046664553985,0.0008076729556417442,0.0007398103680378454
Mucoromycota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,1.000010000100001e-05,3.0000000000000004e-05,6e-05,1e-05,2.000020000200002e-05,3.300026400211202e-05,3.700037000370003e-05,4.600036800294403e-05,3.1000186001116013e-05,2.7000216001728015e-05,3.850440776080321e-05,4.1938013739331535e-05,3.233224108880107e-05,3.3681680703361765e-05,2.6814688060854777e-05
Mycoplasmatota,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,9.000090000900009e-05,7.000000000000001e-05,6.000000000000001e-05,0.00011,9.000090000900009e-05,7.900063200505605e-05,8.600086000860008e-05,6.300050400403203e-05,7.700046200277203e-05,6.800054400435204e-05,7.494607939156339e-05,6.118824955410667e-05,7.360744247875989e-05,6.66759801678794e-05,6.531782989182574e-05
Myxococcota,0.001,0.004,0.001,0.002,0.0,0.001,0.0011,0.0009,0.0012000000000000001,0.0006,0.0012600126001260004,0.00119,0.00134,0.00107,0.0013700137001370005,0.0013340106720852883,0.0013010130101301005,0.0013080104640836,0.0013790082740495482,0.0012490099920798201,0.0013861586793888605,0.0012691405469310649,0.0011969808403086953,0.001325958409730191,0.0012444765484652448
Nanobdellota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
