Family,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Rosaceae,,,,,,,,,,,,,,,,,2e-06,,,,5e-07,4e-07,4e-07,4e-07,5e-07
Roseiflexaceae,,,,,,,,,,,,,,,,,,,,,4.8e-06,4.1e-06,2.9e-06,3.8e-06,3e-06
Roseivirgaceae,,,,,,,,,,,,,0.0001,,,5.7e-05,6.3e-05,6.3e-05,6e-05,5.9e-05,3.74e-05,3.54e-05,3.82e-05,3.56e-05,3.86e-05
Roseobacteraceae,,,,,,,,,,,0.00019,0.00014,,,0.00023,9.3e-05,9.2e-05,9.7e-05,0.00011,0.000105,0.0001083,0.0001084,9.95e-05,0.0001032,0.0001154
Roseomonadaceae,,,,,,,,,,,,,,,,,,1.9e-05,,2.3e-05,3.4e-06,3.5e-06,3.7e-06,4.6e-06,5.5e-06
Rotaliidae,,,,,,,,,,,,,,,,,3e-06,,3e-06,4e-06,3.9e-06,5e-06,5.9e-06,3.9e-06,6.4e-06
Rotundellaceae,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,,2e-07,2e-07
Rs-E47 termite group,,,,,,,,,,,,,,,2e-05,,,,,,9e-07,1.1e-06,1.3e-06,1.2e-06,5e-07
Ruaniaceae,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,5e-07,5e-07,4e-07
Rubinisphaeraceae,,,,,,,,,,,4e-05,7e-05,0.00012,5e-05,0.00013,8.5e-05,8.7e-05,9.7e-05,6.4e-05,7.4e-05,8.05e-05,8.08e-05,8.2e-05,8.12e-05,7.74e-05
Rubricoccaceae,,,,,,,,,,,7e-05,,,9e-05,7e-05,3e-05,3.2e-05,2.7e-05,3.4e-05,3.9e-05,2.86e-05,2.92e-05,2.82e-05,3.14e-05,3.04e-05
Rubritaleaceae,,,,,,0.0009,0.0008,0.0004,0.0007,0.0015,0.00093,0.00069,0.00103,0.00081,0.00088,0.000793,0.000735,0.000715,0.000742,0.000738,0.0007584,0.0007723,0.0007706,0.000762,0.0007685
Rubrivirga,,,,,,0.0003,,,,,,,7e-05,,,2.5e-05,3.4e-05,1.8e-05,1.7e-05,1.6e-05,1.66e-05,1.52e-05,1.62e-05,1.48e-05,1.51e-05
Rubrobacteraceae,,,,,,,,,,,,,,,,,,,,,2.5e-06,2.6e-06,2.1e-06,2.7e-06,2.8e-06
Rubrobacteriaceae,,,,,,,,,,,,,,,,1.7e-05,1.7e-05,3e-06,2.6e-05,6e-06,1.57e-05,1.55e-05,1.38e-05,1.55e-05,1.49e-05
Ruminococcaceae,,,,,,0.0027,0.0002,,,0.0014,0.00082,0.001,0.00083,0.00098,0.00094,0.000931,0.000875,0.000944,0.000837,0.000877,0.0009876,0.0009733,0.0009808,0.0010132,0.0010155
Russulaceae,,,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07
Rutaceae,,,,,,,,,,,,,,,,1e-05,9e-06,1.2e-05,4.3e-05,2.2e-05,2.45e-05,2.42e-05,2.44e-05,2.61e-05,2.39e-05
Rutstroemiaceae,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,,
S-70,,,,,,,,,,,,,5e-05,,3e-05,9e-06,9e-06,1.3e-05,1e-05,9e-06,8.7e-06,1e-05,1.02e-05,1.01e-05,1.01e-05
S-BQ2-57 soil group,,,,,,,,,,,,,,,,,,5e-06,,,1.1e-06,8e-07,1.1e-06,9e-07,1.1e-06
S085,,,,,,,,,,,,,,,,,,,,,,,,4e-07,
S15A-MN91,,,,,,,,,,,,,,,,,,,,,1e-06,1e-06,1.2e-06,8e-07,1.1e-06
S25-593,,,,,,,,,,,6e-05,4e-05,8e-05,6e-05,6e-05,8e-05,7e-05,6.2e-05,7.5e-05,6.6e-05,6.38e-05,6.51e-05,6.54e-05,6.61e-05,6.57e-05
SAR116 clade,,,,,,0.0016,0.001,0.0011,0.0014,0.0016,0.00121,0.00146,0.00116,0.00127,0.00149,0.001367,0.001394,0.001292,0.001299,0.001295,0.0013502,0.0013439,0.0013464,0.0013728,0.0013492
SAR202 clade,,,,,,,,,,,,,,,,,,,,,1.9e-06,2e-06,2.3e-06,1.9e-06,2.4e-06
SAR324 clade(Marine group B),,,,,,,,,,,,,,,,1.1e-05,3e-06,1.5e-05,8e-06,1.9e-05,6.2e-06,7.7e-06,7.8e-06,7.7e-06,9.8e-06
SAR86 clade,,,0.002,,,0.0023,0.0024,0.002,0.0011,0.0024,0.00135,0.00121,0.00158,0.00154,0.00128,0.001227,0.001109,0.001172,0.001174,0.001204,0.0011579,0.0011599,0.0011571,0.0011615,0.0011616
SB-5,,,,,,,,,,,,,,,,,,,,,9e-07,1.6e-06,1.5e-06,1.6e-06,1.2e-06
SBR1031,,,,,,,,,,,,,,,,,,5e-06,4e-06,3e-06,2.9e-06,3.4e-06,3e-06,4.3e-06,3.8e-06
SBYZ-1017,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,2e-07
SBYZ-1154,,,,,,,,,,,,,,,,,,,,,,1.1e-06,,,
SBYZ-984,,,,,,,,,,,,,,,,,,,,,7e-07,6e-07,5e-07,5e-07,4e-07
SC-I-84,,,,,,,,,,,,,,,,,,,,,1e-06,1.4e-06,1.1e-06,7e-07,6e-07
SCGC AAA011-D5,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,3e-07,4e-07,7e-07
SG8-4,,,,,,,,,,,,,,,,,,,,,3e-07,,,,
SGUS1108,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
SHWN-night2,,,,,,,,,,,,,,,0.0001,2e-05,8e-06,1.5e-05,1.2e-05,1.1e-05,1.59e-05,1.43e-05,1.65e-05,1.43e-05,1.58e-05
SJA-15,,,,,,,,,,,,,,,,,,,,,,,,,5e-07
SJA-28,,,,,,,,,,,,,,,,2e-06,,,,,1e-06,1.7e-06,1.5e-06,9e-07,1.2e-06
SL56 marine group,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,,5e-07,8e-07
SM2D12,,,,,,,,,,,0.00017,0.0003,0.00012,0.00016,0.00021,0.000211,0.00018,0.000186,0.000202,0.000163,0.0001528,0.000165,0.0001554,0.00016,0.0001564
SRB2,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
SS1-B-02-17,,,,,,,,,,,,,,3e-05,,6e-06,7e-06,,1e-05,5e-06,8.6e-06,9.8e-06,1.12e-05,9.2e-06,8.8e-06
SS1-B-06-26,,,,,,,,,,,,,,,,,,,,,3e-07,,1.3e-06,1.1e-06,9e-07
ST-12K33,,,,,,,,,,,5e-05,6e-05,,,,2e-05,2.5e-05,2.6e-05,2.4e-05,2.5e-05,2.3e-05,2.5e-05,2.06e-05,2.19e-05,2.24e-05
SUP05 cluster,,,,,,,,,,,,,,,,,,2e-06,,,,9e-07,7e-07,7e-07,6e-07
SZB50,,,,,,,,,,,,,,,,,,,,,3.2e-06,,,,3e-06
Saccamoeba,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Saccharimonadaceae,,,,,,,,,,,,,,,,,,,,,,,,4e-07,
Saccharimonadales,,,,,,,,,,,,,,,,9e-06,6e-06,9e-06,,6e-06,9.1e-06,7.4e-06,7.3e-06,7.4e-06,5.9e-06
Saccharomycetaceae,,,,,,,,,,,,,,,,,2e-06,3e-06,,3e-06,4.1e-06,3.5e-06,2.7e-06,3.6e-06,3.2e-06
Saccharomycetales,,,,,,,,,,,,,,,,9.9e-05,2.3e-05,6.7e-05,6.9e-05,6e-05,9.39e-05,8.26e-05,8.78e-05,9.02e-05,9.01e-05
Saccharomycodaceae,,,,,,,,,,,,,,,,,3e-06,3e-06,,,1.3e-06,1.8e-06,3e-06,1.8e-06,1.1e-06
Saccharomycopsidaceae,,,,,,,,,,,,,,,,,3e-06,,,2e-06,2.2e-06,2.6e-06,2.7e-06,1.9e-06,2.2e-06
Saccharospirillaceae,,0.006,0.009,,,0.0069,0.0038,0.0068,0.0075,0.0069,0.00402,0.0042,0.00416,0.00352,0.00393,0.003874,0.003655,0.003723,0.003742,0.003813,0.0037718,0.0037555,0.0037644,0.0037399,0.0037565
Saccotheciaceae,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,4e-07,3e-07,2e-07
Sacculinidae,,,,,,,,,,,,,,,,,,2e-06,,,,,2e-07,2e-07,2e-07
Sagittidae,,,,,,,,,,,,,,,,,,,,,6e-07,,,2e-07,
Sainouridae,,,,,,,,,,,,,,,,,,,,,8.2e-06,4.7e-06,3e-07,7.1e-06,3.8e-06
Saldidae,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,5e-07,5e-07,3e-07
Salicaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,4e-07,
Salinibacter,,,,,,,0.0005,,0.0005,0.0007,0.00044,0.00042,0.00039,0.00043,0.00045,0.000469,0.00056,0.000578,0.000585,0.000618,0.0005457,0.0005643,0.0005505,0.0005277,0.0005406
Salinibacteraceae,,,,,,,,,,,,,,,,,,,,,8e-07,1.4e-06,6e-07,1.1e-06,1e-06
Salinisphaeraceae,,,,,,0.0009,0.0012,0.002,,0.0017,0.00086,0.0009,0.00093,0.001,0.00087,0.00085,0.000841,0.000854,0.000852,0.000776,0.000815,0.00082,0.0008163,0.0008288,0.0008384
Salpingoeca,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Salpingoecidae,,,,,,,,,,,0.00038,0.00022,0.00036,0.00028,0.00025,0.000296,0.000305,0.000309,0.000291,0.000269,0.0003051,0.0002979,0.0002961,0.0002938,0.000297
Salviniaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Sandaracinaceae,,,,,,,,,0.0004,,0.00016,0.00014,,0.00013,0.00017,0.000132,0.000129,0.000107,0.000106,9.4e-05,0.0001036,9.94e-05,9.69e-05,9.87e-05,9.38e-05
Sanguibacteraceae,,,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,7e-07
Santalaceae,,,,,,,,,,,,,,,,,,,,,,3e-07,,4e-07,
Saprolegniaceae,,,,,,,,,,,,,,,,,,,,,,,1.6e-06,6e-07,
Saprospiraceae,,,,,,,,0.0009,,,0.00066,0.00055,0.00062,0.00064,0.00045,0.000573,0.000552,0.000541,0.000534,0.000569,0.0006203,0.0006072,0.000611,0.0006061,0.0006138
Sarcocystidae,0.027,0.024,0.045,0.017,0.019,0.0267,0.0257,0.0227,0.0255,0.023,0.02114,0.0208,0.02089,0.02132,0.021,0.020436,0.020314,0.020572,0.020275,0.020342,0.0201773,0.0202012,0.020218,0.0202405,0.020203
Sargassaceae,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,1.1e-06,5e-07,2e-07
Sarocladiaceae,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,2e-07,8e-07,3e-07
Savoryellaceae,,,,,,,,,,,,,,,,,,2e-06,2e-06,,,,2e-07,,
Savoryellales,,,,,,,,,,,,,,,,,,,,2e-06,6e-07,6e-07,7e-07,1e-06,6e-07
Scarabaeidae,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,,,
Scenedesmaceae,,,,,,,,,,,,,,,,,,,,,1.1e-06,1e-06,1.5e-06,1.1e-06,1.2e-06
Scenopinidae,,,,,,,,,,,,,,,,4e-06,6e-06,2e-06,3e-06,8e-06,4.5e-06,4.9e-06,5.4e-06,4.7e-06,4.4e-06
Schekmanbacteria,,,,,,,,,,,,,,,,,,,,,2.6e-06,2.7e-06,2.1e-06,7e-07,2.1e-06
Schimmelmanniaceae,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,2e-07,7e-07,2e-07
Schizoplasmodiidae,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,3e-07,,4e-07
Schizoplasmodiopsis pseudoendospora   ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Schizoplasmodiopsis vulgaris   ,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,7e-07,7e-07,
Schizoporaceae,,,,,,,,,,,,,,,,,,,,,1.35e-05,1.42e-05,1.46e-05,1.55e-05,1.65e-05
Schizoporellidae,,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,
Schizopteridae,,,,,,,,,,,,,,,,,,,,,6e-07,5e-07,4e-07,1e-06,1.2e-06
Schizosaccharomycetaceae,,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,
Schizosaccharomycetales,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,,5e-07
Schizotrichaceae,,,,,,,,,,,,,,,,6e-06,5e-06,7e-06,5e-06,4e-06,6.4e-06,7.1e-06,6.8e-06,6.5e-06,5.8e-06
Schizymeniaceae,,,,,,,,,,,,,,,,,,,,,8e-07,4e-07,6e-07,2e-07,6e-07
Schleiferiaceae,,,,,,,,,,,,,,,,,,,,8e-06,5.2e-06,4.7e-06,6.5e-06,7.9e-06,6.2e-06
Schoepfiaceae,,,,,,,,,,,,,,,,,,,,,5.3e-06,4.7e-06,,5.6e-06,6.7e-06
Sciaridae,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Scincidae,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,,2e-07,
Scirtidae,,,,,,,,,,,,,,,,,3e-06,,3e-06,3e-06,1.9e-06,2.6e-06,2.4e-06,1.9e-06,2.6e-06
Sclerotiniaceae,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,4e-07,4e-07,2e-07
Scolecida,,,,,,,,0.0003,,,7e-05,9e-05,3e-05,4e-05,9e-05,7.2e-05,0.000103,8.3e-05,8.8e-05,8.4e-05,8.64e-05,8.79e-05,9.15e-05,9.51e-05,9.15e-05
Scoliidae,,,,,,,,,,,,,,,,,,,,,1e-06,,6e-07,,
Scutopodidae,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,,
Scytonemataceae,,,,,,,,,,,,,,,,,,,,,2e-06,2.1e-06,2e-07,1.8e-06,3.2e-06
Sebacinaceae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Sebdeniaceae,,,,,,,,,,,,,,,,,,2e-06,,,3e-07,2e-07,8e-07,1e-06,
Sedimenticolaceae,,,,,,,,,0.0007,,0.00014,0.0002,,0.00022,,0.000146,0.000134,0.000154,0.00015,0.000119,0.0001358,0.0001303,0.0001442,0.0001295,0.0001354
Segniliparaceae,,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,4e-07,
Selaginellaceae,,,,,,,,,,,,,,,,,,,,,1.8e-06,,2e-07,1.7e-06,
Selenastraceae,,,,,,,,,,,,,,,,,,,,,8.4e-06,7.2e-06,6.8e-06,8e-06,8.2e-06
Selenidiidae,,,,,,0.0005,,0.0006,0.0003,0.0005,0.00046,0.00047,0.00048,0.00044,0.00055,0.00047,0.00046,0.000454,0.000433,0.000477,0.0004754,0.000476,0.0004721,0.0004696,0.0004823
Selenomonadaceae,,,,,,,,,,,,,,,,,,,,,,,,1.4e-06,
Sellaphoraceae,,,,,,,,,,,,,,,,,7.9e-05,9e-05,,8.7e-05,2.58e-05,1.82e-05,2.87e-05,2.81e-05,3.01e-05
Semaeostomeae,,,,,,,0.0006,,,,0.00044,0.00036,0.00042,0.00027,0.00042,0.00048,0.000453,0.000504,0.000511,0.000481,0.0004777,0.0004804,0.000478,0.0004781,0.0004765
Sepsidae,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,,,
Septobasidiaceae,,,,,,,,,,,,,,,,2e-06,2e-06,,,2e-06,1.6e-06,1.8e-06,1.2e-06,1.5e-06,2.2e-06
Seriata,,,,,,,,,,,,,,,,,,,,,1.2e-06,6e-06,3.7e-06,2.9e-06,5e-06
Sericytochromatia,,,,,,,,,,,,,,3e-05,,1.6e-05,2e-05,2.8e-05,2e-05,1.5e-05,2.04e-05,1.85e-05,1.98e-05,2.05e-05,2.09e-05
Shewanellaceae,,,,,,,0.0007,0.001,0.0007,0.0011,0.00057,0.00028,0.0002,0.00038,0.00072,0.000466,0.000434,0.000409,0.000449,0.000449,0.0004256,0.0004253,0.0004133,0.0004267,0.0004225
Shiraiaceae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Sialidae,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,5e-07,2e-07,
Sididae,,,,,,,,,,,,,,,,,,,,,6e-07,9e-07,7e-07,9e-07,7e-07
Signiphoridae,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Silphidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Silvanigrellaceae,,,,,,,,,,,,,,,,,4e-06,,,,1.8e-06,1.5e-06,1.7e-06,1.3e-06,1.8e-06
Simkaniaceae,,,,,,,,,,,0.00024,,,0.00022,,7.9e-05,0.000109,9.8e-05,7.6e-05,9.8e-05,6.52e-05,6.22e-05,6.9e-05,6.28e-05,6.27e-05
Simuliidae,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Siparunaceae,,,,,,,,,,,,,,,,,,,,,3e-07,,,,
Sipuncula,,,,,,,,,,,,,,,,,,,,,2e-07,7e-07,2e-07,2e-07,
Sisyridae,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Skeletonemataceae,,,,,,,,,,,,,,,,4.1e-05,,3.1e-05,,3.3e-05,9.2e-06,3.03e-05,3.03e-05,3.46e-05,3.15e-05
Skrjabillanidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Sneathiellaceae,,,,,,,,,,,,,,,,2.1e-05,2.9e-05,1.8e-05,2.4e-05,2.3e-05,1.97e-05,2.32e-05,2.27e-05,2.3e-05,2.36e-05
Solanaceae,0.019,0.025,0.029,0.019,0.033,0.0182,0.0173,0.0165,0.0208,0.0196,0.01741,0.01766,0.01667,0.01817,0.01719,0.017596,0.017567,0.017989,0.017781,0.017728,0.0178084,0.0178939,0.0179082,0.0177871,0.017807
Solenofilomorphidae,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,5e-07,2e-07,3e-07
Solibacteraceae,,,,,,,,,,,,,,,,,2e-06,2e-06,2e-06,,1.7e-06,1.5e-06,2.3e-06,1.9e-06,1.8e-06
Solibacteraceae (Subgroup 3),,,,,,,,,,,0.00013,0.0001,0.00011,5e-05,6e-05,9e-05,8.4e-05,0.000105,7.5e-05,9.6e-05,0.0001131,0.0001123,0.0001106,0.0001112,0.0001131
Solieriaceae,,,,,,,,,,,,,,,,,,,,,6e-07,2e-07,4e-07,6e-07,8e-07
Soliformoviidae,,,,,,,,,,,,,,,,,,,,,,4e-07,,3e-07,3e-07
Solimonadaceae,,,,,,,,,,,8e-05,0.00011,0.00012,8e-05,9e-05,0.000101,0.000105,9.1e-05,8e-05,7.5e-05,9.3e-05,9.46e-05,9.72e-05,0.0001006,9.38e-05
Solirubrobacteraceae,,,,,,,,,,,,,,,,2e-06,,5e-06,,,6.5e-06,8.4e-06,8.7e-06,9.9e-06,6.9e-06
Soortiaceae,,,,,,,,,,,,3e-05,,,,9e-06,9e-06,9e-06,1.1e-05,1.4e-05,1.15e-05,1.09e-05,1.04e-05,1.05e-05,1.04e-05
Sordariaceae,,,,,,,,0.0017,,,0.00103,0.00072,0.00079,0.00069,0.00066,0.000807,0.000776,0.000826,0.000781,0.000797,0.000818,0.0008238,0.0008147,0.0008272,0.0008156
Sordariales,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Soritidae,,,,,,,,0.0004,0.0011,,0.00042,0.00039,0.00035,0.00042,0.00028,0.000401,0.000393,0.000371,0.000389,0.000415,0.000404,0.0003973,0.0004,0.0004018,0.0004018
Sorodiplophrys,,,,,,,,,,,,,,,,,,,2e-06,,5.7e-06,1.8e-06,1.4e-06,4.3e-06,8e-07
Sorogenidae,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,,3e-07
Sparassidaceae,,,,,,,,,,,,,,,,,,,,,9e-07,6e-07,9e-07,1.1e-06,8e-07
Spathulosporaceae,,,,,,,,,,,,,,,,,,2e-06,,,2.1e-06,1.9e-06,1.8e-06,1.9e-06,2.1e-06
Spathulosporales,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Sphaeriusidae,,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,
Sphaeromatidae,,,,,,,,,,,,,,,,,,3e-06,,,2.4e-06,2.7e-06,3.8e-06,3.3e-06,2.4e-06
Sphaerophoraceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,2e-07
Sphaerophragmiaceae,,,,,,,,,,,,,,,,1.4e-05,6e-06,9e-06,7e-06,3e-06,8.1e-06,7.1e-06,7.9e-06,8.3e-06,8.7e-06
Sphaerozoidae,,,,,,,,,0.0003,0.0002,0.00015,0.00011,0.00014,0.00012,0.0001,0.000143,0.000134,0.000113,0.000129,0.000118,0.0001257,0.0001256,0.000127,0.000131,0.000119
Sphaerulariidae,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Sphagnaceae,,,,,,,,,,,4e-05,5e-05,,,0.0001,5.8e-05,5.5e-05,6.4e-05,5.5e-05,6.5e-05,5.23e-05,4.9e-05,4.87e-05,5.21e-05,4.97e-05
Sphingobacteriaceae,,,,,,0.0002,,,0.0003,,8e-05,0.00017,0.00026,4e-05,0.00035,0.00022,0.000224,0.000216,0.000161,0.000165,0.0002733,0.000204,0.0002114,0.0002301,0.0002364
Sphingobacteriales bacterium,,,,,,,,,,,,,,,,,4e-06,,1.3e-05,1e-05,6.8e-06,6.5e-06,7.3e-06,6.3e-06,7.3e-06
Sphingomonadaceae,,,0.002,,,0.0024,0.0015,0.0023,0.0037,0.0004,0.00247,0.00255,0.00178,0.00216,0.002,0.002375,0.002341,0.00226,0.002339,0.002141,0.0023427,0.002324,0.0023235,0.0023197,0.0023679
Spionida,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,8e-07
Spiralizoridae,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,,
Spirochaetaceae,,,,,,,,0.0002,,,5e-05,0.0001,0.00012,5e-05,,0.000179,0.000134,0.000194,0.000187,0.000136,0.0002465,0.0002312,0.0002176,0.0002156,0.0002154
Spirochaetales Exilispira,,,,,,,,,,,,,,,,,,,,,3e-07,,,8e-07,6e-07
Spirofilidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Spiroplasmataceae,,,,,,,,,,,3e-05,6e-05,3e-05,,,1.8e-05,1.7e-05,1.3e-05,2.1e-05,2.1e-05,3.34e-05,2.99e-05,2.53e-05,3.55e-05,3.51e-05
Spirosomaceae,,,,,,,0.0003,0.0002,0.0003,0.0003,0.00023,0.00022,0.00032,0.0002,0.00024,0.000267,0.000273,0.000263,0.000302,0.000272,0.000252,0.0002529,0.0002616,0.0002594,0.0002541
Spirosomataceae,,,,,,,,,,,,,,,,,9e-06,,5e-06,6e-06,9.1e-06,8.3e-06,8.3e-06,8.3e-06,8.2e-06
Spirotrichonymphea,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,2e-07,4e-07,3e-07
Spirulinaceae,,,,,,,,,,,,,,,,,5e-06,,1e-05,,7.9e-06,8e-06,9.5e-06,8.1e-06,8.9e-06
Spirurida,,,,,,,,,,,,,,,,,,8e-06,,,1.9e-06,1.6e-06,6.5e-06,7.6e-06,5.8e-06
Spizellomycetaceae,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Spongiibacteraceae,,,,,,,,0.0006,,,0.00033,0.0003,0.00034,0.00025,0.00046,0.000476,0.000485,0.000443,0.000462,0.000402,0.0004226,0.0004205,0.0004108,0.0004169,0.00042
Spongiphoridae,,,,,,,,,,,,,,,,,4e-06,,,,1.3e-06,1.4e-06,1.2e-06,1.3e-06,1.4e-06
Spongodiscidae,,,,,,,,,,,,,,,,,,,,,6e-07,,5e-07,,
Sporichthyaceae,,,,,,,,,,,0.00011,,,5e-05,,8.8e-05,7.6e-05,8.8e-05,6.5e-05,5.3e-05,6.94e-05,7.67e-05,6.72e-05,6.48e-05,6.7e-05
Sporidiobolaceae,,,,,,,,,,,,,,,,2.4e-05,1.8e-05,1.6e-05,1.3e-05,3.3e-05,2.62e-05,2.61e-05,2.3e-05,2.71e-05,7.4e-06
Sporidiobolales,,,,,,,,,,,0.0001,8e-05,,,,0.000108,8e-05,9.5e-05,8.8e-05,8.3e-05,8.88e-05,8.63e-05,9.07e-05,8.79e-05,9.01e-05
Sporolactobacillaceae,,,,,,,,,,,7e-05,,,,,4.1e-05,,,,2.7e-05,1.9e-05,3.02e-05,3.16e-05,3.21e-05,2.47e-05
Sporolithaceae,,,,,,,,,,,,,,,,,,,,,6e-07,3e-07,2e-07,2e-07,2e-07
Sporomusaceae,,,,,,,,,,,,,,,,6e-06,,5e-06,1.1e-05,,7.1e-06,8.1e-06,7.1e-06,6.9e-06,7.2e-06
Sporormiaceae,,,,,,,,,,,,,,,,,,,,,1e-06,1.4e-06,1.8e-06,1e-06,2.4e-06
Stachybotryaceae,,,,,,,,,,,2e-05,,,2e-05,,4e-06,5e-06,1.1e-05,4e-06,4e-06,6.5e-06,8.9e-06,8.4e-06,6.8e-06,7.6e-06
Staphylinidae,,,,,,,,,,,3e-05,,7e-05,4e-05,4e-05,5.4e-05,4.7e-05,5.3e-05,5.5e-05,4.7e-05,6e-05,5.92e-05,6.12e-05,5.87e-05,5.36e-05
Staphylococcaceae,,,,,,0.0007,0.0005,,0.0005,0.0006,0.00038,0.00024,0.00041,0.0006,0.00034,0.000434,0.000361,0.000444,0.000443,0.000425,0.0004736,0.0004693,0.0004648,0.0004753,0.0004649
Stappiaceae,,,,,,,,,,,8e-05,7e-05,0.0001,,,4e-05,3.8e-05,4.4e-05,4.9e-05,4.3e-05,3.46e-05,3.4e-05,3.27e-05,3.23e-05,2.96e-05
Staurosiraceae,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Steinernematidae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,3e-07
Stellaceae,,,,,,,,,,,,,2e-05,,,,3e-06,5e-06,8e-06,7e-06,6.7e-06,7.6e-06,7e-06,7.8e-06,6.1e-06
Stemonaceae,,,,,,,,,,,,,,,,,2e-06,,,,,2e-07,2e-07,,2e-07
Stemonitidae,,,,,,,,,,,,,,,,7e-06,4e-06,1e-05,5e-06,7e-06,8.9e-06,9.1e-06,9.6e-06,8.4e-06,9.5e-06
Stenophoridae,,,,,,,,,,,,,,,,,2e-06,3e-06,,,9e-07,1.1e-06,1.4e-06,1.2e-06,1.4e-06
Stenopsocidae,,,,,,,,,,,,,,,,3e-06,2e-06,,,,6e-07,3e-07,7e-07,6e-07,1e-06
Stenostomidae,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,4e-07,,8e-07
Stentoridae,,,,,,,,,,,,,,,,9e-06,1.2e-05,,,,7e-06,7.5e-06,,8.8e-06,9.9e-06
Stephanodiscaceae,,,,,,,,,,,,4e-05,,2e-05,,3e-06,9e-06,3e-06,8e-06,7e-06,1.54e-05,1.81e-05,3.58e-05,1.32e-05,2.82e-05
Stereocaulaceae,,,,,,,,,,,,,,,,,,,,,8e-07,2e-07,4e-07,4e-07,6e-07
Stereopsidaceae,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,3e-07,2e-07
Steroidobacteraceae,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.3e-06,1e-06,1.1e-06,1.3e-06
