Family,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Anthocoridae,,,,,,,,,,,,,,,,1.3e-05,1.3e-05,1.2e-05,,,9.7e-06,8.6e-06,7.4e-06,6.4e-06,8.7e-06
Anthribidae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,4e-07,,4e-07
Aphanizomenonaceae,,,,,,,,,,,,,,,,3e-06,,,,3e-06,3.2e-06,2.2e-06,2.1e-06,1.6e-06,1.9e-06
Aphanochaetaceae,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,5e-07,4e-07,4e-07
Aphanolaimidae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,4e-07,2e-07,2e-07
Aphanothecaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,3e-07
Aphelenchidae,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,,,7e-07
Aphelenchoididae,,,,,,,,,,,0.00013,0.0001,0.0001,0.00018,0.00014,0.000153,0.000134,0.000187,0.000155,0.000166,0.0001724,0.000178,0.0001783,0.0001777,0.0001759
Aphelidiaceae,,,,,,,,,,,,,,,,,,,,,8.7e-06,,,,5.7e-06
Aphelinidae,,,,,,,,,,,,,,,,,,,,3e-06,1.5e-06,1.5e-06,1.6e-06,1.3e-06,1.2e-06
Aphrophoridae,,,,,,,,,,,,,,,,,,,,,1.6e-06,1.2e-06,5e-07,1.6e-06,1.4e-06
Apidae,,,,,,,,,,,,,,,,,,2.5e-05,,2.7e-05,3.22e-05,3.2e-05,2.75e-05,2.93e-05,2.96e-05
Aplysiidae,,,,,,,,,,,,,,,,,,,,,3e-07,,,5e-07,
Aplysinidae,,,,,,,,,,,,,,,,,,,,,4e-07,,6e-07,,
Apodanthaceae,,,,,,,,,,,,,,,,,,,,,1.6e-06,6e-07,2.6e-06,6.3e-06,1.8e-06
Apseudidae,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
Apteropanorpidae,,,,,,,,,,,,,,,,,3e-06,,,,1.6e-06,1.8e-06,2.1e-06,2.1e-06,1.5e-06
Apusomonadidae,,,,,,,,,,,,,,,,,,,,,1e-06,2.3e-06,1.7e-06,1.3e-06,1.8e-06
Aquificaceae,,,,,,,,,,,,,,,,,,,,,1.5e-06,2.5e-06,2.8e-06,1.9e-06,1.8e-06
Araceae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Arachnida,,,,,,,,,,,,,2e-05,,,3.7e-05,1.8e-05,3.3e-05,2.9e-05,3.3e-05,6.87e-05,6.7e-05,5.39e-05,6.58e-05,7.43e-05
Araliaceae,,,,,,,,,,,,,,,,,,,,,1.4e-06,2.3e-06,1.7e-06,8e-07,1.5e-06
Araucariaceae,,,,,,0.004,0.0045,0.0062,0.0037,0.0054,0.00309,0.00311,0.00325,0.003,0.00295,0.003075,0.002984,0.003137,0.003011,0.003001,0.0030595,0.0030609,0.0030702,0.0030581,0.0030451
Arcellina,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,,2e-07
