Order,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Diplostraca,,,,,,,,,,,0.00011,,,,,4e-05,7.1e-05,,4e-05,,4.66e-05,8.5e-06,7.3e-06,4.54e-05,6.7e-06
Dipodascales,,,,,,,,,,,,,,,,,,,7e-06,3e-06,2.6e-06,2.4e-06,2.4e-06,2.1e-06,6.8e-06
Dipsacales,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,2e-07,1e-06,1.3e-06
Diptera,,,0.002,,,0.0002,,0.0003,,,0.00017,0.00014,7e-05,0.00015,0.00015,0.000141,0.000139,0.000153,0.000133,0.000145,0.0001641,0.0001712,0.0001718,0.0001662,0.0001622
Discicristata,,,,,,0.0005,0.0004,0.0006,0.0004,,0.00022,0.00032,0.00032,0.00034,0.00035,0.000417,0.000423,0.000373,0.00042,0.000403,0.0004036,0.0004124,0.0003985,0.000404,0.0004098
Diversisporales,,,,,,,,,,,,,,,,,,,,,2e-07,1.4e-06,5e-07,3e-07,
Dolichomastigales,,,,,,,,,,,,,,,,,,,,,1e-06,8e-07,9e-07,8e-07,8e-07
Dorylaimia,,,,,,,,,,,,,,,,,,,,,,7e-07,1e-06,,6e-07
Dothideales,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,4e-07,3e-07,2e-07
Dothideomycetes,,,,,,,,,,,,,,,,3.6e-05,2.7e-05,3.8e-05,3.7e-05,2.5e-05,3.41e-05,3.74e-05,3.54e-05,3.8e-05,3.47e-05
Dstr-E11,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,4e-07
Dysteriida,,,,,,,,,,,,,,,3e-05,2.2e-05,8e-06,1.4e-05,1.7e-05,1.5e-05,1.77e-05,2.26e-05,1.86e-05,2.13e-05,1.98e-05
E01-9C-26 marine group,,,,,,0.0019,0.002,0.0014,0.0009,0.0014,0.00055,0.00045,0.00048,0.00068,0.00045,0.000544,0.000525,0.000591,0.000514,0.000527,0.0005315,0.0005387,0.0005423,0.0005296,0.0005269
EC3,,,,,,,,,,,,,,,,,,,1.8e-05,1.4e-05,1.01e-05,9.9e-06,9.4e-06,9.3e-06,1.01e-05
EM3,,,,,,,,,,,,,,,,,,,5e-06,,3.8e-06,3.3e-06,3.9e-06,3.5e-06,4.6e-06
EPR3968-O8a-Bc78,,,,,,,,,,,,,,,,,,1.8e-05,,1.4e-05,7.9e-06,5.2e-06,6.1e-06,5.8e-06,7.5e-06
EUB33-2,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
EV818SWSAP88,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.5e-06,2.3e-06,1.1e-06,1.6e-06
Echinorhynchida,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,3e-07,,
Echinothurioida,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Ectocarpales,,,,,,,,,,,,,,,,,,,,,6e-07,,3e-07,4e-07,
Ectothiorhodospirales,,,,,,,,,,,,,,,,,,,,,1.2e-06,8e-07,9e-07,8e-07,
Ellobiida,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,4e-07,2e-07,8e-07
Elsterales,,,,,,,,,,,,,,,,,,,,,,,5e-07,,
Embioptera,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,6e-07,5e-07,6e-07
Endogenida,,,,,,,,,,,,,,,,,5e-06,,2e-06,,1.7e-06,1.8e-06,1.3e-06,8e-07,1.3e-06
Endogonales,,,,,,,,,,,0.00049,0.00037,0.00045,0.00045,0.00045,0.000405,0.000451,0.000389,0.000407,0.000427,0.0004047,0.0004018,0.0004056,0.0003955,0.0004146
Enoplea,0.019,,0.016,,,0.0076,0.0069,0.0084,0.0059,0.0073,0.00676,0.00682,0.0067,0.00695,0.00634,0.007006,0.006936,0.0068,0.006819,0.006781,0.006752,0.0067933,0.0067394,0.0067552,0.0067528
Enoplida,,,,,,,,,,,,,,,,,,,,,,1.5e-06,,,1.4e-06
Enterobacterales,,,,,,,,,,,,2e-05,,4e-05,2e-05,8.6e-05,0.000114,6.1e-05,7e-05,0.000106,0.0001648,0.0001824,0.0001255,0.0001225,0.0001747
Enterobacteriales,,,,,,,,,,,,0.00045,0.00015,,,0.000157,0.000174,0.000148,0.000183,0.000141,0.0002594,0.0002416,0.0004408,0.0002432,0.00023
Enterogona,,,,,,,,,,,,6e-05,,,,,,2.4e-05,3.3e-05,,,,3.53e-05,,
Enteropneusta,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,2e-07,
Entodiniomorphida,,,,,,,,,,,3e-05,8e-05,,3e-05,2e-05,4e-05,4.2e-05,3.7e-05,4.4e-05,4.4e-05,4.09e-05,4.52e-05,4.47e-05,4.26e-05,4.23e-05
Entomobryomorpha,,,,,,,,,,,,,,,,,,,,3e-06,2.5e-06,2.9e-06,3.7e-06,3.3e-06,3.1e-06
Entomophthorales,,,,,,,,,,,0.00035,0.00035,0.0003,0.0003,0.00031,0.00036,0.000291,0.00032,0.000329,0.000309,0.0003176,0.0003206,0.0003202,0.0003242,0.0003215
Entomoplasmatales,,,,,,,,,,,3e-05,6e-05,3e-05,,,1.8e-05,1.7e-05,1.3e-05,2.1e-05,2.4e-05,3.59e-05,3.28e-05,2.73e-05,3.72e-05,3.69e-05
Entorrhizales,,,,,,,,,,,,,,,,4.8e-05,5.6e-05,5.9e-05,5.2e-05,5e-05,6e-05,6.06e-05,5.8e-05,5.51e-05,6.31e-05
Entylomatales,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Ephedrales,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Ephemeroptera,,,,,,,,,,,0.00014,0.0001,,0.00012,,6e-05,7e-05,0.000155,4.8e-05,4.3e-05,5.57e-05,9.03e-05,8.69e-05,5.42e-05,0.0001531
Ericales,,,,,,,,,,,,,,,,4e-06,,2e-06,9e-06,,4.7e-06,5.6e-06,3.4e-06,2.6e-06,4.4e-06
Erysipelotrichales,,,,,,0.0002,,,,,0.00016,6e-05,2e-05,6e-05,6e-05,0.000249,0.000132,0.000215,0.000173,0.000179,0.0003835,0.0002491,0.0003838,0.000234,0.0002365
Erysiphales,,,,,,,,,,,0.00016,,0.00014,0.00021,3e-05,8.6e-05,0.00011,0.000104,8.7e-05,9.5e-05,8.84e-05,9.14e-05,9.44e-05,9.38e-05,9.2e-05
Euamoebida,,,,,,0.0005,,0.0003,0.0003,0.0009,0.00047,0.00048,0.00037,0.00054,0.00052,0.000563,0.000524,0.000527,0.000533,0.000556,0.000549,0.0005421,0.0005596,0.0005514,0.0005475
Eubacteriales,,,,,,,,,,,8e-05,2e-05,2e-05,,,9.2e-05,6e-05,7.9e-05,9e-05,6.5e-05,0.0001215,0.0001164,0.0001205,0.0001218,0.0001223
Eubodonida,,,,,,,,,,,,,,,,,,,,2e-06,1.4e-06,2.1e-06,1.8e-06,1.5e-06,1.6e-06
Eucarida,,,,,,,,,,,,4e-05,,,,2.6e-05,2.9e-05,2.6e-05,2.5e-05,,1.43e-05,1.47e-05,1.37e-05,1.56e-05,1.59e-05
Eucoccidiorida,0.027,0.024,0.045,0.017,0.019,0.0267,0.0257,0.0227,0.0255,0.023,0.02114,0.0208,0.02089,0.02132,0.021,0.020451,0.020322,0.020584,0.020294,0.020358,0.0201984,0.0202238,0.0202396,0.0202593,0.0202241
Euglenales,,,,,,,,,,0.0003,0.00018,0.00023,0.00022,0.0002,0.00015,0.000215,0.000206,0.000204,0.000195,0.000211,0.000221,0.0002202,0.000221,0.0002231,0.000217
Euglenophyceae,,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,
Euglyphida,,,,,,,,,,,2e-05,,,,,8e-06,6e-06,4e-06,5e-06,9e-06,9.9e-06,8.3e-06,9.2e-06,9.1e-06,8.6e-06
Eugregarinorida,,,,,,,,,,,,,3e-05,,,2.7e-05,2.6e-05,2.9e-05,2.7e-05,2.4e-05,3.34e-05,3.22e-05,3.34e-05,3.47e-05,3.39e-05
Eunicida,,,,,,,,,,,,,,,,,,,,,1e-06,1e-06,2.9e-06,1.2e-06,1.5e-06
Eunotiales,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.5e-06,1.8e-06,1.6e-06,1.7e-06
Euplotida,,,,,,,,,,,,3e-05,2e-05,,,6e-06,1e-05,7e-06,1e-05,8e-06,1.61e-05,1.48e-05,1.38e-05,1.29e-05,1.04e-05
Eupodiscales,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Eurotiales,,,,,,,,,,,0.00022,0.00023,0.00018,0.00021,0.0002,0.000217,0.000221,0.000179,0.000217,0.000214,0.0002261,0.0002274,0.0002251,0.0002264,0.0002255
Eurotiomycetes,,,,,,,,,,,,,,,,0.000125,0.000146,0.000127,0.000122,0.000115,0.0001295,0.0001369,0.0001298,0.0001362,0.0001284
Eustigmatales,,,,,,,,,,,,,,,,,,2e-06,,,1.5e-06,1.3e-06,2e-06,1.5e-06,1.3e-06
Eutreptiales,,,,,,0.0002,0.0002,0.0005,,0.0002,0.00029,0.00032,0.00024,0.00024,0.00018,0.000284,0.00026,0.000238,0.000262,0.000258,0.0002585,0.0002534,0.0002572,0.0002481,0.0002487
Euzebyales,,,,,,,,,,,,,,,,,,6e-06,,6e-06,2.8e-06,4.2e-06,2.9e-06,3e-06,3.7e-06
Exobasidiales,,,,,,,,,,,,,,,,2e-06,,,,,8e-07,3e-06,3.4e-06,3.5e-06,3e-06
Exobasidiomycetes,,,,,,,,,,,6e-05,,2e-05,2e-05,2e-05,4.3e-05,4.2e-05,3.4e-05,5.4e-05,5.8e-05,6.75e-05,6.57e-05,6.58e-05,6.9e-05,7.21e-05
Exogenida,,,,,,,,,,0.0002,0.00016,0.0001,9e-05,0.00011,0.00013,0.000115,9.9e-05,8.6e-05,8.8e-05,0.000115,9.96e-05,0.0001029,0.0001097,0.0001042,0.0001063
FCPU453,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,4e-07,4e-07
FS117-23B-02,,,,,,,,,,,,,,,,,2e-06,,2e-06,2e-06,8e-07,6e-07,2e-07,9e-07,3e-07
FW22,,,,,,,,,,,,,,,,,,,,,1.2e-06,7e-07,1.1e-06,7e-07,8e-07
Fabales,0.133,0.147,0.134,0.184,0.147,0.1166,0.1215,0.1244,0.1186,0.1252,0.11741,0.11614,0.11835,0.11933,0.11621,0.11486,0.115862,0.115453,0.114632,0.115171,0.1148785,0.1149632,0.1147005,0.1148014,0.1149375
Fagales,,,,,,,,,,,8e-05,0.00032,0.00017,7e-05,,0.000242,0.00024,0.000249,0.000257,0.000265,0.0002343,0.000235,0.0002382,0.0002422,0.0002341
Ferrovales,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,2e-07,3e-07,6e-07
Fervidicoccales,,,,,,,,,,,,,,,,,,,,,5e-07,,5e-07,1.8e-06,5e-07
Fibrobacterales,,,,,,,,,,,,,2e-05,2e-05,,9e-06,5e-06,9e-06,1.2e-05,8e-06,2.32e-05,2.26e-05,2.18e-05,1.8e-05,2.15e-05
Filobasidiales,,,,,,0.002,0.003,0.003,0.0025,0.0019,0.00254,0.00255,0.0026,0.00244,0.00259,0.002491,0.002549,0.002559,0.002628,0.00254,0.002518,0.0025329,0.0025195,0.0025219,0.0025224
Fimbriimonadales,,,,,,,,,,,,,,,,3e-06,,,,8e-06,4.5e-06,3.2e-06,3.3e-06,2.9e-06,4.2e-06
Flabellinia,,,,,,0.0005,0.0003,,0.0005,,0.00034,0.00038,0.00037,0.00041,0.00034,0.000336,0.000328,0.000287,0.000351,0.000332,0.0003591,0.0003439,0.0003649,0.0003506,0.0003427
Flamella,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,3e-07,4e-07
Flavobacteriales,0.053,0.047,0.039,0.03,0.045,0.0422,0.0431,0.0416,0.041,0.0463,0.04327,0.0431,0.04289,0.0418,0.04386,0.040588,0.040466,0.040894,0.040452,0.040292,0.0401992,0.0401963,0.0401997,0.0401542,0.0401827
Florideophycidae,,,,,,,,,,,3e-05,,,,9e-05,5.9e-05,5e-05,3e-05,6.3e-05,4.7e-05,5.3e-05,5e-05,5.11e-05,5.04e-05,4.75e-05
Flosculariaceae,,,,,,,,,,,,,,,,,,,,8e-06,4.5e-06,,2.3e-06,6e-07,3.7e-06
Forcipulatida,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Fornicata,,,,,,,,,,,,,,,,,,,,3e-06,2.1e-06,3e-06,2.8e-06,2.7e-06,2.3e-06
Fossombroniales,,,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07
Fractovitellida,,,,,,,,,,,,,,,,,,,,,3e-07,8e-07,3e-07,3e-07,7e-07
Fragilariales,,,,,,,,,,,,,,,,2.3e-05,,7.3e-05,,,2.25e-05,4.12e-05,2.25e-05,2.29e-05,2.28e-05
Francisellales,,,,,,,,,,,,,,,,,,,,,1.8e-06,1.9e-06,3.1e-06,2.8e-06,2.8e-06
Frankiales,,,,,,,,,,,0.00011,,,5e-05,,7.7e-05,7.8e-05,8.8e-05,6.9e-05,5.3e-05,7.78e-05,8.51e-05,7.6e-05,7.45e-05,7.26e-05
Fraxinus excelsior (European ash) ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Fucales,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,1.1e-06,5e-07,2e-07
Funariales,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
Fusobacteriales,,,,,,,,,,,0.00011,6e-05,6e-05,0.00013,3e-05,0.000139,0.000132,0.000151,0.000177,0.000165,0.0001897,0.0001985,0.0002043,0.0001984,0.0001953
GIF9,,,,,,,,,,,,,,,,2e-06,,,,,1.7e-06,2e-06,1.5e-06,1.5e-06,2.1e-06
Gaiellales,,,,,,,,,,,,,,,,0.000304,0.000184,0.00011,0.000251,0.000346,0.0004747,0.0004914,0.0002792,0.0004999,0.0003745
Galaxiiformes,,,,,,,,,,,3e-05,,,,,2.7e-05,2.6e-05,2e-05,3e-05,3.4e-05,2.94e-05,3.18e-05,3.39e-05,2.88e-05,3.16e-05
Galdieriales,,,,,,,,,,,,,,,,,,,,,5.1e-06,5e-06,6.7e-06,4.4e-06,5.6e-06
Gammaproteobacteria Incertae Sedis,,,,,,,,,,,0.00037,0.0003,0.00043,0.00044,0.00052,0.000384,0.00032,0.000344,0.00036,0.000337,0.0003154,0.000324,0.0003203,0.0003189,0.0003154
Gammaproteobacteria Unknown Family,,,,,,,,,,,,,,,,,,,,,2e-07,5e-07,2e-06,1.2e-06,1.4e-06
Gastranaerophilales,,,,,,,,,,,,,,,,,2e-06,,,,1.5e-06,1.7e-06,2.3e-06,1.2e-06,1e-06
Gastropoda,,,,,,,,,,,,,,,,1.2e-05,1.8e-05,1.7e-05,1.1e-05,2.2e-05,2.1e-05,2.24e-05,1.39e-05,2.03e-05,1.57e-05
Gelidiales,,,,,,,,,,,,,,,,,,,2e-06,,3e-07,6e-07,4e-07,8e-07,6e-07
Geminicoccales,,,,,,,,,,,0.00018,0.00012,,,,6.6e-05,6.3e-05,6.4e-05,6.9e-05,7.5e-05,6.39e-05,6.27e-05,6.32e-05,6.28e-05,6.36e-05
Gemmatales,,,,,,,0.0003,,,,0.00011,0.00015,7e-05,0.00018,0.00014,9.6e-05,6.7e-05,9.3e-05,0.000103,8.8e-05,9.73e-05,9.57e-05,9.72e-05,0.0001008,9.75e-05
Gemmatimonadales,,,,,,,,,,,5e-05,7e-05,8e-05,4e-05,8e-05,0.000173,0.000164,0.000139,0.000159,0.000157,0.0001773,0.0001736,0.0001702,0.0001868,0.0001752
Gentianales,,,,,,,,,,,,,,,,,,,,,5e-07,,3e-07,,5e-07
Geobacterales,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.3e-06,8e-07,1e-06,1e-06
Geodermatophilales,,,,,,,,,,,,,,,,2e-05,1.5e-05,2.9e-05,2.9e-05,2.5e-05,1.82e-05,1.7e-05,1.92e-05,1.83e-05,1.78e-05
Geoglossales,,,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,
Geophilomorpha,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Geraniales,,,,,,,,,,,,,,,,3e-06,,2e-06,5e-06,4e-06,1.9e-06,3.1e-06,3.2e-06,2.8e-06,2.3e-06
Gigartinales,,,,,,,,,,,,,,,,,,,,,6e-07,2e-07,4e-07,6e-07,8e-07
Gloeochaetales,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.2e-06,1.2e-06,1.4e-06,7e-07
Gloeophyllales,,,,,,,,,,,2e-05,,,,,,2e-06,,,,1.7e-06,1.6e-06,2.5e-06,2e-06,1.5e-06
Glomerales,,,,,,,,,,,,,,,,,,,,,2.6e-06,5e-06,4.4e-06,3.3e-06,4e-06
Glomerellales,,,,,,,,,,,,,,,,,2e-06,,,,3.5e-06,8.9e-06,1.1e-05,1.09e-05,7.4e-06
Glycomycetales,,,,,,,,,,,,,,,,,,,,,1.8e-06,1.2e-06,7e-07,1.2e-06,5e-07
Gnetales,,,,,,0.0076,0.0094,0.0075,0.0071,0.0073,0.00669,0.00671,0.00686,0.00683,0.00624,0.006218,0.00637,0.006135,0.006029,0.00617,0.0062211,0.0061574,0.0062001,0.0061894,0.006174
Gomontiellales,,,,,,,,,,,,,,,,,,,,,,,7e-07,,
Gomphales,,,,,,,,,,,,,,,,,,2e-06,,,1.2e-06,7e-07,8e-07,4e-07,1.2e-06
Goniochloridales,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,,2e-07
Gonyaulacales,,,,,,,,,,,,5e-05,9e-05,4e-05,4e-05,5.3e-05,0.000118,5.6e-05,0.000143,0.000105,8.08e-05,6.36e-05,0.0001061,0.0001036,7.85e-05
Gossypium hirsutum (upland cotton) ,,,,,,,,,,,,,,,,,2e-06,,,,6e-07,,,4e-07,2e-07
Gracilariales,,,,,,,,,,,,,,2e-05,,,,,,4e-06,5.3e-06,2.5e-06,3.1e-06,3e-06,5.1e-06
Gracilibacteria,,,,,,,,,,,,,,,4e-05,1.2e-05,1.5e-05,1.7e-05,1.1e-05,6e-06,1.33e-05,1.29e-05,1.21e-05,1.23e-05,1.44e-05
Granulosicoccales,,,,,,,,,,,,,,,,2.8e-05,2.6e-05,2.6e-05,3.7e-05,3.3e-05,2.17e-05,2.19e-05,2.42e-05,2.3e-05,2.48e-05
Gregarinasina,,,,,,,,,,,,,,,,,,,,,3e-06,2.7e-06,2.6e-06,9e-07,2.1e-06
Gromiida,,,,,,,,,,,,,,,,6e-06,,5e-06,,8e-06,5.9e-06,5.3e-06,5.7e-06,5.7e-06,6.1e-06
Grylloblattodea,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,
Gymnodiniales,,,,,,,,,,,,,,,,2e-05,1.4e-05,1.5e-05,2.4e-05,5e-06,6.7e-06,6.6e-06,1.77e-05,6.8e-06,2.88e-05
Gymnodiniphycidae,,,,,,,,,,,,,,,,,,,,,2.85e-05,3.48e-05,1.9e-05,3.31e-05,2.74e-05
H67,,,,,,,,,,,,,,,,,,,,,,1.28e-05,1.74e-05,,1.67e-05
HOC36,,,,,,,,,,,0.00015,0.00021,0.00012,0.0002,0.00014,0.000192,0.00019,0.000186,0.000156,0.000185,0.0001615,0.0001654,0.0001664,0.000165,0.0001601
HTA4,,,,,,,,,,,,,,,,,,,,,1.1e-06,,2e-07,1.3e-06,
Haemosporida,0.007,,,,0.003,0.0025,0.0016,0.0021,0.0019,0.0027,0.00277,0.00277,0.00303,0.00287,0.0028,0.002907,0.002826,0.002773,0.002892,0.00288,0.0027728,0.0027726,0.0027754,0.0027922,0.0027579
Halanaerobiales,,,,,,,,,,,,,,,,2e-06,3e-06,3e-06,1.6e-05,2e-06,7e-06,7.5e-06,5.9e-06,8.6e-06,7.5e-06
Haliangiales,,,,,,,,,,,,,,,,2.2e-05,4.2e-05,3.2e-05,1.6e-05,2.2e-05,2.65e-05,2.67e-05,2.44e-05,2.72e-05,2.76e-05
Halobacteriales,,,,,,,,,,,0.00011,0.00011,0.00015,0.00011,0.00019,0.000189,0.000238,0.000207,0.000195,0.0002,0.000269,0.0002763,0.0002707,0.0002704,0.0002613
Halocyprida,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,,4e-07,5e-07
Haloplasmatales,,,,,,,,,,,,,,,,,,,,,1.7e-06,1.5e-06,9e-07,1.3e-06,1.2e-06
Halymeniales,,,,,,,,,,,,,,,,,,,,,7e-07,4e-07,,7e-07,7e-07
Haplosclerida,,,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07
Haplosporida,,,,,,,,,,,4e-05,,7e-05,2e-05,6e-05,6.5e-05,6e-05,5.7e-05,6.7e-05,5.2e-05,7.11e-05,7.38e-05,7.3e-05,7.29e-05,6.73e-05
Haptorida,,,,,,,0.0002,,,,7e-05,0.00011,0.00011,3e-05,0.00011,0.000139,0.000114,0.00013,0.00013,0.000108,0.0001225,0.000125,0.0001194,0.0001219,0.000122
Harpacticoida,,,,,,,,,,,,,,,,,,,1.7e-05,,4e-07,7e-06,5e-06,4.9e-06,4.4e-06
Harpellales,,,,,,,,,,,,,,,,,5.6e-05,6.6e-05,,7.4e-05,2.98e-05,3.19e-05,3.62e-05,2.95e-05,3e-05
Helotiales,,,,,,,,,,,,,,,,2e-06,7e-06,5e-06,6e-06,2e-06,3.8e-06,1.03e-05,6.5e-06,1.28e-05,3.4e-06
Hemiaulales,,,,,,,,,,,,,,,,,,,,,3.4e-06,3.2e-06,3.2e-06,4.1e-06,4.2e-06
Hemiptera,,,,,,0.0044,0.0052,0.0063,0.0037,0.0041,0.00378,0.00381,0.00359,0.00375,0.00336,0.003673,0.00366,0.003664,0.003622,0.0038,0.0036257,0.0036229,0.0036408,0.0036364,0.0036232
Heterobranchia,,,,,,,,,,,,,,,,,,,,,,2.6e-06,3e-06,,3.1e-06
Heterogastridiales,,,,,,,,,,,,,,,,,,,,,,,4e-07,,5e-07
Heteronemertea,,,,,,,,,,,,,,,,2e-06,,,,,,,,,1e-06
Heterotrichida,,,,,,,,,,,,,,,,9e-06,1.2e-05,,,,7.2e-06,7.5e-06,2e-07,8.8e-06,9.9e-06
Hexapoda,0.04,0.04,0.029,0.027,0.038,0.0305,0.0312,0.0309,0.032,0.029,0.03092,0.03128,0.03136,0.03121,0.03138,0.031001,0.031187,0.030697,0.031096,0.030991,0.0308849,0.0308385,0.0308343,0.0308787,0.0309146
Hildenbrandiales,,,,,,,,,,,,,,,,,,,,,9e-07,1e-06,1.1e-06,1.7e-06,1.4e-06
Holophagales,,,,,,,,,,,,,,,,5e-06,,4e-06,,,3.6e-06,3.3e-06,2.7e-06,3.7e-06,4e-06
Holosporales,,,,,,,,,,,2e-05,,,,,8e-06,4e-06,2e-06,4e-06,3e-06,1.26e-05,1.45e-05,1.53e-05,1.46e-05,1.52e-05
Holtermanniales,,,,,,,,,,,,,,,,,,,,,,,4e-07,,5e-07
Homosclerophorida,,,,,,,,,,,,,,,,,,3e-06,,,,4e-07,3e-07,3e-07,6e-07
Hot Creek 32,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,6e-07,9e-07,7e-07
Hydrogenedentiales,,,,,,,,,,,3e-05,,2e-05,4e-05,3e-05,3.5e-05,3.4e-05,3.1e-05,3.9e-05,3e-05,3.07e-05,3.53e-05,3.3e-05,3.42e-05,3.55e-05
Hydrogenophilales,,,,,,,,,,,4e-05,0.0001,0.0001,0.0001,6e-05,7.3e-05,6.3e-05,5.6e-05,6.4e-05,5.2e-05,6.27e-05,6.25e-05,6.11e-05,6e-05,6.53e-05
Hydrozoa,,,,,,,,,,,0.00014,,0.00012,0.00014,0.00023,0.000107,0.000137,0.000124,0.000116,0.000138,0.0001523,0.0001603,0.0001565,0.000164,0.0001699
Hymenochaetales,,,,,,,,,,,,,,,,,2e-06,,,,1.49e-05,1.6e-05,1.59e-05,1.67e-05,1.77e-05
Hymenoptera,,,,,,,,,,,2e-05,,,,4e-05,3.8e-05,2.9e-05,6.1e-05,1.7e-05,6.1e-05,7.79e-05,8.13e-05,7.5e-05,7.38e-05,8.91e-05
Hymenostomatida,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,3e-07,8e-07,8e-07
Hyocrinida,,,,,,,,,,,,,,,,,,,,,,7e-07,6e-07,,
Hyperamoeba sp. 2 EJC ,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,2e-07,5e-07,2e-07
Hyphomicrobiales,,,,,,,,,,,0.00018,0.00026,0.00019,0.00022,0.00032,0.000101,0.000132,0.00011,0.000122,0.000138,0.000148,0.0001435,0.0001395,0.0001414,0.0001445
Hyphomonadales,,,,,,,,,,,0.00016,0.00015,0.00012,,0.00014,8.8e-05,0.000116,9.7e-05,9.4e-05,9.3e-05,8.06e-05,7.87e-05,8.63e-05,8.02e-05,7.88e-05
Hypnales,,,,,,,,,,,,,,,,,,,,,2e-07,5e-07,3e-07,2e-07,5e-07
Hypocreales,,,,,,,,,,,4e-05,,,2e-05,,1.8e-05,1.8e-05,4e-05,2.9e-05,2e-05,3.95e-05,4.28e-05,4.1e-05,4.45e-05,4.01e-05
IMCC26256,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.2e-06,1e-06,7e-07,7e-07
Ichthyophonida,,,,,,,,,,,,,,,,3e-06,4e-06,,,,2.9e-06,3.1e-06,2.4e-06,3.6e-06,2.9e-06
Ignavibacteriales,,,,,,,,,,,,,,,,6e-06,5e-06,5e-06,5e-06,,1.8e-05,1.45e-05,1.94e-05,1.59e-05,1.71e-05
Imbricatea,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,4e-07,6e-07
Isochrysidales,,,,,,,,,,,,,,,,3e-06,3e-06,9e-06,,3e-06,4.7e-06,4.5e-06,4.1e-06,4.7e-06,4.6e-06
Isolaimida,,,,,,,,,,,,,,,,,,,,,4e-07,7e-07,6e-07,7e-07,6e-07
Isopoda,,,,,,,,,,,,,,,,,,3e-06,,2e-06,5e-06,5e-06,6.6e-06,5.5e-06,4.9e-06
Isosphaerales,,,,,,,,,,,,,,,,,,,,,3.3e-06,3.9e-06,3.2e-06,3e-06,3.7e-06
Izemoplasmatales,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.9e-06,1.9e-06,1.1e-06,1.9e-06
JG30-KF-AS9,,,,,,,,,,,,,,,,,,,3e-06,4e-06,3.5e-06,2e-06,2e-06,2e-06,1.8e-06
JG30-KF-CM45,,,,,,,,,,,,,,,,2e-06,,,,,3.1e-06,4.7e-06,4e-06,3.3e-06,3.8e-06
JG30-KF-CM66,,,,,,,,,,,,,,,,8e-06,1e-05,8e-06,1.7e-05,1.1e-05,8e-06,6.2e-06,7.4e-06,7e-06,7.7e-06
JGI 0000069-P22,,,,,,,,0.0003,0.0003,,0.00027,0.00028,0.00026,0.0002,0.00029,0.000286,0.000305,0.000289,0.000272,0.000302,0.0002887,0.000291,0.0002827,0.0002859,0.0002913
JTB23,,,,,,,,,,,,,,,,,,,,,1.7e-06,1.4e-06,1.4e-06,1.3e-06,1.9e-06
Jakobida,,,,,,,,,,,,,,,,,,,3e-06,,1.35e-05,1.13e-05,1.09e-05,1.14e-05,1.28e-05
Jungermanniales,,,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07
