genus,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Sulfurovum,0.0,0.0,0.002,0.0,0.0,0.0006000000000000001,0.00030000000000000003,0.0005,0.0002,0.0,0.00016000160001600008,0.00022,0.00023,0.00016,0.00021000210002100012,0.00018500148001184008,0.00018100181001810006,0.00020700165601320004,0.00019400116400696804,0.00019300154401226006,0.00017877046460366337,0.0002124401023844006,0.00017404376586099303,0.0001862803157267294,0.00017807703096817056
Sunetta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Sungouiella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-06,0.0,1.0000060000360005e-06,0.0,6.87578710014343e-07,0.0,0.0,0.0,6.875561041244814e-07
Sunxiuqinia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,1e-05,0.0,5e-05,3.000030000300003e-05,3.300026400211202e-05,2.7000270002700027e-05,3.2000256002048016e-05,2.800016800100801e-05,3.400027200217602e-05,3.712925034077452e-05,3.231289583194396e-05,4.6778561575286664e-05,2.612048707607647e-05,2.0626683123734448e-05
Superficieibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surirella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,1.000010000100001e-05,8e-05,1e-05,0.0,0.0,1.0000080000640005e-06,5.000050000500004e-06,3.0000240001920015e-06,6.000036000216002e-06,1.2000096000768008e-05,1.1001259360229487e-05,0.0,6.879200231659802e-07,2.062143716532353e-06,2.0626683123734445e-06
Sutcliffiella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,3.0000300003000026e-06,3.000024000192002e-06,0.0,2.000016000128001e-06,4.125472260086058e-06,2.062525265868764e-06,6.879200231659802e-07,3.436906194220588e-06,3.4377805206224074e-06
Sutterella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,0.0,0.0,5.000040000320003e-06,6.000060000600005e-06,8.000064000512004e-06,2.000012000072001e-06,3.0000240001920015e-06,1.100125936022949e-05,2.062525265868764e-05,3.4396001158299015e-06,8.248574866129412e-06,8.250673249493778e-06
Suttonella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,3.0000240001920015e-06,2.000020000200002e-06,3.000024000192002e-06,2.000012000072001e-06,8.000064000512004e-06,2.750314840057372e-06,2.7500336878250184e-06,2.751680092663922e-06,1.2372862299194118e-05,4.125336624746888e-06
Svornostia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,1.000010000100001e-06,0.0,3.000018000108001e-06,1.0000080000640005e-06,0.0,2.062525265868764e-06,0.0,2.062143716532353e-06,1.375112208248963e-06
