family,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Acytosteliaceae,,,,,,,,0.0003262642740619902,,,3.333111125924941e-05,3.32491022742386e-05,6.746045131041927e-05,3.390750033907501e-05,,6.497514700627413e-06,1.6293385211471856e-05,2.266039513254856e-05,6.484453522679777e-06,3.2607703243816426e-05,2.2068332384396522e-05,1.7671708257769518e-05,1.3289831285592689e-05,2.423937929560515e-05,1.5445446682319075e-05
Adelgidae,,,,,,,0.0003333333333333333,,,,,,,,3.317850033178502e-05,3.2487573503137065e-06,,6.474398609299589e-06,3.2422267613398885e-06,3.2607703243816422e-06,6.6204997153189565e-06,,2.214971880932115e-06,4.407159871928209e-06,2.206492383188439e-06
Adelidae,,,,,,,,,,,6.666222251849882e-05,,3.373022565520964e-05,,,1.624378675156853e-05,1.3034708169177488e-05,1.2948797218599179e-05,6.484453522679777e-06,1.3043081297526569e-05,1.5447832669077568e-05,4.4179270644423795e-06,6.644915642796345e-06,1.762863948771284e-05,6.619477149565317e-06
Adenocystaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Adenoviridae,,,,,,,,,,,,,,,,,,,,,,,,,
Aderidae,,,,,,,,,,,,,,,,,,,,,2.206833238439652e-06,,,2.203579935964105e-06,
Adinetidae,,,,,,,,,,,,,,,3.317850033178502e-05,9.74627205094112e-06,1.9552062253766234e-05,3.237199304649795e-05,2.269558732937921e-05,1.3043081297526569e-05,1.9861499145956872e-05,1.5462744725548335e-05,8.859887523728463e-06,1.9832219423676944e-05,6.619477149565317e-06
Adintoviridae,,,,,,,,,,,,,,,,,,,,,,,,,
Aegisthidae,,,,,,,,,,,,,,,,3.2487573503137065e-06,,6.474398609299589e-06,,,4.413666476879304e-06,2.2089635322211897e-06,,,
Aeglidae,,,,,,,,,,,,,,,,,,,,,,,,,
Aerococcaceae,,,,,,,,,,,,3.32491022742386e-05,,0.00010172250101722502,,1.6243786751568533e-05,2.932809338064935e-05,1.6185996523248975e-05,2.918004085205899e-05,2.6086162595053138e-05,1.5447832669077565e-05,2.4298598854433087e-05,2.214971880932115e-05,1.322147961578463e-05,5.295581719652254e-05
Aeromonadaceae,,0.0034364261168384875,,,,0.0006550933508024893,0.001,0.0006525285481239804,0.00102424035506999,0.0003418803418803418,0.0014332377841477244,0.0009642239659529192,0.0011468276722771276,0.001356300013563,0.001161247511612476,0.0011078262564569738,0.0011079501943800866,0.0011427313545413775,0.0010731770580035029,0.0012717004265088404,0.0011850694490420932,0.0011221534743683643,0.0011030559967041935,0.0012009510651004372,0.001065735821080016
Aerosakkonemataceae,,,,,,,,,,,,,,,,,,,,,,,,,
Aestuariirhabdaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Aestuariivirgaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Afifellaceae,,,,,,,,,,,,,,,,3.2487573503137065e-06,,,,,,,,,
Agalmatidae,,,,,,,,,,,,,,3.390750033907501e-05,,,,,6.484453522679777e-06,6.5215406487632845e-06,6.6204997153189565e-06,4.4179270644423795e-06,,4.40715987192821e-06,2.206492383188439e-06
Agaonidae,,,,,,,,,,,,,,,,3.2487573503137065e-06,3.258677042294372e-06,6.474398609299589e-06,,9.782310973144928e-06,2.206833238439652e-06,6.626890596663569e-06,4.42994376186423e-06,,8.825969532753756e-06
Agaraceae,,,,,,,,,,,,,,,,3.2487573503137065e-06,,,,,2.206833238439652e-06,,,2.203579935964105e-06,2.206492383188439e-06
Agaricaceae,,,,,,,,,,,,,,,,,9.776031126883117e-06,9.711597913949386e-06,,,2.206833238439652e-06,6.626890596663569e-06,6.644915642796345e-06,6.610739807892315e-06,6.619477149565317e-06
Agaricostilbaceae,,,,,,,,,,,,,,,,,,3.2371993046497947e-06,,,,2.2089635322211897e-06,,,
Agelasidae,,,,,,,,,,,3.333111125924941e-05,,,,,6.497514700627413e-06,9.776031126883117e-06,2.266039513254856e-05,1.296890704535955e-05,3.2607703243816422e-06,8.827332953758608e-06,8.835854128884759e-06,1.5504803166524806e-05,1.9832219423676944e-05,1.1032461915942194e-05
Aggregatilineaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregaviridae,,,,,,,,,,,,,,,,,,,3.2422267613398885e-06,,,,,,
Agriolimacidae,,,,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,,,,,,,,,,,,,,,,6.517354084588744e-06,3.2371993046497947e-06,3.2422267613398885e-06,,6.6204997153189565e-06,8.835854128884759e-06,,,
Ahnfeltiaceae,,,,,,,,,,,,,,,,,3.258677042294372e-06,6.474398609299589e-06,3.2422267613398885e-06,3.2607703243816422e-06,,2.2089635322211897e-06,4.429943761864231e-06,4.407159871928209e-06,2.206492383188439e-06
Ahrensiaceae,,,,,,,0.0006666666666666666,,,0.0003418803418803418,0.0001666555562962471,0.0002659928181939088,6.746045131041927e-05,0.00010172250101722501,0.00019907100199071016,0.0001396965660634894,0.00012057105056489177,0.00020394355619293703,0.0001621113380669944,0.00015651697557031885,0.0001478578269754567,0.0001502095201910409,0.0001328983128559269,0.00013001121622188217,0.00011915058869217572
Aiptasiidae,,,,,,,,,,,,,3.373022565520964e-05,,,3.2487573503137065e-06,,3.2371993046497947e-06,6.484453522679777e-06,3.2607703243816422e-06,4.413666476879304e-06,4.4179270644423795e-06,2.214971880932115e-06,2.203579935964105e-06,
Aizoaceae,,,,,,,,,,0.0003418803418803418,,,,,,,,,,3.2607703243816422e-06,,,2.214971880932115e-06,,2.206492383188439e-06
Ajellomycetaceae,,,,,,,,,,,,,,,3.317850033178502e-05,6.497514700627413e-06,3.258677042294372e-06,3.2371993046497947e-06,1.6211133806699442e-05,6.5215406487632845e-06,1.5447832669077565e-05,6.626890596663569e-06,4.42994376186423e-06,4.407159871928209e-06,2.4271416215072832e-05
Akkermansiaceae,,,,,0.009868421052631578,0.00032754667540124465,0.0009999999999999998,0.001957585644371941,0.0027313076135199728,0.0017094017094017092,0.0007332844477034863,0.0007979784545817263,0.0006746045131041927,0.0007459650074596501,0.0010948905109489046,0.0010331048373996283,0.0009645684045191333,0.0008708066129507168,0.0009370035340270718,0.000948884164394953,0.0009710066249133736,0.001011705297757078,0.0009546528806816376,0.0009827966514399152,0.000973063140985883
Akkesiphycaceae,,,,,,,,,,,,,,,,,,,,,,,,,4.412984766376879e-06
Alariaceae,,,,,,,,,,,,,,,,6.497514700627413e-06,,6.474398609299589e-06,,,2.206833238439652e-06,2.2089635322211897e-06,1.328983128559269e-05,2.423937929560515e-05,6.619477149565317e-06
Albuginaceae,,,,,,,,,,,,,,,,3.573633085345076e-05,6.517354084588744e-06,3.237199304649795e-05,3.2422267613398885e-06,6.5215406487632845e-06,1.1034166192198261e-05,1.3253781193327138e-05,4.42994376186423e-06,1.1017899679820524e-05,1.1032461915942194e-05
Alcaligenaceae,0.0036363636363636364,0.0034364261168384875,,0.0032894736842105257,,0.0016377333770062233,0.001,0.0006525285481239804,0.0013656538067599864,0.0010256410256410256,0.0014665688954069742,0.001629206011437691,0.0015853206057948527,0.0013902075139020753,0.0008626410086264105,0.0014944283811443048,0.001508767470582294,0.0013304889142110657,0.0015076354440230477,0.0013434373736452366,0.0015205081012849204,0.0015948716702636988,0.001481816188343585,0.001469787817288058,0.0014496654957548043
Alcanivoracaceae,,,,,,0.0006550933508024893,0.0003333333333333333,0.0009787928221859708,0.001707067258449983,0.0013675213675213673,0.000766615558962736,0.0006649820454847719,0.0008769858670354505,0.00101722501017225,0.0008626410086264102,0.000786199278775917,0.0006810635018395235,0.0007348442421554902,0.000723016567778795,0.000743455633958936,0.0007459096345925741,0.0007046593667785596,0.0007198658613029375,0.0007778637173953291,0.0006994580854707352
Alciopedidae,,,,,,,,,,,,,,,,3.2487573503137065e-06,,,,,,,,,
Alciopidae,,,,,,,,,,,,,,,,,,,,,,,,2.203579935964105e-06,
Aleyrodidae,,,,,,,,,,,,3.32491022742386e-05,,,3.317850033178502e-05,9.74627205094112e-06,2.6069416338354977e-05,1.9423195827898768e-05,1.296890704535955e-05,1.3043081297526569e-05,8.827332953758608e-06,2.4298598854433087e-05,1.1074859404660577e-05,2.203579935964105e-05,6.619477149565317e-06
Algiphilaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Alicyclobacillaceae,,,,,,,,,,,3.333111125924941e-05,3.32491022742386e-05,0.00010119067696562891,3.390750033907501e-05,,2.2741301452195943e-05,6.191486380359307e-05,2.9134793741848154e-05,6.160230846545787e-05,6.195463616325121e-05,3.751616505347409e-05,3.5343416515539036e-05,5.537429702330288e-05,3.746085891138978e-05,3.971686289739191e-05
Alismataceae,,,,,,,,,,,,,,,,,,,,,,,,2.203579935964105e-06,
Aliterellaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Alloherpesviridae,,,,,,,,,,,,,,,,,,,,,,,,,
Alloionematidae,,,,,,,,,,,,,3.373022565520964e-05,,,,1.3034708169177488e-05,3.2371993046497947e-06,,,4.413666476879304e-06,2.2089635322211897e-06,1.7719775047456923e-05,4.407159871928209e-06,4.412984766376879e-06
Allomimiviridae,,,,,,0.00032754667540124465,,,,,,,,,3.317850033178502e-05,,,6.474398609299589e-06,3.2422267613398885e-06,,,,2.214971880932115e-06,4.407159871928209e-06,2.206492383188439e-06
Alphamonaceae,,,,,,,,,,,,,,,,,,,,,,,,2.203579935964105e-06,2.206492383188439e-06
Alphamycetaceae,,,,,,,,,,,,,,,,,,,,,2.206833238439652e-06,,,2.203579935964105e-06,
Alpheidae,,,,,,,,,,,,,,,,,3.258677042294372e-06,,,,4.413666476879304e-06,,,2.203579935964105e-06,
Alsobacteraceae,,,,,,,,,,,,,,,,,,,,,,,,,
Alteromonadaceae,0.05818181818181818,0.020618556701030924,0.05862068965517241,0.06907894736842105,0.06907894736842105,0.05601048149361284,0.06266666666666666,0.057096247960848286,0.049846363946739504,0.05572649572649571,0.0565628958069462,0.05605798643436627,0.057881067224339736,0.05774447307744473,0.058062375580623736,0.05546603424190232,0.05620566162549328,0.05648589066683117,0.05589923159225825,0.05611459651227914,0.056060184756077755,0.05604361377598019,0.05661468127662149,0.05570650078116817,0.05642221673050823
Alvernaviridae,,,,,,,,,,,,,,,,,,,,,,,,,
Alvinellidae,,,,,,,,,,,,,,,,,,,,,,,,,
Alydidae,,,,,,,,,,,,,,,,,,,,,,2.2089635322211897e-06,,4.407159871928209e-06,2.206492383188439e-06
Amanitaceae,,,,,,,,,,,,,,,,,,,,3.2607703243816422e-06,,,2.214971880932115e-06,,
Amaranthaceae,,,,,,,,,,,3.333111125924941e-05,,,,6.635700066357004e-05,3.2487573503137066e-05,3.258677042294372e-06,1.9423195827898768e-05,1.296890704535955e-05,1.9564621946289853e-05,8.827332953758608e-06,2.2089635322211897e-05,2.657966257118538e-05,1.9832219423676944e-05,2.427141621507283e-05
Amaryllidaceae,,,,,,,,,,,,,,,,,,3.2371993046497947e-06,,,,,4.429943761864231e-06,,
Ambisporaceae,,,,,,,,,,,,,,,,3.2487573503137065e-06,,3.2371993046497947e-06,,,,,,,
Amborellaceae,,,,,,,,,,,,3.32491022742386e-05,,,3.317850033178502e-05,,,6.474398609299589e-06,9.726680284019664e-06,3.2607703243816422e-06,2.206833238439652e-06,4.4179270644423795e-06,2.214971880932115e-06,1.1017899679820524e-05,4.412984766376879e-06
Ameiridae,,,,,,,,,,,,,,,,,,,,,,,,,
Aminiphilaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Aminithiophilaceae,,,,,,,,,,,,,,,,,3.258677042294372e-06,1.2948797218599179e-05,,9.782310973144928e-06,2.206833238439652e-06,,4.429943761864231e-06,,4.412984766376879e-06
Aminobacteriaceae,,,,,,,,,,,,3.32491022742386e-05,,,,3.2487573503137065e-06,,3.2371993046497947e-06,,,6.6204997153189565e-06,2.2089635322211897e-06,,1.1017899679820524e-05,2.206492383188439e-06
Amniculicolaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Amoebidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Amoebophilaceae,,,,,,,,,,,3.333111125924941e-05,,,0.00010172250101722502,6.635700066357004e-05,4.223384555407818e-05,2.6069416338354977e-05,2.5897594437198357e-05,4.539117465875843e-05,2.6086162595053138e-05,2.4275165622836172e-05,4.4179270644423795e-05,2.8794634452117497e-05,3.305369903946158e-05,6.619477149565318e-05
Amoebophryaceae,,,,,,,,,,,,,3.373022565520964e-05,,,,6.517354084588744e-06,,1.2968907045359554e-05,1.3043081297526569e-05,6.6204997153189565e-06,1.5462744725548328e-05,1.1074859404660577e-05,1.1017899679820526e-05,2.206492383188439e-06
Amorphaceae,,,,,,,,,,,9.999333377774825e-05,6.64982045484772e-05,6.746045131041927e-05,0.00020344500203445002,9.953550099535508e-05,6.497514700627412e-05,4.562147859212121e-05,5.826958748369631e-05,8.10556690334972e-05,4.565078454134299e-05,8.827332953758609e-05,6.626890596663569e-05,7.087910018982768e-05,6.170023820699492e-05,9.708566486029132e-05
Amorphoscelidae,,,,,,,,,,,,,,,,,,3.2371993046497947e-06,,,,,,,2.206492383188439e-06
Amorphothecaceae,,,,,,,,,,,,,,,,6.497514700627413e-06,,3.2371993046497947e-06,,9.782310973144928e-06,2.206833238439652e-06,4.4179270644423795e-06,6.644915642796345e-06,2.203579935964105e-06,2.206492383188439e-06
Ampharetidae,,,,,,,,,,,6.666222251849882e-05,6.64982045484772e-05,,,,6.497514700627413e-06,6.517354084588744e-06,,,3.2607703243816422e-06,,8.835854128884759e-06,6.644915642796345e-06,,4.412984766376879e-06
Amphiacanthidae,,,,,,,,,,,,,,,,,,,,,,,,,
Amphidiniaceae,,,,,,,,,,,,,,,,,3.258677042294372e-06,6.474398609299589e-06,,,,4.4179270644423795e-06,4.429943761864231e-06,2.203579935964105e-06,2.206492383188439e-06
Amphidomataceae,,,,,,,,,,,,,,,,3.2487573503137065e-06,,,,,,,,,
Amphinomidae,,,,,,,,,,,,,,,,,3.258677042294372e-06,9.711597913949386e-06,3.2422267613398885e-06,,6.6204997153189565e-06,2.2089635322211897e-06,,,
Amphipleuraceae,,,0.003448275862068965,,,0.00032754667540124465,0.0003333333333333333,0.0003262642740619902,0.0006828269033799932,0.0003418803418803418,0.0006332911139257385,0.0010307221705013964,0.0004722231591729349,0.0009494100094941001,0.0006967485069674851,0.0007439654332218387,0.0008146692605735924,0.0006668630567578577,0.0006095386311316394,0.0010010564895851378,0.0008849401286141354,0.0009896156624349694,0.0007663802708025118,0.0007822708772672573,0.0006818061464052276
Amphipsocidae,,,,,,,,,,,,,,3.390750033907501e-05,,,,,,3.2607703243816422e-06,,,2.214971880932115e-06,,
