,taxon_id,1K_1-genus,1K_2-genus,1K_3-genus,1K_4-genus,1K_5-genus,10K_1-genus,10K_2-genus,10K_3-genus,10K_4-genus,10K_5-genus,100K_1-genus,100K_2-genus,100K_3-genus,100K_4-genus,100K_5-genus,1M_1-genus,1M_2-genus,1M_3-genus,1M_4-genus,1M_5-genus,10M_1-genus,10M_3-genus,10M_4-genus,10M_5-genus
Chaetoceros,49237.0,2.0,1.0,4.0,2.0,2.0,16.0,14.0,11.0,16.0,23.0,148.0,159.0,161.0,172.0,161.0,1516.0,1500.0,1466.0,1454.0,1500.0,14721.0,14846.0,14923.0,14822.0
Salegentibacter,143222.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,2.0,3.0,17.0,16.0,11.0,15.0,15.0,137.0,113.0,124.0,112.0,119.0,1260.0,1250.0,1248.0,1267.0
Algoriphagus,246875.0,2.0,0.0,3.0,3.0,1.0,12.0,10.0,23.0,22.0,11.0,138.0,126.0,128.0,131.0,140.0,1395.0,1352.0,1349.0,1361.0,1414.0,13834.0,13711.0,13610.0,13744.0
Maribacter,252356.0,2.0,1.0,1.0,0.0,1.0,11.0,19.0,17.0,14.0,18.0,144.0,156.0,151.0,149.0,130.0,1455.0,1412.0,1397.0,1394.0,1440.0,14518.0,14433.0,14591.0,14489.0
Lutibacter,358023.0,2.0,0.0,1.0,1.0,0.0,6.0,2.0,4.0,3.0,3.0,59.0,67.0,50.0,53.0,53.0,557.0,534.0,563.0,543.0,540.0,5558.0,5501.0,5452.0,5522.0
Nonlabens,363408.0,2.0,1.0,0.0,0.0,1.0,17.0,18.0,21.0,20.0,18.0,197.0,206.0,228.0,237.0,215.0,2202.0,2140.0,2155.0,2078.0,2118.0,21299.0,21378.0,21469.0,21407.0
Aquiluna,529881.0,2.0,1.0,1.0,3.0,2.0,6.0,17.0,13.0,16.0,14.0,117.0,107.0,97.0,123.0,141.0,1109.0,1170.0,1130.0,1206.0,1118.0,11207.0,11207.0,11125.0,11074.0
Bermanella,599651.0,2.0,1.0,1.0,4.0,3.0,17.0,21.0,28.0,22.0,28.0,245.0,249.0,264.0,236.0,236.0,2480.0,2400.0,2499.0,2390.0,2452.0,24819.0,24878.0,24819.0,24684.0
Marivita,659428.0,2.0,1.0,0.0,1.0,2.0,16.0,5.0,13.0,10.0,11.0,111.0,121.0,129.0,125.0,98.0,1142.0,1160.0,1140.0,1176.0,1190.0,11446.0,11490.0,11466.0,11469.0
Halioglobus,1217416.0,2.0,1.0,0.0,1.0,0.0,12.0,6.0,6.0,5.0,6.0,71.0,74.0,75.0,66.0,83.0,668.0,660.0,646.0,690.0,645.0,6717.0,6737.0,6605.0,6806.0
