Species,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Oceanrickettsia ariakensis   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Ochrobactrum anthropi   ,,,,,,,,,,,,,2e-05,,,,2e-06,4e-06,,3e-06,2.4e-06,2.8e-06,1.8e-06,2.6e-06,2.4e-06
Ochrobactrum grignonense   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Ochrobactrum pseudogrignonense   ,,,,,,,,,,,,,,,,,4e-06,,,3e-06,4e-07,1.5e-06,9e-07,1.1e-06,8e-07
Ochrobactrum sp. GDOS  ,,,,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07
Ochrobactrum sp. MVSV6  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
Ochrobactrum sp. X-4  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,
Ochrobactrum sp. c279  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Ochrobactrum sp. enrichment culture clone,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Ochrobactrum sp. p38(2011),,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,2e-07,
Ochrobactrum sp. xll-3  ,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
Ochrobactrum tritici   ,,,,,,,,,,,,,,,,,,,,,,,,1.3e-06,
Ochrolechia szatalaensis,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Ochromonadaceae environmental sample  ,,,,,,,,,,,,,,,,,,,,,,,,5e-07,
Ochromonas danica,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Ochrosphaera neapolitana,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,5e-07,5e-07,3e-07
Ochthebius exsculptus,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Ocimum tenuiflorum,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,4e-07,3e-07,
Ocladius obliquesetosus,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07
Octadecabacter antarcticus,,,,,,,,,,,0.00019,0.00014,,,0.00023,6.1e-05,5.7e-05,6.3e-05,6.7e-05,6.1e-05,6.34e-05,6.5e-05,5.4e-05,5.72e-05,6.59e-05
Octadecabacter sp. LPB0143  ,0.011,,,,,,,,,,,,0.00021,0.00031,,5.8e-05,5.6e-05,5.5e-05,5.3e-05,4.9e-05,5.05e-05,5.11e-05,5.34e-05,5.01e-05,5.48e-05
Octoknema sp. Nickrent 4560,,,,,,,,,,,,,,,,,,,,,,8e-07,,3e-07,1.2e-06
Octosporella erythrostigma,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,
Ocyusa maura,,,,,,,,,,,,,,,,,,4e-06,,4e-06,1.1e-06,2.2e-06,1.2e-06,1.7e-06,1.3e-06
Odontembia jacobi,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,6e-07,5e-07,6e-07
Odontochlamys alpestris,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Odontolaimus sp. OdLaSp1 ,,,,,,,,,,,,,,,,,,,,,1.6e-06,7e-07,,1.4e-06,2.2e-06
Odoribacter sp. Marseille-P2698  ,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,2e-07
Oedogoniomyces sp. CR84,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Oedogonium pakistanense,,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,3e-07
Oedogonium rugulosum,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Oedogonium sp. L4,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,,6e-07,6e-07
Oedogonium sp. LUHPL150003,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Oedogonium undulatum,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Oemopteryx vanduzeea,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,4e-07,3e-07
Oenothera laciniata,,,,,,,,,,,,,,,,,,,,,3e-06,6.1e-06,2.7e-06,2.5e-06,2.5e-06
Oesophagostomum dentatum,,,,,,,,,,,,,,,,,,,,,6e-07,,2e-07,,2e-07
Oigolaimella sp. RGD884,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Oikopleura sp.,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Oithona brevicornis,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,2e-07
Oithona davisae,,,,,,,,,,,0.00014,9e-05,4e-05,0.00015,0.00013,0.000178,9.2e-05,0.000131,0.000131,0.000106,0.0001492,0.0001652,0.0001602,0.0001712,0.0001605
Okanagana villosa  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,4e-07
Olabidocarpus sp. AD416 ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,2e-07
Olavius albidoides  ,,,,,,,,,,,,,,,,,,,,,6e-07,1.1e-06,,2e-06,9e-07
Olax aphylla,,,,,,,,,,,,,,,,5e-06,,,,3e-06,1.7e-06,1.3e-06,2.1e-06,1.6e-06,1.5e-06
Olea europaea,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
Oleibacter marinus   ,,0.013,,,,0.001,0.0013,0.0017,0.0023,0.0016,0.00156,0.00161,0.00183,0.00166,0.00165,0.001491,0.001551,0.001565,0.001579,0.001574,0.0015439,0.0015418,0.0015408,0.0015362,0.0015312
Oligella sp. mixed culture X14-18,,,,,,,,,,,,,,,,,,,,,9e-07,9e-07,1e-06,1e-06,6e-07
Oligohymenophorea,,,,,,,,,,,,,,,,,5e-06,,4e-06,5e-06,3.8e-06,3.7e-06,4.3e-06,3.1e-06,4e-06
Olivibacter sp. BS18  ,,,,,,,,,,,,,,,,,2e-06,,2e-06,3e-06,1.1e-06,1.2e-06,1.2e-06,1.1e-06,1.3e-06
Olleya sp. ITB9  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Olpidiopsis sp. 4439,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Olsenella sp. SIT9  ,,,,,,,,,,,,,,,,3e-06,,2e-06,,,6e-07,5e-07,6e-07,3e-07,4e-07
Omalicna sp. JMU-2006,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Omalium caesum,,,,,,,,,,,,,,,,,,,,,,,4e-07,,
Omalogyra fusca  ,,,,,,,,,,,,,,,,3.2e-05,4.7e-05,,3.1e-05,,2.94e-05,3.37e-05,2.93e-05,3.56e-05,2.77e-05
Omalogyra sp. AD-2009 ,,,,,,,,,,,,,,,,,2.3e-05,4e-06,,5e-06,4.1e-06,4.5e-06,4.1e-06,3.7e-06,3.8e-06
Omicrogiton insularis,,,,,,,,,,,,,,,,8e-06,3e-06,3e-06,5e-06,6e-06,4e-06,4.5e-06,3.8e-06,3.6e-06,4.8e-06
Ommatius sp. D035,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Omnitrophica bacterium,,,,,,,,,,,,,,,,,,,,,1.1e-06,8e-07,,,1.2e-06
Omoglymmius hamatus,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Oncerometopus sp. WCW-2003b,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,2e-07
Onykia carriboea,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,3e-07
Oocystis sp. FL-2014,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,,,4e-07
Oocystis sp. KMMCC 251,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Oonopoides sp. 299 ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,
Opalina undulata,,,,,,,,,,,,,,,,,,,,,3e-07,8e-07,4e-07,1.2e-06,6e-07
Opercularella pumila  ,,,,,,,,,,,,,,,,,,,,,1.43e-05,2.13e-05,2.45e-05,2.24e-05,2.1e-05
Ophiocordyceps sphecocephala,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Ophionyssus natricis  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,2e-07
Ophiostoma longirostellatum,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,2e-07,3e-07
Ophiostoma minus,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,2e-07,2e-07
Ophiostoma novo-ulmi,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Ophiostoma piceae,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,8e-07,8e-07,5e-07
Ophiostoma ulmi,,,,,,,,,,,,,,,,,,,,,5e-07,,,,
Ophryoglena catenula,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Ophryotrocha diadema,,,,,,,,,,,,,,,,,,,,,1e-06,1e-06,2.9e-06,1.2e-06,1.5e-06
Ophryotrocha diadema  ,,,,,,,,,,,,,,,,,,,,,1.7e-06,2.1e-06,1.5e-06,1.6e-06,2e-06
Ophryotrocha labronica  ,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,4e-07,4e-07,
Opilia amentacea,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.2e-06,1.4e-06,1.6e-06,1.3e-06
Opisthocystis goettei  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Opisthogyne sp. n. SU-2015,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,,7e-07,
Opisthonectidae sp. MD-2012,,,,,,,,,,,,,,,,,,,,,,,,,1.4e-06
Opisthorchis viverrini  ,,,,,,,,,,,,,,,,,,,,,2e-07,3.3e-06,4e-06,3.7e-06,5e-07
Opuntia sp. MCCPL-2012,,,,,,,,,,,,,,,,,4.7e-05,,,,3.19e-05,8e-07,5e-07,3.24e-05,5e-07
Orbinia bioreti  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Orbulina universa,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Orchidantha siamensis,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,,,
Ordgarius hobsoni  ,,,,,,,,,,,,,,,,,,,,,1e-06,9e-07,1e-06,1.1e-06,1.3e-06
Oregus aereus,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Oridorsalis umbonatus,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Orius atratus,,,,,,,,,,,,,,,,9e-06,1.3e-05,8e-06,,,5.5e-06,5.5e-06,4.9e-06,4.9e-06,4.7e-06
Orius laevigatus,,,,,,,,,,,,,,,,2e-06,,,,,9e-07,8e-07,9e-07,4e-07,5e-07
Orius minutus,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Ornithobacterium rhinotracheale   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Orodendrum regale,,,,,,,,,,,,,,,,,0.000158,,,,7.85e-05,7.2e-05,7.42e-05,7.47e-05,7.41e-05
Oropetium thomaeum,,,,,,,,,,,,,,,,,3e-06,,,4e-06,2.9e-06,3.3e-06,2.5e-06,3.5e-06,4e-06
Orpinomyces sp. C1A,,,,,,,,,,,,,,,,,,,,,3.8e-06,3.8e-06,3.7e-06,4.3e-06,1.6e-06
Ortheziidae sp. JRC-2012,,,,,,,,,,,,,,,,,,,,,3e-07,,7e-07,4e-07,5e-07
Orthotylus pallens  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Orussus abietinus,,,,,,,,,,,,,,,,6e-06,4e-06,5e-06,4e-06,3e-06,4.3e-06,3.2e-06,3.7e-06,3.7e-06,5e-06
Oryctes borbonicus,,,,,,,,,,,,,,,,,,,,,5e-07,,,,
Orygmatobothrium cf. musteli 1,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Oryza longistaminata,,,,,,,,,,,,,,,,2e-06,,,,,9e-07,8e-07,7e-07,7e-07,9e-07
Oryza meridionalis,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,3e-07,,2e-07
Oryza meyeriana,,,,,,,,,,,,,,,,,,,,2e-06,5e-07,9e-07,6e-07,4e-07,7e-07
Oryza nivara,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,5e-07,3e-07,
Oryzomyopus sp. AD729 ,,,,,,,,,,,,,,,,,,,2e-06,,,,,,2e-07
Oscarella tuberculata,,,,,,,,,,,,,,,,,,3e-06,,,,4e-07,3e-07,3e-07,6e-07
Oscheius tipulae,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Oscillatoria corallinae   ,,,,,,,,,,,,,,,,,,,,,,3.1e-06,3.6e-06,3.2e-06,
Oscillatoria sp. MMG-14  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Oscillatoriales cyanobacterium 'Schier'  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Osmoporus mexicanus,,,,,,,,,,,2e-05,,,,,,2e-06,,,,1.5e-06,1.6e-06,2.3e-06,1.7e-06,1.5e-06
Osteobrama belangeri,,,,,,,,,,,,,,,,,,,,,1.2e-06,6e-07,9e-07,8e-07,9e-07
Ostreococcus sp. 'lucimarinus',,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Ostreococcus sp. cult-40,,,,,,,,,,,,,,,,,,,,,5e-07,,,4e-07,
Ostreopsis cf. ovata,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Ostreopsis sp. ORUS,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Ototretinae sp. UPOL 000M37,,,,,,,,,,,,,,,,,,,,2e-06,6e-07,7e-07,3e-07,,2e-07
Owenweeksia sp. MEBiC09403  ,,,,,,,,,,,,,,,,,5e-06,,,6e-06,2.3e-06,3.2e-06,1.9e-06,2e-06,2.2e-06
Oxalobacteraceae bacterium Gu-R-32  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,
Oxycraspedus cribricollis,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,4e-07,3e-07,3e-07
Oxyethira dualis,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,7e-07,4e-07,7e-07
Oxyrrhis marina,,,,,,,,,,,,,,,,,,,,,5e-07,,4e-07,6e-07,
Oxyrrhis marina   ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Oxystomina sp. BCA21 ,,,,,,,,,,,,,,,,2e-06,,,,,2.9e-06,2.4e-06,,2.7e-06,1.4e-06
Oxystomina sp. TCR68 ,,,0.007,,,,,0.0005,,,0.00027,0.00024,0.00025,0.00028,0.00025,0.000286,0.000251,0.000287,0.000278,0.000259,0.0002581,0.0002614,0.0002677,0.0002698,0.0002656
Oxystominidae sp. 'Cricohalalaimus' TCR97,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Oxytricha saltans,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,,,6e-07
Oxytricha trifallax,,,,,,,,,,,,,,,,4e-06,,,5e-06,4e-06,2.9e-06,2e-06,2.4e-06,2.3e-06,2e-06
Ozolaimus linstowi,,,,,,,,,,,,,,,,,,,,,2.3e-06,1.6e-06,1.3e-06,1.1e-06,1.4e-06
PLO of Paramoeba invadens AGS-2013,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,5e-07
Pachycheles rugimanus,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,
Pachydrus globosus,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,,,
Pachyella clypeata,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Pachyneura fasciata,,,,,,,,,,,,,,,,,,,,,2.6e-06,,2.6e-06,,3.1e-06
Pachyolpium sp. JM-2008 ,,,,,,,,,,,,,,,,,,,,,,8e-07,,,8e-07
Pachytroctes maculosus,,,,,,,,,,,,,,,,5e-06,4e-06,4e-06,5e-06,4e-06,3.7e-06,3.5e-06,3.5e-06,3.8e-06,3.2e-06
Paenarthrobacter aurescens   ,,,,,,,,,,,,,,,,,,,,,3e-07,6e-07,,3e-07,3e-07
Paenarthrobacter nitroguajacolicus   ,,,,,,,,,,,,,,,,,,,2e-06,3e-06,1.7e-06,1.1e-06,1.2e-06,9e-07,1.5e-06
Paenarthrobacter ureafaciens   ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Paenibacillus alvei   ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,,3e-07
Paenibacillus amylolyticus   ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Paenibacillus chibensis   ,,,,,,,,,,,,,,,,,,,,,,3e-07,,,2e-07
Paenibacillus dendritiformis   ,,,,,,,,,,,,,,,,,1.3e-05,,,,6e-07,9e-07,2.6e-06,1e-06,6e-07
Paenibacillus durus   ,,,,,,,,,,,,,,,,,,,,,4.4e-06,2.9e-06,4e-06,3.7e-06,4.4e-06
Paenibacillus glucanolyticus   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Paenibacillus graminis   ,,,,,,,,,,,,,,,,,,2e-06,,,2e-07,,,2e-07,2e-07
Paenibacillus hordei   ,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,2e-07,2e-07,2e-07
Paenibacillus koleovorans   ,,,,,,,,,,,,,,,,,,,,,,7e-07,,6e-07,7e-07
Paenibacillus larvae   ,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
Paenibacillus lautus   ,,,,,,,,,,,,,,,,,,,,,2.8e-06,1.2e-06,1.8e-06,1.9e-06,2.3e-06
Paenibacillus macerans   ,,,,,,,,,,,,,,,,,,,,,5e-07,8e-07,7e-07,4e-07,8e-07
Paenibacillus pabuli   ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,,,
Paenibacillus pasadenensis   ,,,,,,,,,,,,,,,,,,,,,3e-07,6e-07,6e-07,3e-07,7e-07
Paenibacillus polymyxa   ,,,,,,,,,,,,,,,,,,2e-06,,,8e-07,9e-07,6e-07,9e-07,1.03e-05
Paenibacillus septentrionalis   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Paenibacillus sp.   ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,3e-07,
Paenibacillus sp. 11-5  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Paenibacillus sp. 3 RIFA 1402,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,4e-07
Paenibacillus sp. 6-III  ,,,,,,,,,,,,,,,,9e-06,5e-06,5e-06,5e-06,1.2e-05,6.2e-06,8e-06,6.8e-06,7.5e-06,6.9e-06
Paenibacillus sp. A44  ,,,,,,,,,,,,,,,,,,,,,2e-07,,4e-07,,3e-07
Paenibacillus sp. B2(2015),,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Paenibacillus sp. B31(2012b),,,,,,,,,,,,,,,,3e-06,,2e-06,2e-06,,1.1e-06,1e-06,1.3e-06,1.1e-06,1.4e-06
Paenibacillus sp. BS2  ,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,5e-07,,7e-07
Paenibacillus sp. D-2  ,,,,,,,,,,,,,,,,,,,,,7e-07,2e-07,4e-07,4e-07,
Paenibacillus sp. D31B  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Paenibacillus sp. DCY88  ,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Paenibacillus sp. DS80  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Paenibacillus sp. EG_17  ,,,,,,,,,,,,,,,,,2e-06,,3e-06,,1e-06,1.4e-06,1.3e-06,8e-07,8e-07
Paenibacillus sp. Gh-134  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Paenibacillus sp. HT11-MRL  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,2e-07,
Paenibacillus sp. IHBB 10380 ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Paenibacillus sp. M10-6  ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,3e-07,
Paenibacillus sp. MME2_T1  ,,,,,,,,,,,,,,,,,,,,,2.9e-06,2.9e-06,3.7e-06,3.2e-06,
Paenibacillus sp. MO-18  ,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
Paenibacillus sp. MSL-9  ,,,,,,,,,,,,,,,,,,,,,,8e-07,4e-07,3e-07,9e-07
Paenibacillus sp. NHI-11T  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,4e-07,6e-07,
Paenibacillus sp. OTK  ,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,8e-07,,8e-07
Paenibacillus sp. RJ10  ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,4e-07,2e-07
Paenibacillus sp. TSR47  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Paenibacillus sp. WP-BT2-8  ,,,,,,,,,,,,,,,,,,,,,1.9e-06,,1e-06,1.6e-06,
Paenibacillus sp. YPTJXN5  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Paenibacillus sp. YT0003  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,
Paenibacillus terrae   ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Paenibacillus validus   ,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Paenibacillus xylanilyticus   ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,3e-07,
Paeniglutamicibacter gangotriensis   ,,,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07
Paeniglutamicibacter sulfureus   ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Paenochrobactrum glaciei   ,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,,3e-07
Paguristes cadenati,,,,,,,,,,,,,,,,,,,2e-06,,2.1e-06,1.6e-06,,2.2e-06,2e-06
Palaeoptera,,,,,,,,,,,,,,,,,,,,,1.7e-06,1.5e-06,1.6e-06,1.1e-06,1.4e-06
Palmaria palmata,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,4e-07,7e-07
Palpata Mesonerilla sp.,,,,,,,,,,,,,,,,7e-06,,1.4e-05,,,,8e-07,3e-06,,3.9e-06
Palpata Protodrilus sp.,,,,,,,,,,,,,,,,,,,3.3e-05,3.1e-05,1.43e-05,3.48e-05,1.55e-05,3.46e-05,1.58e-05
Paludibacterium sp. IMCC13005  ,,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,
Paludicella sp. AW-2011,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
Panagrellus redivivus,,,,,,,,,,,,,,,,,,,2e-06,,1.8e-06,1.1e-06,1e-06,1.1e-06,1.3e-06
Panagrobelus stammeri,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,2e-07,3e-07,6e-07
Panagrolaimus sp. AS01,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
Panax ginseng,,,,,,,,,,,,,,,,,,,,,1.4e-06,2.3e-06,1.7e-06,8e-07,1.5e-06
Pandoraea pnomenusa,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,5e-07,,
Panicum hallii,,,,,,,,,,,,,,,,,,,,2e-06,7e-07,1.3e-06,1.1e-06,1.1e-06,8e-07
Pannus brasiliensis,,,,,,,,,,,,,,,,,,,,,3e-07,,,,3e-07
Pantoea agglomerans   ,,,,,,,,,,,,,,,,,,,,,1e-06,9e-07,4e-07,9e-07,9e-07
Pantoea endophytica   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Pantoea sp. B232  ,,,,,,,,,,,,,,,,2e-06,7e-06,4e-06,2e-06,3e-06,2.9e-06,3.2e-06,3.4e-06,2.4e-06,2.8e-06
Pantoea sp. IAC/BECa-042  ,,,,,,,,,,,,,,,,,6e-06,,7e-06,,5.6e-06,5.3e-06,4.7e-06,4.6e-06,4.4e-06
Pantoea sp. IAC/BECa-043  ,,,,,,,,,,,,0.00023,,,,,2e-06,,3.6e-05,2e-06,4.03e-05,7e-06,8.4e-06,7.5e-06,8.1e-06
Pantoea sp. ICB207  ,,,,,,,,,,,,,,,,,,,,,,,,,4e-07
Pantoea sp. PTPan-1  ,,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,3e-07,3e-07
Pantoea sp. R4M-D  ,,,,,,,,,,,,,,,,,2e-06,,,,4e-07,7e-07,6e-07,5e-07,8e-07
Pantoea sp. XJ01  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,3e-07
Pantoea stewartii,,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,,
Panulirus inflatus,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Papuacedrus papuana,,,,,,,,,,,,,,,,4e-06,3e-06,5e-06,,4e-06,4.5e-06,3.7e-06,4e-06,3.7e-06,4e-06
Paraba franciscana,,,,,,,,,,,,,,,,,,,,,,,,,4e-07
Paraba rubidolineata,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,4e-07,3e-07,3e-07
Parabacteroides distasonis   ,,,,,,,,,,,,,,,,,,,,,4e-07,8e-07,,6e-07,4e-07
Parabacteroides distasonis str. 3776 D15,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Parabathyscia wollastoni,,,,,,,,,,,,,,,,,,,,,8e-07,,,,
Parabodo nitrophilus,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Paraburkholderia caribensis   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Paraburkholderia phytofirmans   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Paraburkholderia tropica   ,,,,,,,,,,,,,,,,,,,,,6e-07,,2e-07,,
Paracamallanus sp. GC-2009,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.4e-06,9e-07,7e-07,1.1e-06
Paracapnia angulata,,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,4e-07,3e-07
Paracaryophyllaeus sp. 2 AW-2014,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Paracercomonas minima   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Parachlamydia sp.,,,,,,,,,,,,,,,,,,,,,8e-07,9e-07,9e-07,9e-07,1.3e-06
Parachlamydiaceae bacterium CRIB38  ,,,,,,,,,,,,,,,,,,,,,1e-06,7e-07,7e-07,9e-07,8e-07
Paraclostridium bifermentans   ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,4e-07,2e-07
Paracoccidioides brasiliensis,,,,,,,,,,,,,,,,,,,,,1.5e-06,2.2e-06,1.2e-06,7e-07,
Paracoccus alkenifer   ,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,4e-07,3e-07,7e-07
Paracoccus kawasakiensis   ,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,,4e-07
Paracoccus marginatus,,,,,,,,,,,,,,,,,5e-06,5e-06,2e-06,5e-06,4.8e-06,4.9e-06,4.6e-06,5.6e-06,4e-06
Paracoccus pantotrophus   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Paracoccus sp. 43P  ,,,,,,,,,,,,,,,,,,,,,,1.1e-06,,5e-07,
Paracoccus sp. BD-1  ,,,,,,,,,,,,,,,,,,2e-06,,,3e-07,3e-07,,3e-07,2e-07
Paracoccus sp. HZ04  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Paracoccus sp. enrichment culture ,,,,,,,,,,,,,,,,,,,2e-06,,,2e-07,,,
