phylum,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Candidatus Walliibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000000000000004e-05,0.0,3.000024000192002e-06,1.0000100001000012e-05,5.000040000320003e-06,9.000054000324003e-06,4.000032000256002e-06,9.626101940200803e-06,5.500067375650037e-06,5.503360185327844e-06,1.0310718582661764e-05,6.875561041244815e-06
Candidatus Wildermuthiibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,2.000016000128001e-06,2.000020000200002e-06,0.0,0.0,2.000016000128001e-06,6.87578710014343e-07,1.3750168439125092e-06,6.879200231659802e-07,1.3747624776882353e-06,2.062668312373444e-06
Candidatus Wirthbacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3758400463319605e-06,0.0,0.0
Candidatus Woesearchaeota,0.0,0.0,0.0,0.0,0.0,0.0004,0.0001,0.0,0.0004,0.0,0.000130001300013,0.0001,0.00012,8e-05,0.00010000100001,0.00013300106400841998,0.0001410014100141,0.000126001008008048,0.000134000804004744,0.00014100112800902,0.00013476542716272868,0.00013406414228146876,0.00012726520428563197,0.00013060243538035295,0.0001326983280960224
Candidatus Woesebacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000040000400004e-05,1e-05,0.0,0.0,1.000010000100001e-05,1.700013600108801e-05,2.200022000220002e-05,1.6000128001024008e-05,1.8000108000648003e-05,2.5000200001600013e-05,1.9252203880401603e-05,3.0937878988031455e-05,2.9580560996137153e-05,2.0621437165323528e-05,1.6501346498987556e-05
Candidatus Wolfebacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,2e-05,0.0,1.000010000100001e-05,1.2000096000768006e-05,1.000010000100001e-05,8.000064000512004e-06,9.000054000324003e-06,5.000040000320003e-06,8.938523230186459e-06,4.125050531737528e-06,6.1912802084938224e-06,5.499049910752941e-06,4.125336624746889e-06
Candidatus Woykeibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,1.000010000100001e-05,1.0000080000640005e-06,0.0,2.000016000128001e-06,0.0,1.0000080000640005e-06,0.0,6.875084219562546e-07,6.879200231659802e-07,6.873812388441177e-07,6.875561041244814e-07
Candidatus Yanofskyibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,2.000020000200002e-05,1e-05,1e-05,0.0,0.0,5.000040000320003e-06,6.000060000600006e-06,3.0000240001920015e-06,2.000012000072001e-06,2.000016000128001e-06,4.125472260086058e-06,7.562592641518801e-06,2.751680092663921e-06,3.4369061942205884e-06,2.0626683123734445e-06
Candidatus Yonathiibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,2.000016000128001e-06,2.000020000200002e-06,1.0000080000640005e-06,6.000036000216002e-06,3.0000240001920015e-06,2.750314840057372e-06,1.3750168439125092e-06,2.751680092663922e-06,6.873812388441177e-07,6.875561041244814e-07
Candidatus Zambryskiibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,2.000020000200002e-06,2.000016000128001e-06,3.0000180001080015e-06,0.0,3.4378935500717147e-06,4.812558953693783e-06,1.3758400463319605e-06,2.7495249553764707e-06,0.0
Candidatus Zixiibacteriota,0.0,0.001,0.0,0.0,0.0,0.0003,0.0001,0.0002,0.0,0.0002,7.000070000700006e-05,0.00015,0.00014,0.00017,0.000150001500015,0.00012700101600804,0.00016400164001640003,0.000134001072008532,0.000134000804004752,0.00016500132001048002,0.0001540176310431717,0.00014575178545465003,0.00014446320486485569,0.00016703364103911765,0.0001540125673237938
Cercozoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1.000010000100001e-05,1e-05,1e-05,0.0,2.000020000200002e-05,7.000056000448005e-06,1.5000150001500015e-05,1.3000104000832007e-05,9.000054000324005e-06,1.5000120000960007e-05,9.626101940200802e-06,8.93760948543131e-06,1.1694640393821666e-05,4.8116686719088236e-06,1.2376009874240668e-05
Chaetognatha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,1.0000080000640005e-06,1.375157420028686e-06,0.0,0.0,0.0,0.0
Chlamydiota,0.0,0.0,0.001,0.0,0.0,0.00030000000000000003,0.0012,0.0005,0.0004,0.0001,0.00047000470004700045,0.00034,0.00051,0.00028000000000000003,0.00046000460004600043,0.00038600308802470417,0.0003850038500385004,0.00039700317602540816,0.0004250025500153001,0.0003880031040248322,0.0003898571285781325,0.0003801921573418088,0.00037354057257912735,0.00040074326224612055,0.00041184610637056443
Chlorobiota,0.0,0.001,0.0,0.0,0.0,0.0006000000000000001,0.0002,0.0001,0.0001,0.0002,0.00020000200002000005,0.00022,0.00018,0.00021,0.00022000220002200006,0.00020200161601283205,0.00019300193001930006,0.000214001712013688,0.00018200109200655203,0.00019300154401226405,0.00020833634913427733,0.00019868993394530043,0.00018642632627790422,0.00018284340953249117,0.000200078826300183
Chloroflexota,0.003,0.003,0.006,0.003,0.008,0.004,0.0048000000000000004,0.0036000000000000003,0.0049,0.0043,0.004680046800468001,0.00449,0.00439,0.00455,0.004370043700437001,0.0045490363922908485,0.0043650436504365005,0.004509036072288304,0.0047430284581704485,0.0047250378003020725,0.00453526917125428,0.00462624417134328,0.004641396396300659,0.004483787820979811,0.0046815695129832045
