Phylum,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Caldiserica,,,,,,,,,,,2e-05,5e-05,4e-05,2e-05,5e-05,4.9e-05,4.3e-05,4.4e-05,4.4e-05,4.4e-05,3.92e-05,4.24e-05,4.13e-05,4.1e-05,4.17e-05
Caldisericota,,,,,,,,,,,,,,,,,,,,,7e-07,6e-07,6e-07,6e-07,6e-07
Calditrichota,,,,,,,,,,,,,,,,1.2e-05,9e-06,1.4e-05,9e-06,1.1e-05,1.36e-05,1.39e-05,2.61e-05,2.05e-05,1.37e-05
Campylobacterota,,,,,,,,,,,9e-05,0.00015,0.00012,9e-05,0.00011,0.000108,0.000118,0.000135,0.000163,0.000144,0.0001212,0.000114,0.0001212,0.000115,0.0001201
Candidate division YNPFFA,,,,,,,,,,,,,,,,,,,,,8e-07,9e-07,8e-07,8e-07,1.1e-06
Candidatus Adlerbacteria,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Candidatus Amesbacteria,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Candidatus Aminicenantota,,,,,,,,,,,,,,,,,,,,,1.6e-06,1.9e-06,1.4e-06,1.1e-06,1.2e-06
Candidatus Azambacteria,,,,,,,,,,,,,,,,,,,,,1.1e-06,5e-07,8e-07,8e-07,8e-07
Candidatus Bathyarchaeota,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,2e-07,6e-07,5e-07
Candidatus Berkelbacteria,,,,,,,,,,,,,,,,,,,,,2.4e-06,1.5e-06,2.4e-06,3e-07,2.1e-06
Candidatus Calescamantes,,,,,,,,,,,,,,,,,,,2e-06,,8e-07,1.4e-06,1.3e-06,1e-06,8e-07
Candidatus Campbellbacteria,,,,,,,,,,,,,,,,4e-06,4e-06,5e-06,5e-06,,4.1e-06,4.3e-06,2.5e-06,3.6e-06,3.4e-06
Candidatus Collierbacteria,,,,,,0.001,,0.0008,,0.0012,0.00059,0.00072,0.00087,0.0008,0.0007,0.000811,0.000744,0.000779,0.000756,0.000749,0.0007847,0.0007842,0.0008003,0.0007854,0.0007898
Candidatus Curtissbacteria,,,,,,,,,,,,,,,,,,,,,,4.9e-06,,8.2e-06,
Candidatus Daviesbacteria,,,,,,,,,,,,,,,,,,,,,,,1e-06,,
Candidatus Giovannonibacteria,,,,,,,,,,,,,,,,4e-06,5e-06,5e-06,3e-06,7e-06,2.2e-06,2.7e-06,2.3e-06,2.6e-06,2.3e-06
Candidatus Gracilibacteria,,,,,,0.0004,,0.0002,0.0004,0.0004,0.00027,0.00033,0.0003,0.00034,0.00037,0.000321,0.000347,0.000284,0.000304,0.000323,0.0003129,0.0003154,0.0003078,0.0003158,0.0003074
