phylum,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Candidatus Desantisbacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Dormiibacterota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Doudnaibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Edwardsiibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Eiseniibacteriota,,,,,,,,,,,,,,,,,,1.262965126375528e-05,,,2.1514120793184045e-06,2.153190921285941e-06,,,2.1526300834360847e-06
Candidatus Electryoneota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Elulimicrobiota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Falkowbacteria,,,,,,,,,,,,,,,,,,,,,2.1514120793184045e-06,,,,
Candidatus Fermentibacterota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Fervidibacterota,,,,,,,,,,,,,,,,,,3.15741281593882e-06,,,,4.306381842571882e-06,2.159085756727313e-06,,
Candidatus Firestoneibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Fischeribacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Fraseribacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Geothermarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Gerdarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Giovannonibacteria,,,,,,,,,,,,,,,,,,,,,2.1514120793184045e-06,2.153190921285941e-06,2.159085756727313e-06,,
Candidatus Glassiibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Goldiibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Gottesmanbacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Gracilibacteria,,,,,,,,,0.000988467874794069,,0.00019507120098836089,0.00029237866285491515,0.00022991525980424355,0.00019817022822604614,0.00032248701989744946,0.00025969419425127347,0.0002509043673239939,0.00020523183303602325,0.0002715778038829479,0.00027002814646328417,0.00023880674080434296,0.00026484248331817075,0.00026556754807745953,0.00021290139439662074,0.00032504714259884877
Candidatus Gribaldobacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Hadarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Handelsmaniibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Harrisoniibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Heimdallarchaeota,,,,,,,,,,,,,,3.302837137100769e-05,,3.167002368917969e-06,9.528013949012426e-06,6.31482563187764e-06,,,2.1514120793184045e-06,2.153190921285941e-06,6.47725727018194e-06,,2.1526300834360847e-06
Candidatus Helarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Hinthialibacterota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Hydrogenedentota,,,,,,,,,,,,,,,,3.167002368917969e-06,9.528013949012427e-06,,,1.5884008615487303e-05,1.0757060396592025e-05,2.153190921285941e-06,8.636343026909256e-06,8.602076541277605e-06,4.305260166872169e-06
Candidatus Hydrothermarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Hydrothermota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Iainarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Jacksoniibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
