family,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Bartheletiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartonellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0000500005000046e-05,6.000000000000001e-05,5e-05,0.00011,0.00010000100001000009,9.400075200601605e-05,8.900089000890008e-05,9.800078400627205e-05,8.900053400320404e-05,8.600068800550405e-05,9.351070456195066e-05,0.0001436892601888572,8.048664271041969e-05,9.417122972164411e-05,6.600538599595023e-05
Basidiobolaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathycoccaceae,0.0,0.002,0.002,0.001,0.0,0.00039999999999999996,0.0005,0.0015,0.0018,0.0013,0.0012100121001210001,0.001,0.0012900000000000001,0.0013599999999999999,0.001270012700127,0.0012660101280809399,0.0013850138501385,0.001227009816078432,0.001297007782046564,0.0013880111040886801,0.0013008989193470048,0.0013000784259191442,0.001324933964617564,0.0012613445732788178,0.0013276708370642074
Bathylasmatidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathyspinulidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,6.875084219562546e-07,0.0,0.0,0.0
Batillariidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batrachospermaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,5.000050000500005e-06,0.0,2.000012000072001e-06,4.000032000256002e-06,5.500629680114744e-06,2.7500336878250184e-06,2.0637600694979405e-06,2.062143716532353e-06,3.4377805206224074e-06
Beijerinckiaceae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,4.000040000400004e-05,2e-05,2e-05,3.0000000000000004e-05,6.000060000600006e-05,4.9000392003136025e-05,3.900039000390004e-05,6.100048800390403e-05,4.900029400176401e-05,4.500036000288002e-05,4.1942301310874925e-05,4.53755558491128e-05,3.370808113513304e-05,4.9491449196776466e-05,6.188004937120333e-05
Belidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875561041244814e-07
