phylum,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Bryozoa,0.0012121212121212121,,,,,,,,,,1.2258958233729307e-05,1.184651653181382e-05,,2.3951522119230678e-05,5.932183280734646e-05,1.6336494445009286e-05,1.5187270730624563e-05,2.0994216093467274e-05,1.4027196395946387e-05,1.1666106693545962e-05,9.589344320591474e-06,1.2772299436981728e-05,1.6781433022504807e-05,1.1186495662436879e-05,1.5131159277750743e-05
Caldisericota,,,,,,,,,,,,,2.483299808785915e-05,,1.1864366561469292e-05,3.5006773810734185e-06,4.67300637865371e-06,8.164417369681717e-06,1.636506246193745e-05,8.166274685482172e-06,5.593784187011693e-06,7.184418433302222e-06,1.038850615678869e-05,5.593247831218442e-06,4.778260824552867e-06
Calditrichota,0.0036363636363636364,,0.0012019230769230768,,,0.0002450079627587897,0.0004877453969028167,0.00036665851869958454,0.00037453183520599247,,0.00031873291407696176,0.000260623363699904,0.00026074647992252106,0.0002514909822519221,0.0002847447974752628,0.0002485480940561146,0.00024766933806864654,0.0002367681037207697,0.0002431380708630613,0.00024732146190307167,0.0002421309440948726,0.000233094464724901,0.0002405338733225053,0.00024290676295576547,0.0002588224613299464
Campylobacterota,0.0012121212121212121,0.0011862396204033213,0.004807692307692307,,,0.0013475437951733433,0.0008535544445799294,0.0015888535810315329,0.000749063670411985,0.0008802816901408453,0.0009194218675296979,0.000852949190290595,0.0009809034244704364,0.0007544729467557664,0.0009254205917946047,0.000842496356378336,0.0008119348582910821,0.0009190801267584001,0.000880206573845617,0.0008924571620561587,0.0008142951552234829,0.0008836834672960779,0.0008023123216473727,0.0008741447324789657,0.0008369920211007625
Candidatus Abawacaibacteriota,,,,,,,,,,,1.2258958233729307e-05,2.369303306362764e-05,,,,,,,,1.1666106693545962e-06,1.5982240534319122e-06,,,7.990354044597774e-07,7.963768040921443e-07
Candidatus Absconditibacteriota,,,,,,,,0.00012221950623319484,,,,9.477213225451056e-05,3.7249497131788726e-05,2.3951522119230678e-05,4.745746624587718e-05,2.100406428644051e-05,2.570153508259541e-05,2.799228812462303e-05,3.9743723121848095e-05,2.683204539515571e-05,1.9178688641182952e-05,3.193074859245432e-05,2.7169939179293492e-05,3.435852239177042e-05,3.663333298823864e-05
Candidatus Adlerbacteria,,,,,,,,,,,,,,,,,1.1682515946634276e-06,,2.337866065991065e-06,,7.991120267159561e-07,,,7.990354044597774e-07,7.963768040921443e-07
Candidatus Aenigmatarchaeota,,,,,,,,,,,7.355374940237585e-05,3.5539549595441456e-05,2.483299808785915e-05,3.592728317884602e-05,1.1864366561469292e-05,2.8005419048587345e-05,2.920628986658569e-05,2.216056143199323e-05,3.27301249238749e-05,3.8498152088701675e-05,1.9977800667898903e-05,3.272901730726568e-05,3.755844533608219e-05,3.116238077393131e-05,5.01717386578051e-05
Candidatus Aerophobetes,,0.0011862396204033213,,,,,,,,,1.2258958233729307e-05,,1.2416499043929574e-05,1.1975761059615339e-05,1.1864366561469292e-05,8.168247222504643e-06,1.051426435197085e-05,1.0497108046733637e-05,8.182531230968725e-06,5.833053346772981e-06,1.2785792427455297e-05,7.184418433302222e-06,5.593811007501602e-06,6.392283235678219e-06,6.371014432737156e-06
Candidatus Altarchaeota,,,,,,,,,,,,,2.483299808785915e-05,,,1.2835817063935866e-05,5.841257973317139e-06,1.8661525416415352e-05,9.35146426396426e-06,1.0499496024191365e-05,1.9977800667898903e-05,1.51671055814158e-05,1.1187622015003205e-05,1.198553106689666e-05,6.371014432737156e-06
