,1K,10K,100K,1M,10M
Erysipelotrichales,,,8.944271909999158e-06,3.507135583350037e-06,1.0657548185832116e-06
Nevskiales,,0.00020816659994661325,6.877499545619759e-05,1.4926486525636225e-05,2.0083160441856125e-06
Craspedida,,7.071067811865475e-05,1.8165902124584954e-05,2.683281572999749e-06,1.1982626312012441e-06
Chroococcales,,4.4721359549995795e-05,4.393176527297759e-05,1.1777096416349828e-05,1.0551461194229587e-06
Laminariales,,,,1.0000000000000002e-06,1.7320508075688765e-07
Peridiniales,,,2.7748873851023215e-05,1.0183319694480778e-05,2.114237451186599e-06
Taphrinales,,,,8.366600265340757e-07,6.403124237432851e-07
Eurotiales,,,2.1908902300206642e-05,1.052140675005011e-05,1.1926860441876557e-06
Bryopsidales,,,5e-06,3.741657386773942e-06,5.1234753829798e-07
Eupodiscales,,,1.3038404810405297e-05,3.4205262752974147e-06,1.8172781845386234e-06
Fragilariales,,0.00013038404810405298,3.507135583350037e-05,9.602083107326246e-06,3.1059083480789756e-06
Oxymonadida,,,,3.898717737923585e-06,3.8622100754188194e-07
Isochrysidales,,5.7735026918962585e-05,1.9235384061671346e-05,3.7416573867739424e-06,5.099019513592771e-07
Pavlovales,,,4.47213595499958e-06,3.834057902536163e-06,5.416025603090638e-07
Rubrobacterales,,7.071067811865475e-05,3.535533905932738e-05,1.4166862743741116e-05,1.723127002477376e-06
Bifidobacteriales,,,8.16496580927726e-06,2.8635642126552712e-06,1.2945398152754254e-06
Micromonosporales,,5e-05,4.6368092477478516e-05,8.717797887081344e-06,1.2556538801224959e-06
Streptosporangiales,,5.773502691896258e-05,4.123105625617661e-05,1.3957077057894323e-05,1.4500000000000048e-06
Pleosporales,,,2.7018512172212595e-05,3.898717737923584e-06,1.4728091073410237e-06
Deinococcales,,,3.3166247903554e-05,5.787918451395113e-06,9.831920802501776e-07
Legionellales,,0.00019493588689617925,4.335896677735759e-05,8.757853618324529e-06,1.2935738607954809e-06
Leptocylindrales,,,1.4832396974191327e-05,1.2340988615179909e-05,1.2355835328567057e-06
Herpetosiphonales,,,,2.0816659994661327e-06,3.415650255319867e-07
Eunotiales,,0.00017320508075688773,4.2190046219457976e-05,1.4117365193264645e-05,2.459505370326861e-06
Acidobacteriales,,,2.1908902300206645e-05,1.0014988766843425e-05,1.3699148392023017e-06
Coscinodiscales,,7.071067811865475e-05,2.588435821108957e-05,7.328028384224504e-06,9.469248474227861e-07
Fibrobacterales,,,,1.3038404810405298e-06,8.578072821638516e-07
Opitutales,,5.773502691896258e-05,2.8809720581775873e-05,7.402702209328702e-06,2.2671568097509324e-06
Cymatosirales,,,1.4142135623730953e-05,4.1593268686170844e-06,1.0099504938362074e-06
Biddulphiales,,,2.9664793948382654e-05,4.2071367935925265e-06,8.098353742170881e-07
Desulfarculales,,,9.574271077563381e-06,2.1679483388678804e-06,9.814954576223636e-07
Anaulales,,5.7735026918962585e-05,1.5e-05,3.6469165057620936e-06,5.377421934967217e-07
Holophagales,,,5.773502691896259e-06,3.391164991562634e-06,4.041451884327379e-07
Kineosporiales,,,8.366600265340756e-06,4.96990945591567e-06,1.7616280348965099e-06
Ignavibacteriales,,,2.073644135332772e-05,9.016651263079877e-06,1.4071247279470274e-06
Geodermatophilales,,,2.9495762407505256e-05,5.128352561983233e-06,2.7402858731648167e-06
Petrotogales,,,,1.0954451150103323e-06,1.7078251276599334e-07
Acidiferrobacterales,,,1.2583057392117918e-05,4.393176527297759e-06,7.047458170621994e-07
Micropepsales,,,,1.3038404810405298e-06,3.3166247903554e-07
Kiritimatiellales,,,3.114482300479487e-05,1.2637246535539299e-05,2.2818121453499773e-06
