family,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Acidiferrobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,5.000050000500006e-05,0.00012,3.0000000000000004e-05,5e-05,0.00010000100001000009,5.200041600332802e-05,7.500075000750007e-05,6.900055200441602e-05,6.500039000234001e-05,5.100040800326403e-05,5.844419035121915e-05,5.087562322476284e-05,5.503360185327842e-05,5.9802167779438225e-05,6.256760547532782e-05
Acidilutibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidimicrobiaceae,0.0,0.0,0.001,0.0,0.0,0.0002,0.0003,0.0001,0.0003,0.0005,0.0004400044000440001,0.00047,0.00054,0.00027,0.0005400054000540001,0.00040700325602602,0.00041100411004110006,0.000385003080024588,0.000424002544015208,0.000359002872022936,0.0003788558692178892,0.00040562996895410035,0.000394178173274065,0.0003973063560518941,0.00039809498428801366
Acidithiobacillaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,1.000010000100001e-05,0.0,0.0,3.0000000000000004e-05,5.0000500005000046e-05,2.7000216001728015e-05,3.200032000320003e-05,2.0000160001280012e-05,2.400014400086401e-05,2.5000200001600013e-05,3.0253463240631093e-05,2.475030319042517e-05,2.476512083397529e-05,1.9246674687635294e-05,2.4752019748481333e-05
Acidobacteriaceae,0.0,0.0,0.002,0.0,0.0,0.00030000000000000003,0.0001,0.0001,0.00030000000000000003,0.0,8.000080000800008e-05,0.00013000000000000002,9e-05,0.00013000000000000002,9.000090000900009e-05,0.00010400083200665606,0.00013000130001300012,0.00012400099200793606,0.00010700064200385204,9.800078400627205e-05,0.0001265144826426391,0.00011000134751300074,0.00011281888379922077,0.00011891695432003235,0.00012376009874240666
Acidocellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,5.0000500005000046e-05,2e-05,2e-05,1e-05,3.000030000300003e-05,2.8000224001792012e-05,3.300033000330003e-05,2.0000160001280012e-05,3.800022800136801e-05,5.7000456003648026e-05,3.3691356790702804e-05,3.6437946363681495e-05,3.1644321065635094e-05,2.4745724598388233e-05,3.5752917414473036e-05
Acidothermaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000240001920015e-06,1.000010000100001e-06,0.0,2.000012000072001e-06,1.0000080000640005e-06,0.0,0.0,6.879200231659802e-07,2.7495249553764707e-06,0.0
Acinetidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetosporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,1.0000080000640005e-06,2.000020000200002e-06,3.000024000192002e-06,7.000042000252001e-06,1.0000080000640005e-06,2.750314840057372e-06,1.3750168439125092e-06,1.1694640393821666e-05,1.3747624776882352e-05,1.375112208248963e-06
Ackermannviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,2.000016000128001e-06,2.000020000200002e-06,4.000032000256002e-06,2.000012000072001e-06,1.0000080000640005e-06,1.375157420028686e-06,2.062525265868764e-06,2.063760069497941e-06,2.7495249553764702e-06,0.0
Acmaeidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acoetidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acrasidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000060000360005e-06,1.0000080000640005e-06,0.0,0.0,0.0,6.873812388441177e-07,6.875561041244814e-07
Acrididae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,1e-05,1e-05,3.000030000300003e-05,1.5000120000960007e-05,1.3000130001300012e-05,1.900015200121601e-05,1.4000084000504003e-05,9.000072000576005e-06,1.581431033032989e-05,1.3750168439125092e-05,1.1006720370655686e-05,1.5122387254570588e-05,1.9939127019609962e-05
Acroceridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acrochaetiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.873812388441177e-07,0.0
Acroporidae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,3.000030000300003e-05,5e-05,4e-05,5e-05,0.00011000110001100011,3.500028000224002e-05,4.500045000450004e-05,2.9000232001856013e-05,4.000024000144001e-05,3.900031200249602e-05,3.6441671630760175e-05,4.743808111498157e-05,2.8204720949805195e-05,3.711858689758235e-05,4.537870287221578e-05
Acrospermaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,1.000010000100001e-06,0.0,2.000012000072001e-06,0.0,6.87578710014343e-07,1.3750168439125092e-06,6.879200231659802e-07,6.873812388441177e-07,0.0
Acrothesauraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acrotrichaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,3.000024000192002e-06,1.000010000100001e-06,1.0000080000640005e-06,2.000012000072001e-06,3.0000240001920015e-06,2.750314840057372e-06,4.125050531737528e-06,2.751680092663921e-06,4.124287433064706e-06,1.3751122082489629e-06
Actiniidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,2e-05,0.0,1e-05,0.0,1.6000128001024008e-05,1.4000140001400014e-05,1.700013600108801e-05,3.100018600111601e-05,1.3000104000832007e-05,1.3063995490272516e-05,9.625117907387564e-06,1.4446320486485586e-05,1.8559293448791176e-05,1.5126234290738593e-05
Actinomycetaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030000000000000003,0.0,0.0,3.000030000300003e-05,2e-05,1e-05,3.0000000000000004e-05,5.0000500005000046e-05,2.300018400147201e-05,2.400024000240002e-05,2.300018400147201e-05,2.4000144000864012e-05,1.6000128001024008e-05,2.1314940010444632e-05,2.543781161238142e-05,2.7516800926639215e-05,2.6807868314920586e-05,2.6127131956730298e-05
Actinopolymorphaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,3.0000000000000004e-05,5.000050000500006e-05,1.2000096000768006e-05,8.000080000800008e-06,6.000048000384004e-06,1.3000078000468004e-05,2.000016000128001e-06,7.563365810157773e-06,1.1687643173256328e-05,6.1912802084938224e-06,1.443500601572647e-05,2.0626683123734445e-06
Actinopolysporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,2.000016000128001e-06,2.000012000072001e-06,1.0000080000640005e-06,1.375157420028686e-06,0.0,1.3758400463319605e-06,6.873812388441177e-07,2.0626683123734445e-06
Actinospicaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000040000320003e-06,1.000010000100001e-06,3.0000240001920015e-06,0.0,4.000032000256002e-06,1.375157420028686e-06,3.437542109781273e-06,6.879200231659802e-07,2.062143716532353e-06,2.0626683123734445e-06
Actinostolidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,2.000016000128001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acutalibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,1.000010000100001e-06,2.000016000128001e-06,2.000012000072001e-06,3.0000240001920015e-06,3.4378935500717147e-06,6.875084219562546e-07,4.127520138995882e-06,0.0,4.125336624746889e-06
Acytosteliaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,1e-05,4e-05,3.0000300003000036e-05,3.500028000224002e-05,2.6000260002600025e-05,3.500028000224002e-05,3.400020400122401e-05,2.2000176001408014e-05,4.606777357096098e-05,3.506292951976899e-05,2.270136076447735e-05,5.0178830435620585e-05,2.8189800269103742e-05
Adelgidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000030000300003e-06,1.0000080000640005e-06,3.000018000108001e-06,1.0000080000640005e-06,3.437893550071715e-06,2.062525265868764e-06,2.751680092663922e-06,2.062143716532353e-06,2.7502244164979258e-06
Adelidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adenocystaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Adenoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aderidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
