order,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Emcibacterales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.00012000120001200012,0.00022,6e-05,0.00014000000000000001,6.000060000600005e-05,8.600068800550404e-05,0.00012700127001270015,7.200057600460804e-05,7.700046200277202e-05,7.500060000480003e-05,8.732249617182155e-05,6.806333377366921e-05,8.667792291891353e-05,8.317312990013824e-05,7.288094703719505e-05
Enchytraeida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375157420028686e-06,0.0,0.0,0.0,0.0
Endogenida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000032000256002e-06,0.0,0.0,0.0,0.0,6.87578710014343e-07,2.062525265868764e-06,2.063760069497941e-06,0.0,1.375112208248963e-06
Endogonales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000060000360005e-06,0.0,0.0,0.0,0.0,0.0,0.0
Endomicrobiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,1.000010000100001e-06,0.0,2.000012000072001e-06,0.0,0.0,0.0,2.751680092663922e-06,0.0,1.375112208248963e-06
Enoplida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterobacterales,0.002,0.002,0.007,0.003,0.001,0.0026,0.003,0.002,0.0037,0.003,0.0024800248002480024,0.00236,0.00256,0.00232,0.0027400274002740027,0.0027580220641765132,0.0027860278602786026,0.0027110216881734614,0.0026730160380962287,0.0026110208881671053,0.002687745177446067,0.0027926592099863064,0.002798458654239208,0.0027618978176756647,0.0029152378814878014
Entodiniomorphida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entomobryomorpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000032000256002e-06,4.000040000400004e-06,3.000024000192002e-06,3.0000180001080015e-06,2.000016000128001e-06,2.062736130043029e-06,1.3750168439125092e-06,1.3758400463319605e-06,1.3747624776882351e-06,2.0626683123734445e-06
Entomophthorales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,6.873812388441177e-07,6.875561041244814e-07
