SampleIdx,Genus,Phylum_18S,RA_18S,Phylum_PAMA,RA_PAMA,Phylum_final,Phylum_plot
3,Hypnocyclicus,,0.0,Fusobacteriota,3.5764526358455924e-05,Fusobacteriota,Other
3,IMCC26207,,0.0,Actinobacteriota,0.0003392326877256211,Actinobacteriota,Actinobacteriota
3,IN2411,,0.0,Ciliophora,0.0001430581054338237,Ciliophora,Ciliophora
3,IheB3-7,,0.0,Bacteroidota,0.0005511374406088018,Bacteroidota,Bacteroidota
3,Ilumatobacter,,0.0,Actinobacteriota,0.0013649444932093135,Actinobacteriota,Actinobacteriota
3,Incertae_Sedis,,0.0,Firmicutes,7.692667884114974e-05,Firmicutes,Other
3,Izemoplasmatales,,0.0,Firmicutes,0.0005482896415821912,Firmicutes,Other
3,Izimaplasma,,0.0,Firmicutes,0.00036791020315332494,Firmicutes,Other
3,JG30-KF-CM45,,0.0,Chloroflexi,0.000500703369018383,Chloroflexi,Other
3,JGI_0000069-P22,,0.0,Patescibacteria,7.152905271691185e-05,Patescibacteria,Other
3,KD4-96,,0.0,Chloroflexi,0.0006065064305421278,Chloroflexi,Other
3,KF-JG30-B3,,0.0,Proteobacteria,0.00044559887751820405,Proteobacteria,Proteobacteria
3,KI89A_clade,,0.0,Proteobacteria,0.0019952604678279097,Proteobacteria,Proteobacteria
3,Kistimonas,,0.0,Proteobacteria,0.00035168450919148325,Proteobacteria,Proteobacteria
3,Kordiimonas,,0.0,Proteobacteria,0.00022074612189199494,Proteobacteria,Proteobacteria
3,LCP-89,,0.0,LCP-89,0.00012047326466241556,LCP-89,Other
3,Labilibacter,,0.0,Bacteroidota,0.00016054263410326906,Bacteroidota,Bacteroidota
3,Labrenzia,,0.0,Proteobacteria,0.00016103947328714336,Proteobacteria,Proteobacteria
3,Labyrinthula,,0.0,Labyrinthulomycetes,0.0036618176859321105,Labyrinthulomycetes,Other
3,Labyrinthuloides,,0.0,Labyrinthulomycetes,0.0003328413832336346,Labyrinthulomycetes,Other
3,Labyrinthulomycetes,,0.0,Labyrinthulomycetes,0.00032777454462750767,Labyrinthulomycetes,Other
3,Lankesteria,Apicomplexa,0.00040447620331670486,,0.0,Apicomplexa,Other
3,Latescibacteraceae,,0.0,Latescibacterota,0.0005392487474117776,Latescibacterota,Other
3,Latescibacterota,,0.0,Latescibacterota,0.0023410163803087368,Latescibacterota,Other
3,Leeuwenhoekiella,,0.0,Bacteroidota,0.00029432816252265994,Bacteroidota,Bacteroidota
3,Legionella,,0.0,Proteobacteria,0.00010729357907536778,Proteobacteria,Proteobacteria
