,FeatureID,SampleID,Count,Kingdom,Phylum,Class,Order,Family,Genus,Species,Method,core
986,a2962a413c800726066d70d1be676b48,OL-16S-2b,14.0,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,Unassigned,16S,2b
987,f38b4f91cb378feca7423bd6ca33c176,OL-16S-2b,13.0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Unassigned,16S,2b
988,3aa116f0aeba92b067e232a2306d1d80,OL-16S-2b,13.0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Unassigned,16S,2b
989,e32f806f1cf934ff332c2af43bae4614,OL-16S-2b,13.0,Bacteria,Dependentiae,Babeliae,Babeliales,Unassigned,Unassigned,Unassigned,16S,2b
990,3c81dc39ffbe1cec024b48a595f650dc,OL-16S-2b,12.0,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Propionispira,Unassigned,16S,2b
991,99e3ba8e7e57d7042e9b1a220ebeccaf,OL-16S-2b,12.0,Bacteria,Planctomycetota,Planctomycetes,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
992,dec1d8550bc33bc02a64dee3df673092,OL-16S-2b,12.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A_clade,KI89A_clade,Unassigned,16S,2b
993,9d624bc91b4ba69d75011ac0d8005ea6,OL-16S-2b,12.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Unassigned,Unassigned,Unassigned,16S,2b
994,05227e387a335776ed9d3d7c9e062b35,OL-16S-2b,11.0,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,uncultured,Unassigned,16S,2b
995,b7ffc3e655a562b246748c63f7b850bc,OL-16S-2b,11.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Unassigned,Unassigned,16S,2b
996,7d3d9291c9a81c5cc4644e65f5657065,OL-16S-2b,11.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned,16S,2b
997,afb3e6f16647b932362fcce9951a689c,OL-16S-2b,11.0,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae,Unassigned,16S,2b
998,3061662f911aa1811cc6b3bbd4c8ce27,OL-16S-2b,11.0,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
999,b3361ffdd63075c48ead4361ffddab60,OL-16S-2b,11.0,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Unassigned,16S,2b
1000,0439739ba0b5542ffe3c339b58c351c3,OL-16S-2b,11.0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Unassigned,Unassigned,16S,2b
1001,32ad0a30e9bfba9761a30ac6d848a74c,OL-16S-2b,10.0,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
1002,5ca808775c9eb702e033686e4edc0b49,OL-16S-2b,10.0,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,Unassigned,16S,2b
1003,ceaec582879655dc2afe6e0b5c8ba864,OL-16S-2b,9.0,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Unassigned,16S,2b
1004,1920ecd0f120ce9597e0b387f02bd417,OL-16S-2b,9.0,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,Aminicenantales,Aminicenantales,Unassigned,16S,2b
1005,5dd3f13a53d6cad3b9fe3cc702f1ad3d,OL-16S-2b,9.0,Bacteria,Proteobacteria,Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
1006,4c10c604f28ba8c70fec39a4dc20bab1,OL-16S-2b,8.0,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,AKYH767,Unassigned,16S,2b
1007,9ce5afc10a3928f4744c41bda8bec8d8,OL-16S-2b,8.0,Bacteria,Proteobacteria,Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
1008,beceb01d9ef2a27ef9b4e1fb948c36c1,OL-16S-2b,7.0,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,Unassigned,16S,2b
1009,7969299eadb6593da5c76440c04b90dd,OL-16S-2b,7.0,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,Unassigned,16S,2b
1010,d4a140416f8368d42307e2f43db0cfe5,OL-16S-2b,7.0,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),Unassigned,16S,2b
1011,dca6996fc24d4fde2aa193284e58c860,OL-16S-2b,7.0,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,Unassigned,16S,2b
1012,bb28eeacf5563b8f872ac03b8cb3b5f2,OL-16S-2b,7.0,Bacteria,Dependentiae,Babeliae,Babeliales,Unassigned,Unassigned,Unassigned,16S,2b
1013,13fab3fa6412044a8df3d9a44aa4f093,OL-16S-2b,7.0,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,Unassigned,16S,2b
1014,31e7b0b6bbb9d583136135d7e9c816f4,OL-16S-2b,7.0,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured,Unassigned,16S,2b
1015,484545e283337808b25e9fd9dd711a90,OL-16S-2b,7.0,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
1016,176c778f76cb65ee333ff064c894a85c,OL-16S-2b,7.0,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,Unassigned,16S,2b
1017,378ed72e1641f28725bffcf0ada33670,OL-16S-2b,7.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned,16S,2b
1018,444d41538ac19fada2780bfecdf860ad,OL-16S-2b,6.0,Bacteria,Bacteroidota,OC31,OC31,OC31,OC31,Unassigned,16S,2b
1019,923775d50d29e583f653024822fe5392,OL-16S-2b,6.0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,Unassigned,16S,2b
1020,c73f419e5fadd79f82d5326474b2db50,OL-16S-2b,6.0,Bacteria,Bacteroidota,Bacteroidia,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
1021,c7f1c85d3d3854dce554df840e1b6205,OL-16S-2b,6.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned,16S,2b
1022,14e7a854b91084ffd8f609f5f5fba755,OL-16S-2b,5.0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Unassigned,16S,2b
1023,a94a8cb93aae3fc708c4f15e122dd256,OL-16S-2b,5.0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,Unassigned,16S,2b
1024,62f847420f8b5abc90c9dfc12c947547,OL-16S-2b,5.0,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Unassigned,Unassigned,Unassigned,16S,2b
1025,c8ea7287d6ea6e24fd0ee7ba131a22ab,OL-16S-2b,5.0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Unassigned,Unassigned,16S,2b
1026,de8ef6ec1d2874a3c3f3e6cd3f7e6363,OL-16S-2b,5.0,Bacteria,Acidobacteriota,Subgroup_22,Subgroup_22,Subgroup_22,Subgroup_22,Unassigned,16S,2b
1027,1a901ea9db7abf16d7517230363bb6e0,OL-16S-2b,5.0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,Unassigned,16S,2b
1028,a30dba7e800dd90095642613936f8e05,OL-16S-2b,5.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Unassigned,Unassigned,Unassigned,16S,2b
1029,61465cffa46cb8ddb73b81363955946e,OL-16S-2b,5.0,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,uncultured,uncultured,Unassigned,16S,2b
1030,51ad478affb7d0652b116ce293d2d285,OL-16S-2b,5.0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Unassigned,Unassigned,16S,2b
1031,46779c075d4a7c50f9d34654c498e619,OL-16S-2b,5.0,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Unassigned,16S,2b
