Genus,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Echinostomida,0.0,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.028061222103637578,0.0
Elizabethkingia,0.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,3.0,8.0
Ensifer,0.0,0.0,0.0,0.0,0.0,4.0,8.0,7.0,8.0,7.0
Enterobacter,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Enterococcus,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0
Erysipelotrichaceae,0.0,0.0,0.0,0.0,0.0,56.0,57.0,64.0,64.0,69.0
Erythrobacter,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0
Escherichia-Shigella,0.0,0.0,0.0,0.0,0.0,138.0,91.0,171.0,99.0,44.0
Euglenida,0.0,0.0,0.0,0.0,0.0,0.19642855472546306,0.23384351753031316,0.2431972582315257,0.23384351753031316,0.04676870350606263
Eupomatia,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0
Euteleostomi,0.0,0.0,0.0,0.0,0.0,0.2151360361278881,0.2899659617375883,0.2431972582315257,0.2619047396339507,0.2151360361278881
Ezakiella,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Faecalibaculum,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,5.0,10.0
Faecalitalea,0.0,0.0,0.0,0.0,0.0,4152.0,4201.0,4233.0,4207.0,4225.0
Falsochrobactrum,0.0,0.0,0.0,0.0,0.0,22.0,27.0,20.0,22.0,25.0
Family,0.0,0.0,0.0,0.0,0.0,1587.0,1610.0,1590.0,1590.0,1605.0
Ferrovum,0.0,0.0,0.0,0.0,0.0,25.0,27.0,24.0,22.0,34.0
Filimonas,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
Flavisolibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Flavobacterium,0.0,0.0,0.0,0.0,0.0,27.0,25.0,25.0,20.0,31.0
Francisella,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0
Fusicatenibacter,0.0,0.0,0.0,0.0,0.0,28141.0,28029.0,28119.0,28138.0,28081.0
Fusobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Gangjinia,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,4.0
Gemella,0.0,0.0,0.0,0.0,0.0,46.0,50.0,53.0,55.0,54.0
Gemmatimonas,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,22.0,19.0
Geobacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Globothalamea,0.0,0.0,0.0,0.0,0.0,10.195577364321654,10.401359659748328,9.363094441913738,9.746597810663452,10.167516142218016
Granulicatella,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,9.0,0.0
Haemophilus,0.0,0.0,0.0,0.0,0.0,22.0,18.0,15.0,16.0,13.0
Haemosporoidia,0.0,0.0,0.0,0.0,0.0,0.9634352922248901,1.1692175876515658,1.1224488841455031,1.1411563655479282,1.0382652178345904
Haloferax,0.0,0.0,0.0,0.0,0.0,21.0,22.0,14.0,15.0,19.0
Haloferula,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
Halogeometricum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
Halomonas,0.0,0.0,0.0,0.0,0.0,23.0,35.0,22.0,21.0,28.0
Halonotius,0.0,0.0,0.0,0.0,0.0,15.0,16.0,19.0,19.0,16.0
Halovenus,0.0,0.0,0.0,0.0,0.0,46.0,45.0,48.0,50.0,39.0
Helicobasidiaceae,0.0,0.0,0.0,0.0,0.0,0.177721073323038,0.2525509989327382,0.16836733262182546,0.18707481402425052,0.177721073323038
Hemiptera,0.0,0.0,0.0,0.0,0.0,1.4872447714927917,1.5527209564012794,1.6275508820109794,1.5807821785049168,1.5059522528952167
Heterogastridiaceae,0.0,0.0,0.0,0.0,0.0,6.940475600299695,7.099489192220307,6.809523230482719,6.6692171199645305,6.6692171199645305
Hirschia,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,5.0
Hordeum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Hydnora,0.0,0.0,0.0,0.0,0.0,10.0,8.0,13.0,12.0,8.0
Hymenobacter,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
Hypoxylon,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.0,0.0,0.0
Idiomarina,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Ignavibacterium,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
Intestinibacter,0.0,0.0,0.0,0.0,0.0,1026.0,1058.0,1036.0,1033.0,999.0
JGI,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
Janthinobacterium,0.0,0.0,0.0,0.0,0.0,13.0,17.0,17.0,0.0,23.0
Karyorelictea,0.0,0.0,0.0,0.0,0.0,81.97618350542658,83.22958475938906,83.43536705481573,82.35033313347508,83.12669361167572
Ketobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
Kinetoplastea,0.0,0.0,0.0,0.0,0.0,0.07482992560970021,0.08418366631091274,0.037414962804850106,0.018707481402425053,0.037414962804850106
Klebsiella,0.0,0.0,0.0,0.0,0.0,14.0,11.0,13.0,10.0,13.0
Klebsormidiales,0.0,0.0,0.0,0.0,0.0,1.2908162167673285,1.2721087353649034,1.1505101062491407,1.206632550456416,1.1692175876515658
Kluyvera,0.0,0.0,0.0,0.0,0.0,41.0,47.0,47.0,41.0,59.0
Lachnospiraceae,0.0,0.0,0.0,0.0,0.0,21077.0,20934.0,20954.0,20921.0,21071.0
Lactococcus,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Lawsonella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Lentzea,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Lepidodasys,0.0,0.0,0.0,0.0,0.0,0.2619047396339507,0.3835033687497136,0.2619047396339507,0.3928571094509261,0.3273809245424384
Leucoagaricus,0.0,0.0,0.0,0.0,0.0,0.028061222103637578,0.0,0.028061222103637578,0.028061222103637578,0.018707481402425053
Leuconostoc,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
Linum,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Litostomatea,0.0,0.0,0.0,0.0,0.0,0.5425169606703265,0.5892856641763891,0.4583332943594138,0.4863945164630514,0.5892856641763892
Longispora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Luteolibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Lutimonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,0.0
Lutispora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0
Macrostomum,0.0,0.0,0.0,0.0,0.0,0.0,0.04676870350606263,0.04676870350606263,0.0,0.028061222103637578
Malassezia,0.0,0.0,0.0,0.0,0.0,0.018707481402425053,0.0,0.037414962804850106,0.0,0.0
Mamiellales,0.0,0.0,0.0,0.0,0.0,0.0,0.028061222103637578,0.0,0.0,0.0
Mangifera,0.0,0.0,0.0,0.0,0.0,14.152209680934552,13.675168905172713,14.329930754257589,14.180270903038188,13.843536237794538
Marinifilum,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Marinococcus,0.0,0.0,0.0,0.0,0.0,16.0,19.0,14.0,19.0,14.0
Maritimimonas,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,5.0,0.0
Megasphaera,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,6.0,0.0
Mesorhizobium,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,10.0,8.0
Methanobacterium,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
Methanobrevibacter,0.0,0.0,0.0,0.0,0.0,388.0,342.0,368.0,364.0,303.0
Methanoculleus,0.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,6.0,8.0
Methanohalophilus,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0
Methanosaeta,0.0,0.0,0.0,0.0,0.0,13.0,10.0,15.0,5.0,5.0
Methanosarcina,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0
Methanosphaera,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
Methanospirillum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Methermicoccus,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Methylophilus,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0
Mobilitalea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Moniliella,0.0,0.0,0.0,0.0,0.0,0.0,0.23384351753031316,0.3647958873472885,0.23384351753031316,0.0
Monocondylia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028061222103637578,0.0,0.0
