Family,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Aconoidasida,0.0,0.0,0.0,0.0,0.0,1.4652710646922165e-06,1.7811781502604547e-06,1.7067040692602006e-06,1.7401283123927923e-06,1.5805123986980905e-06,0.0,1.654758799060751e-06,0.0,1.2979430525193526e-07
Aeromonadaceae,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,4.570179671616239e-06,4.5615549002736424e-06,6.099526287292861e-06,0.0,0.0,3.6546048350687295e-06,0.0,2.3113950245168465e-06
Alcanivoracaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.099526287292861e-06,3.044525370876649e-06,0.0,1.828810331633902e-06,0.0,2.7272064240644545e-06
Alteromonadaceae,0.0,0.0,0.0,0.0,0.0,2.129234321312634e-05,7.007608829811567e-05,6.690280520401341e-05,7.471919701933754e-05,7.611313427191623e-05,0.0,6.182071360130184e-05,0.0,2.2951970699024048e-05
Amoeba,0.0,0.0,0.0,0.0,0.0,0.0,2.8498850404167278e-08,2.8445067821003343e-08,0.0,2.8477700877443077e-08,0.0,1.708432382052274e-08,0.0,1.559579432846644e-08
Amphifilidae sp. H-1  ,0.0,0.0,0.0,0.0,0.0,6.970707006788215e-07,7.837183861146001e-07,7.680168311670902e-07,6.5611395385302e-07,6.407482697424691e-07,0.0,7.091336283112001e-07,0.0,6.454315425443864e-08
Anaerofustaceae,0.0,0.0,0.0,0.0,0.0,0.0008775487167124213,0.0009125125410993757,0.0009229546081553669,0.0008554585617928238,0.0009270579754319397,0.0,0.0008991064806383854,0.0,3.122346757400738e-05
Anaerolineaceae,0.0,0.0,0.0,0.0,0.0,0.0,6.093572895488319e-06,0.0,0.0,0.0,0.0,1.2187145790976637e-06,0.0,2.7251286440324203e-06
Anaeroplasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0497631436464304e-06,3.044525370876649e-06,0.0,1.218857702904616e-06,0.0,1.668990673027127e-06
Anaerovoracaceae,0.0,0.0,0.0,0.0,0.0,0.001498068433209246,0.0015035891119617427,0.0015068336353903933,0.0015553792032596797,0.001496384219785873,0.0,0.0015120509207213867,0.0,2.4582096211765215e-05
Ancylistaceae,0.0,0.0,0.0,0.0,0.0,8.677818926817982e-07,7.552195357104327e-07,8.391295007195987e-07,8.415374625506127e-07,8.685698767620137e-07,0.0,8.344476536848911e-07,0.0,4.6434839712255404e-08
Arachnida,0.0,0.0,0.0,0.0,0.0,1.707111920029767e-07,1.994919528291709e-07,2.417830764785284e-07,1.5689681505180916e-07,1.7086620526465845e-07,0.0,1.879498483254287e-07,0.0,3.385465122137182e-08
Ascaridida,0.0,0.0,0.0,0.0,0.0,4.267779800074417e-08,5.6997700808334555e-08,8.533520346301003e-08,2.8526693645783484e-08,9.967195307105076e-08,0.0,6.26418697977846e-08,0.0,2.9497798690102285e-08
Ascidiacea,0.0,0.0,0.0,0.0,0.0,1.1238486806862633e-06,1.1257045909646073e-06,1.3653632554081605e-06,1.1125410521855557e-06,1.1960634368526092e-06,0.0,1.184704203219439e-06,0.0,1.0625275827314502e-07
Atopobiaceae,0.0,0.0,0.0,0.0,0.0,2.129234321312634e-05,1.6757325462592876e-05,1.6725701301003354e-05,1.8298578861878583e-05,1.8267152225259893e-05,0.0,1.8268220212772214e-05,0.0,1.8579834666061893e-06
BOLA868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.279004046867522e-08,0.0,0.0,8.558008093735044e-09,0.0,1.913628784958495e-08
Bacillaceae,0.0,0.0,0.0,0.0,0.0,0.00011558700601411442,9.902055955168518e-05,0.00010035420780602014,9.454265745303935e-05,7.763539695735456e-05,0.0,9.742796555644274e-05,0.0,1.360992996199308e-05
Bacteroidales S24-7 group,0.0,0.0,0.0,0.0,0.0,0.020475629762737136,0.02027636380973738,0.020460094246027377,0.020596575390616167,0.020591647345924217,0.0,0.020480062111008456,0.0,0.00013032456431921535
