# Constructed from biom file
#OTU ID	Ocean-lake-1a	Ocean-lake-1b	Ocean-lake-2a	Ocean-lake-2b	Ocean-lake-3a	Ocean-lake-3b	Ocean-lake-4a	Ocean-lake-4b
2b45afe97bf6ac86f220b7efdc0fc65a	0.0	0.0	0.0	0.0	0.0	80.0	177.0	173.0
02c42fd93a596100321ed637f47e135b	0.0	0.0	0.0	0.0	47.0	74.0	115.0	188.0
6187afeb2eef1ab2bc3f6c1754be38e7	0.0	0.0	0.0	0.0	25.0	47.0	164.0	185.0
74dbceefa2c6a8c1bcb9d4ef024323b1	77.0	75.0	167.0	80.0	0.0	0.0	10.0	11.0
8683e922670c9ec58b7bed499a23e41b	88.0	99.0	90.0	137.0	0.0	0.0	0.0	0.0
bfc778f4d75443206a7e935676c890cc	0.0	0.0	5.0	0.0	51.0	105.0	111.0	135.0
4f7e40136e0b7c860793d4aa3e362f56	0.0	0.0	0.0	0.0	66.0	59.0	138.0	138.0
5b97602b7e1c83af3f5261cf47e95776	0.0	0.0	0.0	0.0	45.0	92.0	110.0	153.0
37c49f29ea893203355fb9dd32cc322c	0.0	0.0	0.0	0.0	83.0	113.0	92.0	111.0
10dfa08197cc3eeb69181d7191b61062	126.0	67.0	83.0	120.0	0.0	0.0	0.0	0.0
2cceb176ef1d14a541f0e36bb0be737e	105.0	74.0	90.0	122.0	0.0	0.0	0.0	0.0
fcc294b12553287370f9e56e915fd030	0.0	0.0	0.0	0.0	47.0	83.0	97.0	163.0
334e5de2339d262c5808d6f69073b8a5	0.0	0.0	0.0	0.0	46.0	61.0	131.0	150.0
35f6f2227bb71eb4f57e6480450b752d	0.0	0.0	0.0	0.0	54.0	76.0	113.0	139.0
c63d2848d13664e2e31df2f0bcb76408	0.0	0.0	0.0	0.0	111.0	129.0	76.0	62.0
29546e6d23de2be23ed0d92cceab9e7f	0.0	0.0	0.0	0.0	0.0	17.0	168.0	190.0
4083cfa7770512e3e667e276defa61b6	73.0	79.0	100.0	120.0	0.0	0.0	0.0	0.0
27b0101e877785a33d32a12268976c9f	38.0	19.0	33.0	59.0	43.0	58.0	48.0	74.0
ff6caefb1c34c8f622b8d5872bc060c6	0.0	0.0	0.0	0.0	25.0	57.0	94.0	193.0
a32c8dee9502a35cca992e660c9bb5b5	0.0	0.0	0.0	0.0	96.0	107.0	85.0	70.0
989fa00c5dfe7cb0e30e258de7744c40	0.0	0.0	0.0	0.0	48.0	74.0	90.0	143.0
53054d5e73e6454c4cfb2f85351e5848	0.0	0.0	0.0	0.0	54.0	54.0	121.0	122.0
bc2395549ef3db07796d9cf8ef6164af	0.0	0.0	0.0	0.0	36.0	86.0	132.0	97.0
984a0dd9b1861f81d2dc1dca7f35dd11	0.0	0.0	0.0	0.0	35.0	50.0	118.0	147.0
85f96012a39051b96e6925242787e9d4	100.0	79.0	73.0	97.0	0.0	0.0	0.0	0.0
538ef8f07ee0440e0b18610178c0c403	0.0	0.0	0.0	0.0	76.0	121.0	81.0	68.0
10a30c85a998c88f3ef3acc2adbfcd3b	0.0	0.0	0.0	0.0	37.0	61.0	143.0	105.0
bdaa7a559329f9a31e39f3b30c04e192	0.0	0.0	0.0	0.0	35.0	60.0	95.0	152.0
aff7cf8946e2b926e456f3f95e598cf7	0.0	0.0	0.0	0.0	82.0	54.0	130.0	75.0
d5d7780ebfa0c44e0a3c7c71d3831031	0.0	0.0	0.0	0.0	38.0	61.0	106.0	135.0
f9786be7e02ffea47bfe8c0747d3155d	0.0	0.0	0.0	0.0	54.0	117.0	73.0	95.0
3c74b9a073d05e062aa6374de7696732	0.0	0.0	0.0	0.0	30.0	65.0	96.0	148.0
b1969254ed96d1956cd43c84d256b012	69.0	79.0	115.0	75.0	0.0	0.0	0.0	0.0
a6b3c37218ad5861af2f417ea00b42f3	0.0	0.0	0.0	0.0	40.0	52.0	129.0	117.0
a3ca09f376f064b70dc42ebf666bcdc0	0.0	0.0	0.0	0.0	22.0	34.0	113.0	169.0
98ba4ffc523ed010a91aafec7ff1cd4f	0.0	0.0	0.0	0.0	26.0	42.0	135.0	132.0
a2ab398bc4486e5662aad6505fc32bc1	78.0	100.0	60.0	94.0	0.0	0.0	0.0	0.0
171c9aafcc642e1067a897b2cec2d927	0.0	0.0	0.0	0.0	34.0	49.0	98.0	151.0
4474840725bf544147311efc325740a5	15.0	0.0	0.0	0.0	37.0	32.0	127.0	117.0
8dffec6d1799611aa03c55ab885cffce	86.0	74.0	74.0	71.0	10.0	12.0	0.0	0.0
707f49a9f014975fd779af5057a691cf	109.0	121.0	41.0	52.0	0.0	0.0	0.0	0.0
3d23c84129b422a61640febf6085d012	0.0	0.0	0.0	0.0	146.0	177.0	0.0	0.0
48c57fcc01ab3ffa282f7b6f51da9f50	0.0	0.0	0.0	0.0	73.0	85.0	106.0	56.0
