# Constructed from biom file
#OTU ID	OL-PAMA-1a	OL-PAMA-1b	OL-PAMA-2a	OL-PAMA-2b	OL-PAMA-3a	OL-PAMA-3b	OL-PAMA-4a	OL-PAMA-4b
bf081b475a16a844407f1cd2eb575a94	0.0	0.0	0.0	0.0	84.0	982.0	1111.0	26.0
097adfa4a19501ba28342db3e102fb6c	0.0	577.0	1147.0	476.0	0.0	0.0	0.0	0.0
04cc4534e1629299d75d4fdf9251fa16	136.0	0.0	570.0	1473.0	0.0	0.0	0.0	0.0
ef8437fadeee95dfe1a11042ab1e86f0	595.0	96.0	0.0	1474.0	0.0	0.0	0.0	0.0
d0c7d20413f0dc558f1705f0c126eef9	0.0	0.0	0.0	0.0	130.0	159.0	383.0	1487.0
bfffe6b4b1f8a316e52031efcfcbb39b	678.0	233.0	471.0	763.0	0.0	0.0	0.0	0.0
26bb14ca10462f5fa2dd3bf616f2910b	666.0	206.0	450.0	814.0	0.0	0.0	0.0	0.0
84481f1375bb87ad558a0aeac1aad955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2131.0
4f95c4f2220d4e4bcc163a3936d623d1	0.0	0.0	0.0	0.0	0.0	47.0	22.0	2050.0
a4568fa0f19a28904fc0af69d5463202	0.0	0.0	0.0	0.0	517.0	564.0	269.0	763.0
22ed184219e3240f8bbc67b727e2e55e	0.0	0.0	0.0	0.0	522.0	570.0	266.0	724.0
108cf962c136e946aaac5433c004e7a5	0.0	0.0	0.0	0.0	27.0	1402.0	639.0	0.0
26fc3bb03194b49a83648c3cb346a47f	0.0	0.0	0.0	0.0	488.0	687.0	208.0	653.0
b18f1ef21d6c209d265574dd68e0341b	0.0	0.0	0.0	0.0	4.0	2024.0	8.0	0.0
a84bc7f2b596b555919cc2f464fd7b2c	0.0	0.0	0.0	0.0	36.0	1281.0	291.0	415.0
1584a26f02ce9a72be5a43ab10234fea	0.0	0.0	0.0	0.0	134.0	89.0	454.0	1333.0
4d658d4949c5a90d088f4ae495185d36	0.0	0.0	0.0	0.0	31.0	1381.0	597.0	0.0
618ef9a393bcfe7a18bf28300404fe60	0.0	0.0	0.0	0.0	84.0	898.0	1001.0	18.0
ca49a05feb5c0b8d0446126931f8e385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1996.0
79a6c50e3b90764bc4f163598b853bad	0.0	0.0	0.0	0.0	4.0	1976.0	0.0	0.0
69237e09f3e8e6717b1a1c8cbd2ed875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1978.0
f3dcfd3a678265e6ae7d870695fec1c9	0.0	0.0	0.0	0.0	41.0	1255.0	287.0	393.0
870b9724966fe5ae808a2aa75053978d	0.0	0.0	0.0	0.0	118.0	149.0	452.0	1234.0
1e94dacf49bbb20cfb52e128148038b0	0.0	607.0	140.0	1196.0	0.0	0.0	0.0	0.0
a44042fe821d3008b4f1c586f9312272	111.0	247.0	14.0	1488.0	0.0	63.0	0.0	0.0
6122d629184d9f0eacd763bca62f5034	0.0	0.0	0.0	0.0	680.0	347.0	523.0	359.0
f2dc125db523d9a24cf133595571dd93	0.0	0.0	0.0	0.0	565.0	529.0	379.0	435.0
e70702edf1526388c10430827073aa26	0.0	0.0	0.0	0.0	420.0	689.0	196.0	597.0
d27259aa2ba4ce71e2eeff3e86196512	108.0	229.0	14.0	1468.0	0.0	82.0	0.0	0.0
3db984d51ed2ab98715c99500b2c432b	0.0	0.0	0.0	0.0	0.0	1144.0	741.0	0.0
5d3218e4602b9409cbdb3bbb1906139d	0.0	0.0	0.0	0.0	228.0	358.0	142.0	1156.0
17eb37fa41f991b452c7c9c96b84f3aa	0.0	0.0	0.0	0.0	543.0	446.0	377.0	474.0
90dcf2d0edb7f6784103fc020b2cb479	0.0	0.0	0.0	0.0	211.0	124.0	70.0	1417.0
620f10b7dc69b42c64a282f9c8ce76f0	0.0	0.0	0.0	0.0	237.0	667.0	446.0	470.0
f764d51df688d6f68e639cc7073d92e7	0.0	0.0	0.0	0.0	0.0	1103.0	711.0	0.0
44307afba02a8401870b259dd77d1e45	527.0	494.0	773.0	0.0	0.0	0.0	0.0	0.0
c768849c43360202175c42284a7768ab	76.0	32.0	598.0	1079.0	0.0	0.0	0.0	0.0
0dca155e44952dfec5d4f8435bb40eac	491.0	508.0	772.0	0.0	0.0	0.0	0.0	0.0
0d2178fcd61bbcacd3bc61fb4a13ff52	424.0	296.0	726.0	314.0	0.0	0.0	0.0	0.0
